GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Dec 30 15:48:09 GMT+01:00 2019,30-dic-2019 15:48:11.869,13.93074386,42.0482478,0.0,30.34,537.0,0.0,-2.27474976,5.31185913,8.01145935,0.01011546,-,-,-,-,-,19.06655312,-,5.24474049,-,-,-,-,-,-,-,-,-,-,-,-,-,486.17129517,-,-,-,-,-,-,-,-,-,30.34000015,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.21626882,0.53635186,0.71349096,-0.00155429,-,0,-,-,0,-,-
Mon Dec 30 15:48:10 GMT+01:00 2019,30-dic-2019 15:48:12.146,13.93083765,42.04813556,0.0,19.720999,515.0,0.0,-2.14074707,5.22572327,7.86669922,0.00584002,-,-,-,-,-,19.06655312,-,5.24474049,-,-,-,-,-,-,-,-,-,-,-,0,-,486.17129517,-,-,-,-,-,-,-,-,-,19.72099876,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.21822089,0.53269351,0.70190609,-0.01252746,-,0,-,-,0,0,-
Mon Dec 30 15:48:10 GMT+01:00 2019,30-dic-2019 15:48:12.412,13.93083765,42.04813556,0.0,19.720999,515.0,0.0,-2.03427124,5.42312622,7.95162964,0.01105252,-,-,-,-,-,19.06655312,-,5.24474049,-,-,-,-,-,-,-,-,-,-,-,0,-,486.17129517,-,-,-,-,-,-,-,-,-,19.72099876,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.22505079,0.58342856,0.69495332,0.011774,-,0,-,-,0,0,-
Mon Dec 30 15:48:10 GMT+01:00 2019,30-dic-2019 15:48:12.683,13.93083765,42.04813556,0.0,19.720999,515.0,0.0,-0.2875061,4.55453491,9.72471619,0.1140334,-,-,-,-,-,19.06655312,-,5.24474049,-,-,-,-,-,-,-,-,-,-,-,0,-,486.17129517,-,-,-,-,-,-,-,-,-,19.72099876,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.07711521,0.63148052,0.82983887,0.12702355,-,0,-,-,0,0,-
Mon Dec 30 15:48:13 GMT+01:00 2019,30-dic-2019 15:48:15.903,13.93080238,42.0481844,0.0,13.653,522.0,0.0,-0.72419739,4.00180054,8.15023804,-0.00881992,-,-,37.25490189,-,0,15.87599087,-,6.29868841,-,-,-,-,-,-,-,-,-,-,-,0,-,486.17129517,-,-,-,-,-,-,-,-,835.5,13.65299988,522,42.04818344,13.93080235,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,-0.34126377,-,-,-,-,-,-,-0.06686958,0.39036834,0.81837529,0.00047778,-,0,-,0,0,0,-
Mon Dec 30 15:48:17 GMT+01:00 2019,30-dic-2019 15:48:19.087,13.93092051,42.04805335,0.28,9.101999,481.0,8.3,-7.6035614,-6.60798645,-0.74031067,0.03266813,-,44.13535309,35.68627548,-,0,15.87589455,-,6.29872656,-,-,1114.89086914,0.00079842,-,-,-,-,0.00014372,-,-,4.46399975,-,486.17129517,-,-,47,-,-,-,-,-,828,9.10199928,481,42.04805374,13.9309206,8.30000019,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,-,-,-,-,-0.77508271,-0.67359698,-0.17546488,0.03000264,-,0,-,1.00800002,0,0,-
Mon Dec 30 15:48:20 GMT+01:00 2019,30-dic-2019 15:48:22.304,13.93094868,42.04801715,0.0,7.585,470.0,0.0,-7.55210876,-6.58525085,-0.6709137,0.03199337,-,44.13473892,36.07843018,-,0,15.87579727,-,6.29876518,-,-,1114.86853027,0.0017766,-,-,-,-,0.00031979,-,-,0,-,486.17129517,-,-,47,-,-,-,16.80723763,1.0084343,826.5,7.58500004,470,42.04801559,13.93094826,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,-,-,-,-,-0.77996051,-0.68481785,-0.18265876,0.04157918,-,0,-,0,0,0,-
Mon Dec 30 15:48:22 GMT+01:00 2019,30-dic-2019 15:48:24.415,13.93095709,42.04798845,0.0,6.068,464.0,0.0,-7.33317566,-6.50868225,-0.57040405,0.02018207,-,44.13438797,35.29411697,-,0,15.87570095,-,6.29880333,-,-,1114.85290527,0.0023329,-,-,-,-,0.00041992,-,-,0,-,486.17129517,-,-,47,-,-,-,16.70586014,1.00235164,829.5,6.06799984,464,42.04798889,13.93095684,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,-,-,-,-,-0.75703192,-0.68054819,-0.17631726,0.02116583,-,0,-,0,0,0,-
Mon Dec 30 15:48:24 GMT+01:00 2019,30-dic-2019 15:48:26.665,13.93096054,42.04798926,0.0,4.5509996,462.0,0.0,-7.34632874,-6.65106201,-0.73670959,0.03578784,-,44.13401794,35.68627548,-,0,15.87560368,-,6.29884195,-,-,1114.83666992,0.00292203,-,-,-,-,0.00052596,-,-,0,-,486.17129517,-,-,48,10.5882349,-,-,16.75232124,1.00513935,829,4.55099964,462,42.04798889,13.93096066,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,-,-,-,-,-0.74508148,-0.67176777,-0.16741396,0.00581007,-,0,-,0,0,0,-
Mon Dec 30 15:48:26 GMT+01:00 2019,30-dic-2019 15:48:28.920,13.93096249,42.04798527,0.0,4.5509996,460.0,0.0,-7.55450439,-6.63072205,-0.77978516,0.03582791,-,44.13362503,34.11764908,-,0,15.87550735,-,6.29888058,-,-,1114.81994629,0.0035523,-,-,-,-,0.00063941,-,-,0,-,486.17129517,-,-,48,11.76470566,-,-,16.80723763,1.0084343,830,4.55099964,460,42.04798508,13.93096256,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,-,-,-,-,-0.76605648,-0.67969579,-0.1791217,0.02752625,-,0,-,0,0,0,-
