GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),
Sat Nov 02 19:20:21 GMT+01:00 2019,02-nov-2019 19:20:21.252,13.92054729,42.05880421,3.14,21.237999,433.0,163.4,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:21.733,13.92063958,42.0587918,3.73,9.101999,439.0,173.9,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.091,13.92063958,42.0587918,3.73,9.101999,439.0,173.9,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.332,13.92063958,42.0587918,3.73,9.101999,439.0,173.9,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.572,13.92063958,42.0587918,3.73,9.101999,439.0,173.9,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:22.814,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.051,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.171,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.291,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.411,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-0.30545044,7.15434265,6.50996399,-0.02072778,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.531,13.92068355,42.05874015,4.1,9.101999,452.0,174.0,-3.2881012,4.81654358,10.59928894,0.06323472,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.651,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.73655701,5.88972473,6.61164856,-0.0179977,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.771,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-8.36088562,2.67617798,8.08682251,-0.0131855,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.891,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.89927673,4.71723938,8.88124084,0.14730288,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.012,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.47813416,6.27378845,10.72850037,0.21298365,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.131,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.73655701,3.1690979,6.08403015,0.12768468,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.252,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.67076111,5.76052856,4.75123596,-0.21060628,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.373,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-2.02589417,7.6161499,7.65612793,-0.09546675,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.492,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-1.54493713,6.48196411,7.10577393,-0.01864452,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.614,13.92071649,42.05876628,4.64,6.068,436.0,157.6,-1.01731873,6.21037292,7.96957397,0.01603907,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.732,13.92074233,42.05872669,4.95,7.585,436.0,146.6,-2.74493408,4.79023743,6.68702698,0.0044934,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.853,13.92074233,42.05872669,4.95,7.585,436.0,146.6,-2.85620117,5.13719177,7.32472229,0.00374387,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.972,13.92074233,42.05872669,4.95,7.585,436.0,146.6,2.6580658,8.57926941,8.22441101,0.13118494,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.092,13.92074233,42.05872669,4.95,7.585,436.0,146.6,0.4387207,5.61695862,7.91934204,0.05784719,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.212,13.92074233,42.05872669,4.95,7.585,436.0,146.6,-1.49229431,6.61476135,7.35940552,0.0386336,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.454,13.92074233,42.05872669,4.95,7.585,436.0,146.6,-0.26477051,7.73339844,6.38313293,0.03076753,
