GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Tue Oct 08 13:00:04 GMT+02:00 2019,08-ott-2019 13:00:02.137,14.23249847,41.622266,14.56,15.008,535.6441650390625,321.4,-0.88218689,7.11621094,6.14996338,-0.04447589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.00800037,535.64416504,41.62226486,14.23249817,321.3999939,6,0,0,100,-,-,-,-,-,-,-,-,0,0,-,0.032,52.41600037,60,-,-
Tue Oct 08 13:00:04 GMT+02:00 2019,08-ott-2019 13:00:02.886,14.23249847,41.622266,14.56,15.008,535.6441650390625,321.4,-1.66508484,6.76904297,5.89855957,-0.0358091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.00800037,535.64416504,41.62226486,14.23249817,321.3999939,6,0,0,100,-,-,-,-,-,-,-,20,0,0,-,0.93099999,52.41600037,60,-,-
Tue Oct 08 13:00:11 GMT+02:00 2019,08-ott-2019 13:00:09.567,14.23150318,41.62305569,16.88,8.576,536.6986083984375,321.4,-0.86782837,6.23034668,6.36543274,-0.00645677,-,70.98039246,-,8.20038128,8.20038128,12.19430065,12.19430065,8.20038128,12.19430065,-,-,-,322.53903198,322.53903198,6.20000076,0.02562,0.02562,2313,8.57600021,536.6986084,41.6230545,14.23150349,321.3999939,10,0,0,100,-,-,7.84313726,7.84313726,-,-,7.84313726,20,0,7,580,7,60.76799393,62,62,62
Tue Oct 08 13:00:18 GMT+02:00 2019,08-ott-2019 13:00:16.455,14.23110375,41.62391036,14.81,8.576,530.449951171875,351.2,-1.13357544,6.51286316,6.84906006,-0.01396643,-,0,-,6.37549973,7.2879405,15.68471909,13.72101212,7.2879405,13.72101212,-,-,-,414.86053467,368.69976807,4.27599716,0.02562,0.02562,2016,8.57600021,530.44995117,41.623909,14.2311039,351.20001221,9,0,0,100,-,-,22.74509811,22.35294151,-,-,12.94117641,20,0,14,587,14.07400036,53.31600189,53,57.5,57.5
Tue Oct 08 13:00:25 GMT+02:00 2019,08-ott-2019 13:00:23.766,14.23099002,41.62490422,14.75,9.648001,529.0755615234375,352.9,-0.07772827,6.85044861,4.13642883,-0.09748513,-,13.33333397,-,6.11412096,6.89666748,16.35523987,14.49945545,6.89666748,14.49945545,-,-,-,432.5958252,389.99847412,1.54000092,0.02562,0.02562,2070,9.64800072,529.07556152,41.62490463,14.23099041,352.8999939,8,0,0,100,-,-,21.56862831,20.7843132,-,-,8.62745094,21,0,21,594,21.00399971,53.09999847,55,56.66666794,56.66666794
Tue Oct 08 13:00:27 GMT+02:00 2019,08-ott-2019 13:00:25.142,14.23094298,41.62515031,13.24,9.648001,531.8106689453125,352.5,1.45933533,4.68849182,5.85546875,-0.11021751,-,0,-,6.25180292,6.73545122,15.99505234,14.84650612,6.73545122,14.84650612,-,-,-,423.06884766,398.26605225,2.21999741,0.02562,0.02562,1847.5,9.64800072,531.81066895,41.62514877,14.23094273,352.5,8,0,0,100,-,-,7.84313726,7.84313726,-,-,0,21,0,23,597,23.19000053,47.66399765,48,54.5,54.5
Tue Oct 08 13:00:28 GMT+02:00 2019,08-ott-2019 13:00:26.659,14.23094033,41.62527564,13.05,10.72,532.73828125,356.1,-0.33152771,7.13775635,5.71661377,-0.03297542,100,0,-,6.1573987,6.61984062,16.24028587,15.10578918,6.61984062,15.10578918,-,-,-,429.55526733,404.52389526,3.66399765,0.04504222,0.04504222,1687,10.72000027,532.73828125,41.62527466,14.23093987,356.1000061,9,0,0,100,-,-,7.84313726,7.84313726,-,-,0,20,0,24,598,24.70499992,46.97999954,44,52.40000153,52.40000153
Tue Oct 08 13:00:30 GMT+02:00 2019,08-ott-2019 13:00:28.006,14.23086214,41.62544618,12.35,11.792,531.537109375,354.3,9.57807922,4.82974243,7.06214905,0.28111517,99.99547577,0,-,6.44154835,6.59012556,15.52389526,15.17390251,6.59012556,15.17390251,-,-,-,410.60675049,405.53771973,6.07999802,0.06088556,0.06088556,1509.5,11.79199982,531.53710938,41.62544632,14.23086166,354.29998779,9,0,0,100,-,-,7.84313726,7.84313726,-,-,0,20,0,26,600,26.05200005,44.45999908,40,50.33333206,50.33333206
Tue Oct 08 13:00:31 GMT+02:00 2019,08-ott-2019 13:00:29.359,14.23086767,41.62552294,10.37,11.792,530.196044921875,357.1,5.86946106,3.63024902,7.29438782,0.07021563,99.99360657,11.37254906,-,12.55134869,7.44172859,7.96710539,13.43745804,7.44172859,13.43745804,-,-,-,210.72979736,377.70800781,8.45999908,0.07506166,0.07506166,942,11.79199982,530.19604492,41.62552261,14.23086739,357.1000061,8,0,0,100,-,-,12.94117641,13.33333397,-,-,0.78431374,20,0,27,601,27.40200043,37.33199692,36,48.2857132,48.2857132
Tue Oct 08 13:00:36 GMT+02:00 2019,08-ott-2019 13:00:34.584,14.2311193,41.62576431,8.24,10.72,528.403076171875,54.9,0.22633362,8.24865723,3.89701843,0.00603078,99.9905777,74.50980377,-,6.97119522,7.38291216,14.34444427,13.54450893,7.38291216,13.54450893,-,-,-,379.41027832,377.92077637,2.78000259,0.07622792,0.07622792,2079.5,10.72000027,528.40307617,41.62576294,14.23111916,54.90000153,11,0,0,100,-,-,21.56862831,21.17647171,-,-,0.78431374,20,0,32,606,32.62900162,29.66399765,35,44.09999847,44.09999847
Tue Oct 08 13:00:38 GMT+02:00 2019,08-ott-2019 13:00:36.238,14.23136364,41.6256719,8.94,10.72,527.6490478515625,104.7,0.66925049,6.61341858,5.15875244,-0.02692521,99.9905777,87.45098114,-,5.28806114,7.15015078,18.91012955,13.98542786,7.15015078,13.98542786,-,-,-,500.1725769,391.5043335,6.48000145,0.08806125,0.08806125,2189.5,10.72000027,527.64904785,41.62567139,14.2313633,104.69999695,11,0,0,100,-,-,23.13725471,22.35294151,-,-,13.33333397,20,0,34,608,34.2840004,32.18399811,36,43.36363602,43.36363602
Tue Oct 08 13:00:40 GMT+02:00 2019,08-ott-2019 13:00:38.045,14.23160398,41.6255958,10.14,11.792,527.254150390625,111.0,-0.38180542,6.17767334,4.97918701,-0.0814893,99.98495483,54.11764908,-,4.66617632,6.90175343,21.43037605,14.48877048,6.90175343,14.48877048,-,-,-,566.83306885,409.03720093,6.81600189,0.10835291,0.10835291,2343.5,11.79199982,527.25415039,41.62559509,14.23160362,111,11,0,0,100,-,-,21.56862831,21.17647171,-,-,11.76470566,20,0,36,610,36.0929985,36.50400162,39,43,43
Tue Oct 08 13:00:41 GMT+02:00 2019,08-ott-2019 13:00:39.561,14.23171797,41.62556227,10.46,11.792,527.5191650390625,115.6,-0.6068573,7.71714783,6.60006714,-0.04053699,99.97847748,50.19607925,-,4.66396761,6.69831848,21.44052696,14.92881012,6.69831848,14.92881012,-,-,-,567.1015625,423.40667725,3.49599838,0.12495389,0.12495389,2424,11.79199982,527.51916504,41.62556076,14.23171806,115.59999847,10,0,0,100,-,-,21.56862831,20.7843132,-,-,11.76470566,20,0,37,611,37.60699844,37.65599823,40,42.76922989,42.76922989
Tue Oct 08 13:00:43 GMT+02:00 2019,08-ott-2019 13:00:41.238,14.23191425,41.62550047,11.15,11.792,525.079833984375,114.4,-1.56692505,7.85601807,8.80513,0.03117348,99.97284698,44.31372452,-,4.6692729,6.52923107,21.4161644,15.31542015,6.52923107,15.31542015,-,-,-,566.45715332,435.32754517,2.15600204,0.14196388,0.14196388,2476,11.79199982,525.07983398,41.62549973,14.23191452,114.40000153,10,0,0,100,-,-,21.56862831,21.17647171,-,-,11.37254906,20,0,39,613,39.28499985,40.13999939,41,42.6428566,42.6428566
Tue Oct 08 13:00:43 GMT+02:00 2019,08-ott-2019 13:00:42.919,14.23191425,41.62550047,11.15,11.792,525.079833984375,114.4,0.85360718,6.51525879,6.51626587,-0.00320172,99.96636963,9.4117651,-,4.61662388,6.38210773,21.66040039,15.66847897,6.38210773,15.66847897,-,-,-,572.91717529,445.91137695,0.86000061,0.16275999,0.16276,2522.5,11.79199982,525.07983398,41.62549973,14.23191452,114.40000153,10,0,0,100,-,-,7.84313726,11.76470566,-,-,0,20,0,40,615,40.95999908,40.13999939,41,42.53333282,42.53333282
Tue Oct 08 13:00:43 GMT+02:00 2019,08-ott-2019 13:00:44.740,14.23191425,41.62550047,11.15,11.792,525.079833984375,114.4,-0.43925476,8.30612183,5.21382141,-0.00795713,99.95982361,23.92156982,-,4.95731163,6.28033638,20.17180443,15.92238235,6.28033638,15.92238235,-,-,-,533.54388428,452.1708374,4.13999939,0.18232013,0.18232013,2221.5,11.79199982,525.07983398,41.62549973,14.23191452,114.40000153,10,0,0,100,-,-,21.96078491,21.17647171,-,-,11.76470566,20,0,42,616,42.7820015,40.13999939,36,42.125,42.125
