GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Sep 23 10:14:25 GMT+02:00 2019,23-set-2019 10:14:44.562,14.24218758,41.5990418,9.37,4.288,522.4810180664062,146.5,1.41145325,8.05473328,3.40141296,-0.02741151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.28800011,-,-,-,146.5,0,29.87215996,0,70.12783813,-,-,-,-,-,-,-,-,0,0,-,0,-,19,-,-
Mon Sep 23 10:14:25 GMT+02:00 2019,23-set-2019 10:14:44.900,14.24218758,41.5990418,9.37,4.288,522.4810180664062,146.5,1.41145325,8.05473328,3.40141296,-0.02741151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,0.00243306,0.00243306,-,4.28800011,-,-,-,146.5,0,0,0,100,-,-,-,-,-,-,-,-,0,0,-,0.463,-,19,19,19
Mon Sep 23 10:14:25 GMT+02:00 2019,23-set-2019 10:14:45.497,14.24218758,41.5990418,9.37,4.288,522.4810180664062,146.5,1.41145325,8.05473328,3.40141296,-0.02741151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,0.00243306,0.00243306,-,4.28800011,-,-,-,146.5,0,0,0,100,-,-,-,-,-,-,-,18,0,1,-,1.20899999,-,19,19,19
Mon Sep 23 10:14:53 GMT+02:00 2019,23-set-2019 10:14:53.275,14.24328717,41.59781082,2.45,10.72,522.7256469726562,68.2,1.41145325,8.05473328,3.40141296,-0.02741151,-,19.6078434,-,0,0,-,∞,0,∞,-,-,-,-,-,17,0.01451806,0.01451806,1036.5,10.72000027,522.72564697,41.59781265,14.24328709,68.19999695,11,0,0,100,-,-,14.11764717,14.90196133,-,-,0,18,0,8,225,8.28100014,8.81999969,17,18,18
Mon Sep 23 10:14:59 GMT+02:00 2019,23-set-2019 10:14:59.332,14.24364044,41.59787052,6.16,8.576,520.5798950195312,73.0,-0.04182434,6.01487732,7.64154053,0.01138157,-,98.8235321,-,16.49110413,8.24555206,6.06374931,12.12749863,8.24555206,12.12749863,-,-,-,-,-,4.80400085,0.01451806,0.01451806,1792.5,8.57600021,520.57989502,41.59786987,14.2436409,73,14,0,0,100,-,-,18.03921509,17.25490189,-,-,5.88235283,18,0,14,231,14.27799988,22.17599869,16,17.33333397,17.33333397
Mon Sep 23 10:15:07 GMT+02:00 2019,23-set-2019 10:15:06.891,14.24397264,41.5978968,0.35,9.648001,523.6737670898438,76.5,-0.50151062,5.89755249,6.81794739,0.03493016,-,0.39215687,-,9.04717922,8.51276112,11.05293941,11.74682617,8.51276112,11.74682617,-,-,-,292.35003662,292.35003662,0.39199829,0.01451806,0.01451806,1391.5,9.64800072,523.67376709,41.59789658,14.24397278,76.5,15,8.99995518,0,91.00004578,-,-,7.84313726,7.84313726,-,-,0,18,2.00600004,22,239,20.28300095,1.25999999,22,18.5,18.5
Mon Sep 23 10:15:10 GMT+02:00 2019,23-set-2019 10:15:10.523,14.24404774,41.59790164,2.45,11.792,525.206298828125,81.2,-0.46798706,6.63496399,6.75569153,-0.06374199,-,72.94117737,-,61.38376236,8.72558022,1.62906146,11.46031761,8.72558022,11.46031761,-,-,-,-,292.35003662,0.74000001,0.01451806,0.01451806,930,11.79199982,525.20629883,41.59790039,14.24404812,81.19999695,12,22.67546082,0,77.32453918,-,-,18.8235302,20.3921566,-,-,4.70588255,18,2.63499999,26,244,23.59600067,8.81999969,2,15.19999981,15.19999981
Mon Sep 23 10:15:12 GMT+02:00 2019,23-set-2019 10:15:11.889,14.24414594,41.59787645,4.28,9.648001,522.9207763671875,85.0,0.67164612,6.93424988,6.6048584,-0.00550135,49.99183273,41.96078491,-,0.98396099,7.17725611,101.62792969,13.93261147,7.17725611,13.93261147,-,-,-,-,292.35003662,2.29200077,0.02308653,0.02308653,1660.5,9.64800072,522.92077637,41.5978775,14.24414635,85,14,22.64526939,0,77.3547287,-,-,18.4313736,17.64705849,-,-,8.23529434,18,2.63499999,27,245,24.96899986,15.40799999,15,15.16666698,15.16666698
Mon Sep 23 10:15:13 GMT+02:00 2019,23-set-2019 10:15:13.261,14.24419977,41.59788971,4.4,8.576,522.4674072265625,72.0,-2.14393616,6.23513794,5.21621704,0.09030142,49.98949051,44.70588303,-,11.25643349,7.85711908,8.88362408,12.72704697,7.85711908,12.72704697,-,-,-,234.97169495,263.66085815,0.59200001,0.02898945,0.02898945,1851,8.57600021,522.46740723,41.59788895,14.24419975,72,14,21.5767498,0,78.42324829,-,-,21.96078491,21.56862831,-,-,12.15686321,18,2.63499999,28,246,26.33600044,15.84000015,16,15.28571415,15.28571415
Mon Sep 23 10:15:15 GMT+02:00 2019,23-set-2019 10:15:14.623,14.24431804,41.59793923,5.16,7.504,524.65283203125,73.9,3.43215942,2.82579041,1.26579285,0.26956168,49.98646927,0,-,9.00717163,8.0214119,11.10203362,12.46637344,8.0214119,12.46637344,-,-,-,293.64859009,273.6567688,0.64800072,0.03543528,0.03543528,2067.5,7.50400019,524.65283203,41.59793854,14.24431801,73.90000153,14,20.60452271,0,79.39547729,-,-,7.84313726,7.84313726,-,-,0,18,2.63499999,30,248,27.70299911,18.57599831,18,15.625,15.625
Mon Sep 23 10:15:16 GMT+02:00 2019,23-set-2019 10:15:15.988,14.24439441,41.59792448,5.28,5.36,523.1952514648438,77.0,-0.98274231,8.27978516,6.16671753,-0.02344814,49.98646927,16.86274529,-,181.2480011,8.12167931,0,12.31246758,8.12167931,12.31246758,-,-,-,0,205.24258423,0.42400169,0.04241389,0.04241389,1165.5,5.36000013,523.19525146,41.59792328,14.2443943,77,14,19.7198658,0,80.28013611,-,-,15.29411793,14.90196133,-,-,4.70588255,18,2.63499999,31,249,29.06399918,19.00799942,19,16,16
Mon Sep 23 10:15:18 GMT+02:00 2019,23-set-2019 10:15:18.240,14.24448191,41.59796982,5.7,5.36,518.5964965820312,73.9,0.62615967,6.39794922,7.2848053,0.0093841,49.98511887,46.66666794,-,50.71041489,8.21192074,1.97194052,12.17716599,8.21192074,12.17716599,-,-,-,52.15779114,174.62562561,1.99200058,0.05006944,0.05006944,1263.5,5.36000013,518.59649658,41.59796906,14.24448204,73.90000153,14,18.41020203,0,81.58979797,-,-,14.11764717,13.72549057,-,-,3.52941179,18,2.63499999,33,251,31.31900024,20.51999855,21,16.5,16.5
Mon Sep 23 10:15:20 GMT+02:00 2019,23-set-2019 10:15:20.559,14.24462946,41.5979914,6.22,5.36,521.0764770507812,72.0,0.50405884,7.03001404,5.83631897,-0.04004388,49.98167419,35.29411697,-,18.89904594,9.28063297,5.29116249,10.77490234,9.28063297,10.77490234,-,-,-,139.95114136,168.84654236,1.43600082,0.06793834,0.06793834,1424,5.36000013,521.07647705,41.59799194,14.24462986,72,14,17.23272896,0,82.76727295,-,-,14.11764717,13.33333397,-,-,3.52941179,18,2.63499999,36,254,33.63899994,22.39199829,23,17.09090996,17.09090996
Mon Sep 23 10:15:22 GMT+02:00 2019,23-set-2019 10:15:22.233,14.24481691,41.59803287,6.96,4.288,520.9319458007812,73.1,1.5144043,7.06593323,5.92489624,-0.02842134,49.97873306,21.17647171,-,26.19683647,10.81847,3.81717539,9.24325943,10.81847,9.24325943,-,-,-,100.96421814,159.14906311,3.60800171,0.08118194,0.08118194,1526,4.28800011,520.9319458,41.59803391,14.24481678,73.09999847,13,16.47254181,0,83.52745819,-,-,13.33333397,12.94117641,-,-,2.74509811,18,2.63499999,37,255,35.31299973,25.05599976,26,17.83333397,17.83333397
Mon Sep 23 10:15:24 GMT+02:00 2019,23-set-2019 10:15:23.913,14.24498104,41.59807333,7.19,5.36,519.6043090820312,76.5,1.39949036,7.21676636,5.43649292,-0.00613847,49.97670364,12.15686321,-,46.83782959,10.9086237,2.13498187,9.16686821,10.9086237,9.16686821,-,-,-,56.47023392,146.31420898,0.54800034,0.09326472,0.09326472,1566,5.36000013,519.60430908,41.59807205,14.24498081,76.5,12,15.7738018,0,84.22619629,-,-,12.15686321,11.76470566,-,-,1.56862748,18,2.63499999,39,257,36.99399948,25.88399887,26,18.46153831,18.46153831
Mon Sep 23 10:15:25 GMT+02:00 2019,23-set-2019 10:15:25.567,14.24502453,41.59807697,7.02,5.36,518.7894287109375,76.3,1.12893677,6.81932068,6.48753357,-0.01466435,49.97481537,12.54901981,-,82.39510345,10.99253654,1.21363914,9.09689236,10.99253654,9.09689236,-,-,-,32.1007309,133.62382507,0.27199936,0.10498764,0.10498764,1523,5.36000013,518.78942871,41.59807587,14.24502468,76.30000305,12,15.14256001,0,84.85743713,-,-,12.15686321,11.76470566,-,-,1.56862748,18,2.63499999,41,259,38.64599991,25.27199936,25,18.9285717,18.9285717
Mon Sep 23 10:15:27 GMT+02:00 2019,23-set-2019 10:15:27.213,14.24519062,41.59810596,6.54,5.36,519.9208374023438,76.3,0.95655823,6.95100403,7.37579346,-0.00613693,49.97302246,26.27450943,-,80.64061737,11.07105446,1.24004412,9.03237534,11.07105446,9.03237534,-,-,-,32.79914474,123.54135895,1.13199997,0.11661264,0.11661264,1494,5.36000013,519.9208374,41.59810638,14.24519062,76.30000305,13,14.56159115,0,85.4384079,-,-,14.90196133,14.50980377,-,-,4.31372547,18,2.63499999,42,260,40.29299927,23.54399872,25,19.33333397,19.33333397
