GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Jan 01 12:21:40 GMT+01:00 2020,01-gen-2020 12:21:41.978,13.40179552,42.36014856,0.0,16.687,777.0,0.0,-0.35690308,7.71307373,4.43179321,0.01244674,-,-,32.94117737,-,0,15.94914055,-,6.26979971,-,-,-,-,-,-,-,-,-,-,-,0,-,561.08062744,-,-,-,-,-,-,-,-,832,16.68700027,777,42.36014938,13.40179539,0,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.77858543,-,-,-0.92141438,-,-,-,-,-,-,-0.15041183,0.7874639,0.53250557,0.02151804,-,0,-,0,0,0,-
Wed Jan 01 12:21:44 GMT+01:00 2020,01-gen-2020 12:21:45.408,13.40186931,42.36022601,1.52,16.687,772.0,61.8,-0.95748901,5.95793152,8.39071655,0.07254452,-,40.55844498,27.84313774,-,0,15.94907856,-,6.2698245,-,-,1029.25610352,0.00206352,-,-,-,-,0.00037143,-,-,1.01599979,-,561.08062744,-,-,86,-,-,-,-,-,904,16.68700027,772,42.36022568,13.40186977,61.79999924,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,13.77858543,-,-,0.14503765,-,-,-,-,-,-,-0.05784496,0.48927671,0.63275474,-0.11671068,-,1.10800004,-,5.47199965,8,2,8
Wed Jan 01 12:21:47 GMT+01:00 2020,01-gen-2020 12:21:48.625,13.40184462,42.36017576,0.0,13.653,775.0,0.0,-3.77384949,5.69113159,7.36061096,0.00374227,-,40.55768585,31.37254906,-,10.98946476,15.94867134,9.09943485,6.26998425,10.98946476,9.09943485,1029.23291016,0.00327015,-,-,-,-,0.00058863,-,-,0.38000011,0.00380694,561.08447266,-,-,80,-,-,-,26.44181252,1.58650875,844,13.65299988,775,42.36017609,13.40184498,0,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.18212891,0,63.81787109,-,-,-,-,-,13.63354778,-,-,0,-,-,-,-,-,-,-0.3627423,0.58769667,0.54031074,-0.05788894,-,4.10699987,-,0,2,2,5
Wed Jan 01 12:21:49 GMT+01:00 2020,01-gen-2020 12:21:50.674,13.40184423,42.36017059,1.95,13.653,777.0,179.9,-3.24623108,7.40917969,6.58174133,-0.05953221,-,40.55686188,86.66667175,-,2.02476501,15.94752884,49.38742065,6.2704339,6.50711489,15.3674736,1029.18566895,0.00458192,-,-,-,-,0.00082475,-,-,3.20799994,0.00581611,561.08648682,-,-,85,0,-,-,32.64451218,1.95867074,1029,13.65299988,777,42.36017227,13.40184402,179.8999939,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.45617294,0,41.54382706,-,-,-,-,-,13.77858543,-,-,0.14503765,-,-,-,-,3.3263073,0.35843942,-0.72190869,0.717583,0.1950468,0.06014041,-,6.30900002,-,7.01999998,4,2.33333325,4.66666651
Wed Jan 01 12:21:51 GMT+01:00 2020,01-gen-2020 12:21:52.734,13.40192084,42.36010292,3.86,13.653,778.0,119.8,-3.4747467,8.16171265,6.48602295,0.13917321,-,40.55433273,0,-,0.84448498,15.94628906,118.41290283,6.27092123,4.61957169,21.64657784,1029.04772949,0.00860423,-,-,-,-,0.00154876,-,-,3.55200005,0.01121792,561.09185791,-,-,96,0,-,-,117.78356171,7.06701326,1743,13.65299988,778,42.36010361,13.40192127,119.80000305,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.16816711,0,44.83183289,-,-,-,-,-,14.21369839,-,-,0.5801506,-,-,-,-,47.70388794,8.70741272,-0.28834754,0.85539585,0.2324876,-0.03769714,-,8.11699963,14.89999962,13.89599895,15,4.14285707,7.25
Wed Jan 01 12:21:53 GMT+01:00 2020,01-gen-2020 12:21:54.994,13.40204916,42.36007453,5.93,13.653,778.0,100.6,0.39924622,8.42492676,3.58473206,0.03741563,-,40.55433273,96.07843018,-,181.2480011,15.94641972,0,6.27086973,7.84990835,12.73873711,1029.04772949,0.00860423,-,-,-,-,0.00154876,0,0,2.36800003,0.02095042,561.1015625,-,-,85,0,-,-,0,0,1177,13.65299988,778,42.36007309,13.40204906,100.59999847,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.20969391,0,55.79030609,-,-,-,-,-,13.77858543,-,-,0.14503765,-,-,-,-,32.31797791,3.98344302,-0.06467486,0.92686331,0.60153252,0.16461691,-,10.12899971,14.89999962,21.34799957,19,6,9.60000038
Wed Jan 01 12:21:56 GMT+01:00 2020,01-gen-2020 12:21:57.139,13.40231793,42.36004018,8.09,13.653,776.0,103.7,-0.34373474,6.03210449,3.41723633,-0.27342397,-,40.55101395,60.7843132,-,3.31271648,15.94538307,30.18607903,6.27127743,6.94247007,14.4037962,1028.89196777,0.01388577,-,-,-,-,0.00249944,798.42126465,399.21063232,3.65600014,0.03600375,561.11663818,-,-,92,0,-,-,140.21788025,8.41307259,1723,13.65299988,776,42.36003876,13.402318,103.69999695,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.15973663,0,65.84026337,-,-,-,-,-,15.5190382,-,-,1.88549042,-,-,-,-,76.85666656,13.86771202,0.01264722,0.71843696,0.37908086,-0.13609041,-,13.10900021,14.69999981,29.12400055,29,8.55555534,12.83333302
Wed Jan 01 12:21:58 GMT+01:00 2020,01-gen-2020 12:21:59.495,13.40250035,42.35999716,8.83,13.653,775.0,110.9,2.07182312,2.29690552,9.2832489,0.06969143,-,40.54983521,92.94117737,-,12.85069466,15.94512939,7.78151894,6.27137709,7.92717409,12.61457348,1028.79516602,0.01576437,-,-,-,-,0.00283759,205.82102966,334.74743652,1.87599945,0.05404542,561.13470459,-,-,82,0,-,-,52.40174484,3.14410472,1188,13.65299988,775,42.3599968,13.40250015,110.90000153,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.63796425,0,70.36203766,-,-,-,-,-,14.06866074,-,-,0.43511295,-,-,-,-,24.85430908,3.0921185,0.21875596,0.14279333,0.87740242,0.01205682,-,15.10900021,14.69999981,31.7879982,31,10.80000019,15.4285717
Wed Jan 01 12:22:00 GMT+01:00 2020,01-gen-2020 12:22:01.742,13.40265086,42.35989988,7.9,15.17,773.0,131.1,1.14700317,2.86878967,8.22322083,0.01801176,-,40.54756546,58.8235321,-,8.52502823,15.94452,11.72992229,6.27161646,8.01258183,12.48011208,1028.72119141,0.01937264,-,-,-,-,0.00348708,310.25622559,328.62463379,1.2120018,0.07480097,561.15545654,-,-,82,0,-,-,92.16534424,5.52992058,1260.5,15.17000008,773,42.35990143,13.40265083,131.1000061,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.17488861,0,73.82511139,-,-,-,-,-,13.92362309,-,-,0.2900753,-,-,-,-,23.12134552,3.05206585,0.15643603,0.32914498,0.85313302,0.02077555,-,17.1079998,14.89999962,28.44000053,33,12.81818199,17.625
Wed Jan 01 12:22:03 GMT+01:00 2020,01-gen-2020 12:22:04.107,13.40268279,42.35962563,9.84,15.17,774.0,172.0,-0.68710327,0.49511719,10.75004578,0.11822063,-,40.54613876,60.7843132,-,12.73688412,15.94425774,7.85105038,6.27171993,8.60311985,11.62344837,1028.64587402,0.02164159,-,-,-,-,0.00389549,207.66014099,304.43173218,3.31200027,0.09635389,561.17700195,-,-,82,0,-,-,60.53211212,3.63192677,1364.5,15.17000008,774,42.35962677,13.40268326,172,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.27085114,0,77.72914886,-,-,-,-,-,14.93888664,-,-,1.30533886,-,-,-,-,36.28712845,5.18518353,-0.09016373,0.14230493,0.85911053,-0.02587417,-,20.10700035,14.89999962,35.42399979,36,14.75,19.66666603
