GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Dec 11 11:31:59 GMT+01:00 2019,11-dic-2019 11:31:51.229,13.9271846,42.05398412,0.0,15.17,436.0,0.0,-0.12480164,8.76350403,3.74147034,-0.01115926,-,-,-,-,-,17.14377022,-,5.83297157,-,-,-,-,-,-,-,-,-,-,-,-,-,869.14624023,-,-,-,-,-,-,-,-,-,15.17000008,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00515937,0.89381194,0.26663557,-0.03357055,-,-,-,-,-,-,-
Wed Dec 11 11:31:59 GMT+01:00 2019,11-dic-2019 11:31:51.747,13.9271846,42.05398412,0.0,15.17,436.0,0.0,-0.1726532,8.77308655,3.68643188,-0.01267296,-,-,-,-,-,17.14377022,-,5.83297157,-,-,-,-,-,-,-,-,-,-,-,0,-,869.14624023,-,-,-,-,-,-,-,-,-,15.17000008,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01759971,0.89430034,0.27578306,-0.02946461,-,0,-,-,0,0,-
Wed Dec 11 11:32:02 GMT+01:00 2019,11-dic-2019 11:31:54.527,13.92719537,42.05401734,0.0,15.17,450.0,0.0,-0.1882019,8.83888245,3.67326355,-0.01185523,-,-,52.94117737,-,0,14.2750206,-,7.00509787,-,-,-,-,-,-,-,-,-,-,-,0,-,869.14624023,-,-,-,-,-,-,-,-,802.5,15.17000008,450,42.05401611,13.92719555,0,21,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.63354778,-,-,-1.06645203,-,-,28.9995575,-,-,-,-0.0191847,0.90100735,0.27444074,-0.02376285,-,0,-,0,0,0,-
Wed Dec 11 11:32:05 GMT+01:00 2019,11-dic-2019 11:31:57.139,13.92717285,42.05402837,0.0,10.6189995,437.0,0.0,-0.20016479,8.84008789,3.65292358,-0.0118678,-,0,54.11764908,-,0,14.27499199,-,7.00511217,-,-,0,0.00056037,-,-,-,-,0.00081814,-,-,0,-,869.14624023,-,-,41,-,-,-,-,-,801,10.61899948,437,42.05402756,13.92717266,0,22,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.63354778,-,-,-0.2900753,-,-,28.9995575,-,-,-,-0.0232086,0.90588671,0.26748949,-0.02180194,-,0,-,0,0,0,-
Wed Dec 11 11:32:07 GMT+01:00 2019,11-dic-2019 11:31:59.801,13.92717491,42.05402799,0.0,10.6189995,441.0,0.0,0.00921631,8.67497253,3.67327881,-0.01231813,-,0,54.11764908,-,0,14.27496338,-,7.00512648,-,-,0,0.00125831,-,-,-,-,0.00183713,-,-,0,-,869.14624023,-,-,41,-,-,-,15.40709591,0.92442572,798,10.61899948,441,42.05402756,13.92717457,0,23,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,-,-,-0.43511391,-,-,28.9995575,-,-,-,-0.02015995,0.89527559,0.27395388,-0.02922204,-,0,-,0,0,0,-
Wed Dec 11 11:32:10 GMT+01:00 2019,11-dic-2019 11:32:02.005,13.92719811,42.05404077,0.0,10.6189995,443.0,0.0,-0.06257629,8.78025818,3.72950745,-0.01305567,-,0,52.54901886,-,0,14.27493382,-,7.0051403,-,-,0,0.00180893,-,-,-,-,0.00264104,-,-,0,-,869.14624023,-,-,40,6.66666651,0.78125,-,15.25271606,0.91516298,800.5,10.61899948,443,42.054039,13.92719841,0,24,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,-,-,-0.43511391,-,-,28.9995575,-,-,-,-0.00186652,0.89088458,0.27761224,-0.03205908,-,0,-,0,0,0,-
Wed Dec 11 11:32:12 GMT+01:00 2019,11-dic-2019 11:32:04.624,13.92719975,42.05404038,0.0,9.101999,446.0,0.0,-0.05419922,8.72283936,3.69599915,-0.01266067,-,0,54.11764908,-,0,14.2749052,-,7.00515461,-,-,0,0.00238929,-,-,-,-,0.00348836,-,-,0,-,869.14624023,-,-,41,7.05882359,1.5625,-,15.77760887,0.94665653,799.5,9.10199928,446,42.054039,13.92719936,0,24,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,3673.8059082,-,-0.43511391,-,-,28.9995575,-,-,-,-0.01650158,0.89868975,0.2806609,-0.02354242,-,0,13.19999981,0,0,0,-
Wed Dec 11 11:32:14 GMT+01:00 2019,11-dic-2019 11:32:06.774,13.92719033,42.05403811,0.0,7.585,448.0,0.0,-0.13674927,8.83050537,3.6289978,-0.01210667,-,0,53.33333588,-,0,14.27487659,-,7.00516891,-,-,0,0.00306845,-,-,-,-,0.00447993,-,-,0,-,869.14624023,-,-,41,6.66666651,-2.34375,-,15.68498039,0.94109881,800.5,7.58500004,448,42.054039,13.92719078,0,24,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,3638.99682617,-,-0.43511391,-,-,28.9995575,-,-,-,-0.01393978,0.9001534,0.26992843,-0.02636509,-,0,13.19999981,0,0,0,-
Wed Dec 11 11:32:17 GMT+01:00 2019,11-dic-2019 11:32:09.035,13.92719384,42.05403905,0.0,7.585,448.0,0.0,-0.21810913,8.79103088,3.6469574,-0.01208426,-,0,54.50980377,-,0,14.27484703,-,7.00518322,-,-,0,0.00362336,-,-,-,-,0.0052901,-,-,0,-,869.14624023,-,-,41,7.05882359,0.78125,-,15.40709591,0.92442578,800,7.58500004,448,42.054039,13.92719364,0,24,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.63354778,3567.9284668,-,-0.2900753,-,-,28.9995575,-,-,-,0.00288999,0.88210416,0.29151624,-0.03457907,-,0,13.19999981,0,0,0,-
Wed Dec 11 11:32:19 GMT+01:00 2019,11-dic-2019 11:32:11.587,13.92719292,42.05403881,0.0,7.585,448.0,0.0,0.0486908,8.64147949,3.84436035,-0.01324028,-,0,54.11764908,-,0,14.27481842,-,7.00519753,-,-,0,0.00422028,-,-,-,-,0.0061616,-,-,0,-,869.14624023,-,-,41,7.05882359,-1.5625,-,15.77760792,0.94665653,800,7.58500004,448,42.054039,13.92719269,0,24,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,3638.99682617,-,-0.43511391,-,-,28.9995575,-,-,-,0.00057395,0.87869,0.28822342,-0.03903982,-,0,13.19999981,0,0,0,-
