GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Dec 18 16:12:55 GMT+01:00 2019,18-dic-2019 16:12:46.567,14.20715814,42.45755593,0.4,19.720999,59.0,151.3,-0.8928833,9.16191101,2.64076233,-0.02192804,-,0,49.80392075,-,5.85838032,13.72416592,17.06921005,7.28626585,11.62140274,8.60463428,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,0,0.46288988,1340.04846191,0,47007,53,7.05882359,-1.5625,-,16.88914108,1.01334846,781.5,19.72099876,59,42.45755768,14.20715809,151.30000305,18,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,65.58256531,0,34.41743469,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.08967688,0.90881252,0.15382475,-0.05183172,603,95.49500275,12.80000019,1.43999994,0,18.84615326,19.34210587
Wed Dec 18 16:12:57 GMT+01:00 2019,18-dic-2019 16:12:49.279,14.20712316,42.45753519,0.0,21.237999,57.0,0.0,-0.82469177,9.13679504,2.50198364,-0.01620084,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,21.23799896,57,42.45753479,14.2071228,0,19,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,65.84069061,0,34.15930939,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09455471,0.93040037,0.16419169,-0.0278745,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:13:01 GMT+01:00 2019,18-dic-2019 16:12:52.350,14.20710785,42.45754261,0.0,18.203999,58.0,0.0,-1.01133728,9.06858826,2.47685242,-0.01318593,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,18.20399857,58,42.45754242,14.20710754,0,19,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,66.34574127,0,33.65425873,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.10309248,0.9244228,0.15248241,-0.03585903,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:13:04 GMT+01:00 2019,18-dic-2019 16:12:55.422,14.20709739,42.45754297,0.0,16.687,57.0,0.0,-0.90963745,9.08175659,2.48522949,-0.0163231,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,16.68700027,57,42.45754242,14.20709705,0,19,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,66.7142868,0,33.28570938,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09296973,0.92625356,0.15394607,-0.03474671,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:13:07 GMT+01:00 2019,18-dic-2019 16:12:58.903,14.20709642,42.45753405,0.0,16.687,57.0,0.0,-0.93714905,9.10568237,2.46728516,-0.01459187,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,16.68700027,57,42.45753479,14.2070961,0,20,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,67.07556915,0,32.92443085,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09565285,0.92722881,0.15394607,-0.03354811,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:13:10 GMT+01:00 2019,18-dic-2019 16:13:01.974,14.20710519,42.45754004,0.0,15.17,58.0,0.0,-0.92997742,9.09013367,2.4732666,-0.01592472,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,15.17000008,58,42.4575386,14.20710564,0,21,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,67.42861938,0,32.5713768,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.0963839,0.92698461,0.15236108,-0.03412552,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:16:23 GMT+01:00 2019,18-dic-2019 16:16:14.710,14.20718134,42.45756845,0.0,13.653,62.0,0.0,-0.92997742,9.08415222,2.47566223,-0.01677322,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,13.65299988,62,42.45756912,14.20718098,0,23,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,80.72810364,0,19.27189255,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09479892,0.92600936,0.15236108,-0.03521921,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:16:24 GMT+01:00 2019,18-dic-2019 16:16:15.769,14.20718155,42.4575687,0.0,13.653,62.0,0.0,-0.94194031,9.07337952,2.47566223,-0.01748228,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,13.65299988,62,42.45756912,14.20718193,0,23,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,80.76859283,0,19.23141098,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09479892,0.92478991,0.1507761,-0.03680461,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:19:37 GMT+01:00 2019,18-dic-2019 16:19:28.497,14.20716346,42.45760224,0.0,13.653,55.0,0.0,-0.93595886,9.10209656,2.48045349,-0.01609256,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,13.65299988,55,42.45760345,14.20716381,0,22,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,86.33605194,0,13.66394997,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09540865,0.92783856,0.1528495,-0.03327445,603,95.49500275,12.69999981,0,0,18.375,19.34210587
Wed Dec 18 16:19:38 GMT+01:00 2019,18-dic-2019 16:19:29.501,14.20716349,42.45760217,0.0,13.653,55.0,0.0,-0.92758179,9.09970093,2.48403931,-0.01611813,-,0,41.96078491,-,2.03560805,13.72389698,49.1243515,7.2864089,11.36914539,8.79555321,0,0.06208325,-,-,-,-,0.09064154,-,279.0586853,1.43999994,0.46288988,1340.04846191,0,47007,52,7.05882359,-1.5625,-,16.88914108,1.01334846,797,13.65299988,55,42.45760345,14.20716381,0,22,73.72548676,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,86.35649109,0,13.6435051,-,-,85.88235474,-,-,14.35873604,3567.9284668,-,-0.43511295,-,-,28.9995575,-,-,-,-0.09528732,0.92686331,0.15272661,-0.03425526,603,95.49500275,12.69999981,0,0,18.375,19.34210587
