GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Nov 04 14:32:54 GMT+01:00 2019,04-nov-2019 14:32:54.961,13.91210702,42.08257079,26.46,15.17,408.0,326.1,0.38847351,7.22970581,6.22640991,-0.00758243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4180274,-,-,-,-,-,-,-,-,-,15.17000008,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06882165,0.77856064,0.48067236,-0.02597676,-,-,-,-,-,-,-
Mon Nov 04 14:32:54 GMT+01:00 2019,04-nov-2019 14:32:55.482,13.91210702,42.08257079,26.46,15.17,408.0,326.1,0.21020508,7.92243958,5.49778748,0.02773834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,4.4180274,-,-,-,-,-,-,-,-,-,15.17000008,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02142763,0.8075881,0.46042684,-0.0164368,-,-0.001,-,-,95,95,95
Mon Nov 04 14:32:57 GMT+01:00 2019,04-nov-2019 14:32:58.467,13.91156257,42.08315669,26.3,7.585,406.0,326.2,0.48060608,8.28494263,6.25392151,-0.00605554,-,-,93.33333588,-,0,0,-,∞,0,∞,-,-,-,-,-,-,-,-,-,0.35599518,0.05566555,4.47369289,-,-,-,-,-,-,-,-,1806.5,7.58500004,406,42.08315659,13.91156292,326.20001221,18,96.86274719,-,-,-,1.65899658,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,14.93888664,-,-,0.23888683,-,-,24.05544853,-,-,-,-0.00393835,0.77734119,0.48786777,-0.02505773,-,3.39299989,-,94.67999268,94,94.33333588,94.33333588
Mon Nov 04 14:33:00 GMT+01:00 2019,04-nov-2019 14:33:01.226,13.91102461,42.08375063,25.32,9.101999,408.0,327.3,-0.38441467,8.87358093,4.71653748,0.00423229,-,99.99417877,99.21569061,-,24.80062675,12.40031338,4.03207207,8.06414413,12.40031338,8.06414413,0,0.00232853,-,-,-,-,0.00339732,106.64823914,106.64823914,0.7440033,0.11644055,4.53446817,-,-,49,-,-,-,-,-,1798,9.10199928,408,42.08375168,13.91102505,327.29998779,19,96.86274719,-,-,-,1.5456543,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,16.38926506,-,-,2.46564198,-,-,22.4119873,-,-,-,-0.10357933,0.86795753,0.29566148,-0.04017912,-,6.39099979,-,91.1519928,93,94,94
Mon Nov 04 14:33:03 GMT+01:00 2019,04-nov-2019 14:33:03.991,13.91051562,42.08432767,25.65,12.136,408.0,325.8,0.84310913,8.03010559,3.19232178,-0.03369932,-,99.97671509,85.88235474,-,9.67310524,11.49124432,10.33772659,8.70209694,11.49124432,8.70209694,495.9055481,0.00931317,-,-,-,-,0.01358791,273.43267822,190.04046631,2.3440094,0.18812388,4.60615158,-,-,67,-,-,-,151.89497375,9.11369801,1799,12.13599968,408,42.0843277,13.91051579,325.79998779,21,96.86274719,-,-,-,1.45211792,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,22.62588692,-,-,8.70226383,-,-,21.05570984,-,-,-,-0.12797162,0.69355625,0.00979173,-0.28599766,-,9.3920002,-,92.33999634,94,94,94
Mon Nov 04 14:33:05 GMT+01:00 2019,04-nov-2019 14:33:06.508,13.91015611,42.08471729,26.65,7.585,409.0,326.2,-0.39398193,9.21813965,2.18733215,-0.01838603,-,99.966362,96.07843018,-,16.79598045,12.81742859,5.95368195,7.8017149,12.81742859,7.8017149,459.50299072,0.0134567,-,-,-,-,0.01963333,157.47477722,179.18522644,2.66000366,0.24713388,4.66516161,-,-,66,0,-0.78125,-,110.05404663,6.60324287,1829,7.58500004,409,42.0847168,13.91015625,326.20001221,23,96.86274719,-,-,-,1.46090698,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,20.30528259,15123.08496094,-,6.38165951,-,-,21.05570984,-,25.52507591,4.88898563,-0.02869772,0.946132,0.09613843,-0.03299524,-,11.39400005,12.39999962,95.93999481,95,94.16666412,94.16666412
Mon Nov 04 14:33:07 GMT+01:00 2019,04-nov-2019 14:33:08.715,13.90978201,42.08512063,27.07,6.068,407.0,326.6,-1.81890869,9.42871094,1.00048828,0.00209508,-,99.95339966,96.47058868,-,13.50967216,12.9558773,7.40195036,7.71834421,12.9558773,7.71834421,512.46691895,0.01864132,-,-,-,-,0.02719768,195.78144836,183.33428955,0.44800568,0.31510723,4.73313475,-,-,67,0,-0.78125,-,122.4712677,7.34827614,1861,6.06799984,407,42.08512115,13.90978241,326.6000061,23,98.03921509,-,-,-,1.48410034,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,21.46558571,15052.01660156,-,7.54196262,-,-,21.51945496,-,25.52507591,4.88898563,0.03386798,1.0100385,0.32005376,0.09480059,-,13.51000023,12.39999962,97.45199585,97,94.57142639,94.57142639
Mon Nov 04 14:33:10 GMT+01:00 2019,04-nov-2019 14:33:10.860,13.9092453,42.08573811,27.39,4.5509996,404.0,326.9,-0.67155457,9.20977783,2.62640381,-0.03733679,-,99.94248199,99.60784149,-,13.82423878,13.10060406,7.23352098,7.63307714,13.10060406,7.63307714,517.94580078,0.02300816,-,-,-,-,0.0335689,191.32649231,184.932724,0.22400665,0.37441972,4.79244709,-,-,66,0,-2.34375,-,119.04145813,7.14248753,1884.5,4.55099964,404,42.08573914,13.90924549,326.8999939,22,98.03921509,-,-,-,1.46871948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,21.75566101,15017.20703125,-,7.83203793,-,-,21.2964325,-,26.2321682,5.17688227,-0.07955413,0.85990816,0.09747921,-0.11382549,-,16.3920002,12.30000019,98.60399628,98,95,95
Mon Nov 04 14:33:12 GMT+01:00 2019,04-nov-2019 14:33:13.319,13.90886451,42.08614657,27.94,4.5509996,404.0,327.0,-0.46456909,10.28056335,2.93986511,-0.0294984,-,99.931633,95.29412079,-,13.33369446,13.13390255,7.49964094,7.61372471,13.13390255,7.61372471,523.67480469,0.02734792,-,-,-,-,0.03990061,198.3653717,187.17150879,0.39600372,0.43324611,4.85127354,-,-,66,0,0,-,121.67555237,7.30053329,1922,4.55099964,404,42.08614731,13.90886497,327,22,98.03921509,-,-,-,1.45089722,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,21.75566101,15052.01660156,-,7.83203793,-,-,21.2964325,-,26.47847366,5.32947397,-0.04735668,1.04796767,0.19968043,0.09137556,-,18.39500046,12.30000019,100.58399963,99,95.44444275,95.44444275
Mon Nov 04 14:33:14 GMT+01:00 2019,04-nov-2019 14:33:15.574,13.90848149,42.08656741,28.11,4.5509996,404.0,327.6,-1.04602051,8.46440125,2.63838196,-0.11114032,-,99.9189682,98.03921509,-,13.97654343,13.23923302,7.15469599,7.55315065,13.23923302,7.55315065,524.93939209,0.03241401,-,-,-,-,0.04729204,189.24159241,187.46722412,0.27200317,0.50182945,4.91985703,-,-,66,0,1.5625,-,123.06300354,7.38378,1943.5,4.55099964,404,42.08656693,13.9084816,327.6000061,22,98.03921509,-,-,-,1.46554565,-,-,-,-,-,-,-,-,-,-,-,-,-,0,100,0,-,-,-,-,-,21.61062241,15194.15332031,-,7.68699932,-,-,21.25041199,-,46.52579498,9.46926689,-0.08235857,0.83832186,0.11223716,-0.13101968,-,20.39299965,12.39999962,101.19599915,101,96,96
