GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Wed Oct 16 18:58:33 GMT+02:00 2019,16-ott-2019 18:58:34.303,13.93115003,42.04805186,0.0,42.475998,465.0,0.0,-0.07215881,5.68634033,7.81643677,0.00434637,
Wed Oct 16 18:58:33 GMT+02:00 2019,16-ott-2019 18:58:34.574,13.93115003,42.04805186,0.0,42.475998,465.0,0.0,-0.01831055,5.68035889,7.44316101,0.00426207,
Wed Oct 16 18:58:33 GMT+02:00 2019,16-ott-2019 18:58:34.844,13.93115003,42.04805186,0.0,42.475998,465.0,0.0,-0.22648621,6.03329468,7.27566528,-0.00238039,
Wed Oct 16 18:58:34 GMT+02:00 2019,16-ott-2019 18:58:35.705,13.93114681,42.04804841,0.0,25.789,465.0,0.0,0.13005066,5.67677307,7.17755127,-0.00849357,
Wed Oct 16 18:58:34 GMT+02:00 2019,16-ott-2019 18:58:36.063,13.93114681,42.04804841,0.0,25.789,465.0,0.0,-0.10206604,6.04167175,7.47306824,0.01476605,
Wed Oct 16 18:58:35 GMT+02:00 2019,16-ott-2019 18:58:36.428,13.93113457,42.04804341,0.0,22.755,465.0,0.0,0.15158081,5.93638611,6.96578979,0.00152811,
Wed Oct 16 18:58:35 GMT+02:00 2019,16-ott-2019 18:58:36.783,13.93113457,42.04804341,0.0,22.755,465.0,0.0,0.37651062,5.68992615,7.1799469,0.01134691,
Wed Oct 16 18:58:36 GMT+02:00 2019,16-ott-2019 18:58:37.263,13.93113383,42.04801299,0.0,21.237999,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:36 GMT+02:00 2019,16-ott-2019 18:58:37.624,13.93113383,42.04801299,0.0,21.237999,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:36 GMT+02:00 2019,16-ott-2019 18:58:37.863,13.93113383,42.04801299,0.0,21.237999,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:37 GMT+02:00 2019,16-ott-2019 18:58:38.102,13.93113538,42.04801225,0.0,15.17,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:37 GMT+02:00 2019,16-ott-2019 18:58:38.344,13.93113538,42.04801225,0.0,15.17,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:37 GMT+02:00 2019,16-ott-2019 18:58:38.583,13.93113538,42.04801225,0.0,15.17,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:37 GMT+02:00 2019,16-ott-2019 18:58:38.821,13.93113538,42.04801225,0.0,15.17,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:37 GMT+02:00 2019,16-ott-2019 18:58:39.061,13.93113538,42.04801225,0.0,15.17,466.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.302,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.421,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.545,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.662,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.781,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:39.901,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:38 GMT+02:00 2019,16-ott-2019 18:58:40.023,13.93113916,42.04803532,0.0,7.585,468.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.143,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.261,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.381,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.502,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.624,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.743,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.861,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:39 GMT+02:00 2019,16-ott-2019 18:58:40.981,13.93113779,42.04806127,0.0,7.585,470.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.102,13.93113047,42.04807565,0.0,7.585,469.0,0.0,0.21379089,5.94596863,7.51374817,-0.0014368,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.221,13.93113047,42.04807565,0.0,7.585,469.0,0.0,2.4319458,5.43869019,7.340271,-0.01720646,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.345,13.93113047,42.04807565,0.0,7.585,469.0,0.0,2.92965698,5.87298584,7.23379517,-0.00481404,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.462,13.93113047,42.04807565,0.0,7.585,469.0,0.0,3.18688965,5.87179565,7.58673096,0.00913954,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.702,13.93113047,42.04807565,0.0,7.585,469.0,0.0,3.28857422,5.36450195,7.88583374,0.06944022,
Wed Oct 16 18:58:40 GMT+02:00 2019,16-ott-2019 18:58:41.944,13.93113047,42.04807565,0.0,7.585,469.0,0.0,1.88877869,5.67079163,7.43717957,-0.05950072,
Wed Oct 16 18:58:41 GMT+02:00 2019,16-ott-2019 18:58:42.182,13.93113327,42.0480695,0.0,7.585,469.0,0.0,2.14122009,5.79879761,7.24575806,0.00446005,
Wed Oct 16 18:58:41 GMT+02:00 2019,16-ott-2019 18:58:42.421,13.93113327,42.0480695,0.0,7.585,469.0,0.0,2.92486572,5.91246033,7.12611389,0.01041473,
Wed Oct 16 18:58:41 GMT+02:00 2019,16-ott-2019 18:58:42.662,13.93113327,42.0480695,0.0,7.585,469.0,0.0,2.85427856,5.90408325,7.15362549,0.00825685,
Wed Oct 16 18:58:41 GMT+02:00 2019,16-ott-2019 18:58:42.903,13.93113327,42.0480695,0.0,7.585,469.0,0.0,3.0098114,5.80838013,7.32830811,0.0061222,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.146,13.93113469,42.04806602,0.0,7.585,469.0,0.0,3.081604,5.98544312,7.12490845,0.00110053,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.383,13.93113469,42.04806602,0.0,7.585,469.0,0.0,2.86743164,5.9208374,7.34266663,0.02396053,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.502,13.93113469,42.04806602,0.0,7.585,469.0,0.0,2.97990417,5.51046753,7.20626831,0.01075836,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.622,13.93113469,42.04806602,0.0,7.585,469.0,0.0,2.98348999,5.668396,7.26968384,0.00013519,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.744,13.93113469,42.04806602,0.0,7.585,469.0,0.0,2.69036865,5.4805603,7.3175354,-0.00954211,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.862,13.93113469,42.04806602,0.0,7.585,469.0,0.0,3.06126404,5.67437744,7.30198669,0.0061396,
Wed Oct 16 18:58:42 GMT+02:00 2019,16-ott-2019 18:58:43.982,13.93113469,42.04806602,0.0,7.585,469.0,0.0,3.20123291,6.06440735,6.93588257,0.00552223,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.104,13.93113382,42.04806864,0.0,6.068,469.0,0.0,2.9057312,5.83828735,7.13926697,0.00467139,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.222,13.93113382,42.04806864,0.0,6.068,469.0,0.0,2.66523743,5.26400757,7.36419678,-0.00919358,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.343,13.93113382,42.04806864,0.0,6.068,469.0,0.0,2.51809692,5.60858154,7.35102844,-0.00368014,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.461,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.16415405,5.57388306,7.12850952,-0.00381106,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.582,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.46086121,5.80717468,7.04595947,0.00953932,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.702,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.57331848,5.63728333,7.24934387,0.0066699,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.821,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.11628723,5.62173462,7.19549561,0.00252002,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:44.943,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.13543701,5.43629456,7.12850952,-0.01395518,
Wed Oct 16 18:58:43 GMT+02:00 2019,16-ott-2019 18:58:45.062,13.93113382,42.04806864,0.0,6.068,469.0,0.0,3.31130981,5.72822571,7.11534119,0.00027791,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.185,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.07800293,5.51765442,7.20626831,-0.00405979,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.303,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.29574585,5.69950867,6.98612976,0.00273725,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.462,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.29934692,5.57267761,7.1524353,0.0017583,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.582,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.05049133,5.55235291,7.11296082,-0.01003754,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.704,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.20481873,5.56790161,7.15362549,-0.00471542,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.824,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.28378296,5.87059021,7.09500122,0.00136027,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:45.945,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.14979553,5.81436157,6.92512512,-0.00492996,
Wed Oct 16 18:58:44 GMT+02:00 2019,16-ott-2019 18:58:46.062,13.93113424,42.04806516,0.0,7.585,469.0,0.0,3.31610107,5.56669617,7.06269836,-0.00318985,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.182,13.9311317,42.04807051,0.0,7.585,470.0,0.0,2.85667419,5.55114746,7.18592834,0.00000615,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.305,13.9311317,42.04807051,0.0,7.585,470.0,0.0,3.59844971,5.83589172,6.80667114,0.00382364,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.422,13.9311317,42.04807051,0.0,7.585,470.0,0.0,2.72386169,5.67556763,7.18952942,0.00595918,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.544,13.9311317,42.04807051,0.0,7.585,470.0,0.0,2.90452576,5.25563049,7.38095093,-0.00330408,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.663,13.9311317,42.04807051,0.0,7.585,470.0,0.0,2.97392273,5.87896729,6.99092102,-0.00177282,
Wed Oct 16 18:58:45 GMT+02:00 2019,16-ott-2019 18:58:46.907,13.9311317,42.04807051,0.0,7.585,470.0,0.0,2.92965698,5.49731445,7.33308411,0.00283165,
Wed Oct 16 18:58:46 GMT+02:00 2019,16-ott-2019 18:58:47.143,13.93113168,42.04806912,0.0,9.101999,470.0,0.0,3.12705994,5.6026001,7.22181702,-0.00439596,
Wed Oct 16 18:58:46 GMT+02:00 2019,16-ott-2019 18:58:47.382,13.93113168,42.04806912,0.0,9.101999,470.0,0.0,3.08039856,5.56550598,7.19551086,-0.00198698,
Wed Oct 16 18:58:46 GMT+02:00 2019,16-ott-2019 18:58:47.624,13.93113168,42.04806912,0.0,9.101999,470.0,0.0,3.19764709,5.97468567,6.91793823,0.01433739,
Wed Oct 16 18:58:46 GMT+02:00 2019,16-ott-2019 18:58:47.862,13.93113168,42.04806912,0.0,9.101999,470.0,0.0,1.70692444,4.28533936,8.43618774,0.04095324,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.102,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,0.61579895,5.91725159,5.49780273,-0.00111075,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.343,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,-0.70025635,5.52482605,8.92312622,0.0075091,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.463,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,-0.96109009,6.40896606,7.42999268,0.06123673,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.583,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,-1.31642151,7.28355408,7.59510803,-0.02282966,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.702,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,-0.69787598,7.44625854,6.12471008,-0.01755085,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.822,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,0.81559753,6.86720276,4.76799011,-0.04899971,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:48.946,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,0.84310913,7.38644409,5.68922424,-0.06335052,
Wed Oct 16 18:58:47 GMT+02:00 2019,16-ott-2019 18:58:49.063,13.93113067,42.04806798,0.0,9.101999,470.0,0.0,-0.4526062,7.67358398,6.25033569,-0.02622869,
Wed Oct 16 18:58:48 GMT+02:00 2019,16-ott-2019 18:58:49.182,13.93113,42.04806867,0.0,7.585,470.0,0.0,-0.13795471,7.81715393,6.50996399,-0.01159453,
Wed Oct 16 18:58:48 GMT+02:00 2019,16-ott-2019 18:58:49.389,13.93113,42.04806867,0.0,7.585,470.0,0.0,-0.48490906,7.41874695,4.94744873,0.03611962,
Wed Oct 16 18:58:48 GMT+02:00 2019,16-ott-2019 18:58:49.693,13.93113,42.04806867,0.0,7.585,470.0,0.0,0.72108459,6.61476135,6.83178711,-0.03148941,
Wed Oct 16 18:58:49 GMT+02:00 2019,16-ott-2019 18:58:50.110,13.93113002,42.04806945,0.0,7.585,470.0,0.0,-2.51881409,7.67837524,5.58992004,-0.0121061,
Wed Oct 16 18:58:49 GMT+02:00 2019,16-ott-2019 18:58:50.313,13.93113002,42.04806945,0.0,7.585,470.0,0.0,-0.80554199,6.55255127,6.64634705,-0.00323659,
Wed Oct 16 18:58:49 GMT+02:00 2019,16-ott-2019 18:58:50.431,13.93113002,42.04806945,0.0,7.585,470.0,0.0,0.0211792,6.99401855,6.9490509,-0.01605504,
Wed Oct 16 18:58:49 GMT+02:00 2019,16-ott-2019 18:58:50.671,13.93113002,42.04806945,0.0,7.585,470.0,0.0,-0.86178589,7.47976685,5.47625732,-0.01786672,
Wed Oct 16 18:58:49 GMT+02:00 2019,16-ott-2019 18:58:50.911,13.93113002,42.04806945,0.0,7.585,470.0,0.0,-1.7303772,7.44506836,6.39390564,0.004682,
Wed Oct 16 18:58:50 GMT+02:00 2019,16-ott-2019 18:58:51.152,13.93112985,42.04806983,0.0,6.068,470.0,0.0,-3.20913696,7.83628845,5.17596436,-0.01364917,
Wed Oct 16 18:58:50 GMT+02:00 2019,16-ott-2019 18:58:51.392,13.93112985,42.04806983,0.0,6.068,470.0,0.0,-0.21452332,6.56809998,3.35263062,-0.00573516,
Wed Oct 16 18:58:50 GMT+02:00 2019,16-ott-2019 18:58:51.631,13.93112985,42.04806983,0.0,6.068,470.0,0.0,-0.71821594,6.73678589,7.36778259,-0.00325663,
Wed Oct 16 18:58:50 GMT+02:00 2019,16-ott-2019 18:58:51.872,13.93112985,42.04806983,0.0,6.068,470.0,0.0,1.02854919,6.21037292,7.73388672,0.07438225,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.112,13.9311298,42.04807006,0.0,6.068,470.0,0.0,0.16833496,6.99401855,8.06410217,0.04107543,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.351,13.9311298,42.04807006,0.0,6.068,470.0,0.0,1.84451294,6.15293884,7.47306824,-0.01848395,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.472,13.9311298,42.04807006,0.0,6.068,470.0,0.0,-0.15710449,6.16012573,7.01005554,0.00047189,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.593,13.9311298,42.04807006,0.0,6.068,470.0,0.0,0.35018921,6.26780701,7.39889526,0.00539319,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.711,13.9311298,42.04807006,0.0,6.068,470.0,0.0,1.06803894,5.69232178,7.75901794,0.0250226,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.831,13.9311298,42.04807006,0.0,6.068,470.0,0.0,0.25209045,6.03210449,8.32611084,0.01832564,
Wed Oct 16 18:58:51 GMT+02:00 2019,16-ott-2019 18:58:52.951,13.9311298,42.04807006,0.0,6.068,470.0,0.0,0.37890625,6.28096008,7.46469116,0.03179453,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.074,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.5332489,6.13739014,7.03279114,-0.00129053,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.194,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.79644775,6.05723572,8.03897095,-0.00552907,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.312,13.93112989,42.0480704,0.0,6.068,470.0,0.0,-0.00514221,6.38504028,7.22421265,0.01135607,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.431,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.5763092,5.97348022,7.58433533,-0.00402595,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.552,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.38847351,6.17567444,7.33668518,0.00188792,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.673,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.32267761,6.08714294,7.06150818,-0.03007489,
Wed Oct 16 18:58:52 GMT+02:00 2019,16-ott-2019 18:58:53.793,13.93112989,42.0480704,0.0,6.068,470.0,0.0,0.05587769,6.1469574,7.93728638,0.00665047,
