GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Sat Feb 15 08:20:49 GMT+01:00 2020,15-feb-2020 08:20:46.514,13.92416609,42.04367632,5.48,21.237999,465.0,20.6,-1.13696289,7.5395813,6.07685852,0.01290298,-,-,51.37255096,-,0,14.04827499,-,7.11816359,-,-,-,-,-,-,-,-,-,-,-,22,0.01150778,3703.32983398,-,-,-,-,-,-,-,-,1426.5,21.23799896,465,42.04367447,13.92416573,20.60000038,15,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.95415115,-,-,1.25415134,-,-,14.50663757,-,17.04509544,2.54629755,-0.11589836,0.76856077,0.51945549,-0.00575745,-,2.73900008,-,19.72799873,22,20.66666603,20.66666603
Sat Feb 15 08:20:52 GMT+01:00 2020,15-feb-2020 08:20:49.285,13.92418899,42.04379679,4.56,27.306,464.0,0.3,-1.64782715,8.2933197,4.57417297,-0.00934713,-,0,9.01960754,-,10.26469612,14.04824352,9.74192715,7.11817932,10.26469612,9.74192715,0,0.00392194,-,-,-,-,0.00572604,257.67379761,257.67379761,3.36800003,0.0233775,3703.34179688,-,-,74,-,-,-,-,-,1142.5,27.30599976,464,42.04379654,13.92418861,0.30000001,16,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,-,-,-0.14503765,-,-,14.50663757,-,17.04509544,2.54629755,-0.1490695,0.88015211,0.43408406,0.04061266,-,5.73899984,-,16.41599846,16,19.5,19.5
Sat Feb 15 08:20:55 GMT+01:00 2020,15-feb-2020 08:20:52.152,13.92420426,42.0438866,5.27,24.272,461.0,6.9,-1.09986877,8.5146637,3.68762207,-0.01009012,-,0,65.88235474,-,38.45634079,14.04825497,2.60029721,7.1181736,12.85888195,7.77656412,0,0.00904825,-,-,-,-,0.01321044,68.77781677,163.22579956,4.89599991,0.03641555,3703.35473633,-,-,84,-,-,-,111.03912354,6.66234732,1191.5,24.27199936,461,42.04388809,13.92420387,6.9000001,20,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.64881134,-,-,0.43511295,-,-,14.50663757,-,-,2.54629755,-0.07321263,0.93771708,0.31968823,0.03030898,-,8.73900032,-,18.97200012,18,19.20000076,19.20000076
Sat Feb 15 08:20:57 GMT+01:00 2020,15-feb-2020 08:20:54.665,13.92421118,42.04400975,6.59,27.306,458.0,3.9,-0.95869446,8.69412231,4.76080322,0.00364797,-,0,69.01960754,-,3.43389964,14.04816628,29.12080574,7.1182189,9.71722126,10.29079437,0,0.01684533,-,-,-,-,0.02459419,770.24475098,365.56546021,10.02799988,0.0517493,3703.37011719,-,-,88,11.76470566,-33.59375,-,198.3150177,11.89890099,1875.5,27.30599976,458,42.04401016,13.9242115,3.9000001,21,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,24.36634064,9344.78125,-,10.15264225,-,-,14.50663757,-,79.99340057,15.71119499,0.02972119,0.74990177,0.31749198,-0.14090772,-,10.73999977,13.80000019,23.72399902,29,20.83333397,20.83333397
Sat Feb 15 08:21:00 GMT+01:00 2020,15-feb-2020 08:20:57.285,13.92407362,42.04431928,9.46,24.272,452.0,352.5,-0.35211182,8.1940155,4.90795898,-0.01229763,-,0,9.4117651,-,6.2642231,14.04810047,15.96333885,7.1182518,8.85397148,11.29413128,0,0.02382486,-,-,-,-,0.03478429,422.2300415,379.7315979,4.61600304,0.0741493,3703.39257812,-,-,85,4.70588255,-19.53125,-,166.77471924,10.00648308,1293.5,24.27199936,452,42.04431915,13.92407322,352.5,21,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.82437706,4029.1484375,-,2.61067867,-,-,14.50663757,-,79.99340057,15.71119499,-0.03589315,0.83527166,0.40030161,-0.02536287,-,13.73999977,13.60000038,34.05599976,35,22.8571434,22.8571434
Sat Feb 15 08:21:02 GMT+01:00 2020,15-feb-2020 08:20:59.435,13.92408829,42.04443312,8.93,25.789,444.0,352.1,-1.08432007,8.46081543,5.47625732,0.02229257,-,0,65.49019623,-,88.39321899,14.04811287,1.13128495,7.11824608,10.17375946,9.82900333,0,0.02828083,-,-,-,-,0.04129002,29.92246628,309.76977539,0.05599976,0.09934389,3703.41772461,-,-,83,12.94117641,3.90625,-,101.65727997,6.09943676,1429.5,25.78899956,444,42.04443359,13.92408848,352.1000061,21,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.64881134,6155.40136719,-,0.43511295,-,-,14.50663757,-,-,-,-0.09857862,0.85807896,0.40457126,0.00064643,-,15.73999977,13.80000019,32.14799881,34,24.25,24.25
Sat Feb 15 08:21:04 GMT+01:00 2020,15-feb-2020 08:21:01.644,13.92404172,42.04458052,8.83,28.823,443.0,346.1,-0.81033325,8.40818787,4.4664917,-0.01573858,-,0,70.19608307,-,11.11954594,14.04808807,8.99298573,7.11825848,10.33139038,9.67903805,0,0.03245216,-,-,-,-,0.04738015,237.86431885,297.78552246,3.85200119,0.12024666,3703.43847656,-,-,80,10.1960783,-8.59375,-,116.40901184,6.98454046,1511,28.82299995,443,42.04458237,13.92404175,346.1000061,22,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.09918976,6155.40136719,-,1.88549137,-,-,14.50663757,-,24.49501038,3.87596726,-0.10699506,0.84490758,0.37139857,-0.02625418,-,17.73999977,13.80000019,31.7879982,36,25.55555534,25.55555534
Sat Feb 15 08:21:06 GMT+01:00 2020,15-feb-2020 08:21:04.066,13.92387733,42.04485158,11.25,22.755,443.0,339.0,-0.849823,7.85064697,4.41743469,-0.05866301,-,0,72.15686035,-,7.01084852,14.04802895,14.26331234,7.11828852,9.85702705,10.14483547,0,0.03981148,-,-,-,-,0.05812476,377.26434326,309.13964844,0.41999817,0.14564249,3703.46386719,-,-,85,5.88235283,-3.125,-,181.71162415,10.90269756,1645.5,22.75499916,443,42.04485321,13.92387772,339,21,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.11445236,10692.18164062,-,2.90075397,-,-,14.50663757,-,32.219944,5.55214357,-0.10540852,0.81271011,0.42664596,-0.02551898,-,19.73999977,13.89999962,40.5,39,26.89999962,26.89999962
Sat Feb 15 08:21:09 GMT+01:00 2020,15-feb-2020 08:21:06.297,13.92377396,42.04509059,11.44,15.17,440.0,337.8,1.3755188,9.21815491,8.20527649,0.28479475,-,0,61.56863022,-,8.01100254,14.0479784,12.4825716,7.11831427,9.62627411,10.38801861,0,0.04597481,-,-,-,-,0.06712322,330.16381836,311.76766968,3.04000092,0.17057277,3703.48876953,-,-,82,29.80392075,0,-,167.33023071,10.039814,1822,15.17000008,440,42.04508972,13.92377377,337.79998779,22,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,19.29001999,5021.20654297,-,5.0763216,-,-,14.50663757,-,47.66311646,9.09428978,0.14021598,0.93966919,0.73641962,0.26622719,-,22.73900032,13.80000019,41.18399811,43,28.36363602,28.36363602
Sat Feb 15 08:21:11 GMT+01:00 2020,15-feb-2020 08:21:08.553,13.9236643,42.04529395,11.68,18.203999,439.0,337.6,-0.90605164,7.75733948,6.337677,0.08573133,-,0,0,-,11.80452347,14.04795933,8.47115231,7.1183238,9.86830235,10.13324451,0,0.05147359,-,-,-,-,0.07515144,224.06182861,302.02258301,2.18399811,0.19607249,3703.5144043,-,-,79,21.56862831,0,-,147.94929504,8.87695789,1669.5,18.20399857,439,42.04529572,13.92366409,337.6000061,23,96.86274719,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.09918976,4844.26025391,-,1.88549137,-,-,14.50663757,-,47.66311646,9.09428978,-0.07260291,0.85039514,0.56165278,0.08028906,-,24.74300003,13.80000019,42.04800034,39,29.25,29.25
