GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Sun Jan 05 11:15:24 GMT+01:00 2020,05-gen-2020 11:15:23.913,13.90708944,42.07678843,9.95,7.585,401.0,343.2,-1.24822998,10.15612793,2.51513672,-0.00410785,-,-,-,-,-,16.43355751,-,6.08505678,-,-,-,-,-,-,-,-,-,-,-,-,-,1914.11413574,-,-,-,-,-,-,-,-,-,7.58500004,401,42.07678986,13.90708923,343.20001221,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.12724057,1.03528309,0.15638499,0.07448729,-,-,-,35.81999969,-,-,-
Sun Jan 05 11:15:25 GMT+01:00 2020,05-gen-2020 11:15:24.443,13.90703941,42.0768707,10.26,7.585,399.0,338.7,-0.86776733,8.92622375,4.11952209,0.008499,-,-,-,-,-,16.43355751,-,6.08505678,-,-,-,-,-,-,-,-,-,-,-,1.18000031,-,1914.11413574,-,-,-,-,-,-,-,-,-,7.58500004,399,42.07686996,13.90703964,338.70001221,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.0589431,0.90954512,0.2787104,-0.01266324,-,0.28400001,-,36.93600082,37,37,37
Sun Jan 05 11:15:27 GMT+01:00 2020,05-gen-2020 11:15:27.236,13.90688059,42.07703144,10.9,6.068,398.0,318.7,0.36096191,8.78744507,2.81784058,0.00335495,-,-,76.86274719,-,0,13.68366909,-,7.30782938,-,-,-,-,-,-,-,-,-,-,-,0.15999985,0.02132097,1914.13537598,-,-,-,-,-,-,-,-,1628.5,6.06799984,398,42.07703018,13.90688038,318.70001221,21,23.92156792,-,-,-,1.65093994,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.24422646,-,-,1.54422665,-,-,23.93862915,-,12.71047688,2.16764212,0.0367953,0.89576399,0.18724164,-0.05826733,-,2.2019999,-,39.23999786,38,37.66666794,37.66666794
Sun Jan 05 11:15:30 GMT+01:00 2020,05-gen-2020 11:15:30.193,13.90656353,42.07721332,11.58,6.068,396.0,305.0,2.34220886,8.86401367,2.02700806,-0.02384967,-,0,67.84313965,-,8.43118191,13.68358612,11.86048698,7.30787373,8.43118191,11.86048698,0,0.00317347,-,-,-,-,0.00463326,313.70965576,313.70965576,1.68799973,0.04510875,1914.15917969,-,-,65,-,-,-,-,-,1729,6.06799984,396,42.07721329,13.90656376,305,22,23.92156792,-,-,-,1.81140137,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,19.29001999,-,-,5.0763216,-,-,26.26531982,-,36.23251343,6.5604167,0.22802635,0.91381323,0.10613831,-0.03554223,-,5.1960001,-,41.68799973,41,38.5,38.5
Sun Jan 05 11:15:34 GMT+01:00 2020,05-gen-2020 11:15:33.339,13.90615393,42.07754833,13.38,4.5509996,396.0,325.4,1.29774475,8.29212952,1.89419556,-0.05380163,-,0,94.11764526,-,8.19347477,13.68350029,12.20457935,7.3079195,8.31232834,12.03007317,0,0.0098513,-,-,-,-,0.0143829,322.81091309,318.26028442,1.75600052,0.09282583,1914.20690918,-,-,73,-,-,-,101.3841095,6.08304644,1926.5,4.55099964,396,42.07754898,13.90615368,325.3999939,22,23.92156792,-,-,-,1.7137146,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,18.41979218,-,-,4.20609379,-,-,24.84886169,-,-,6.5604167,0.11716603,0.93930209,0.1613857,-0.01765698,-,9.1960001,-,48.16799927,46,40,40
Sun Jan 05 11:15:36 GMT+01:00 2020,05-gen-2020 11:15:35.496,13.90594876,42.07779576,16.93,4.5509996,395.0,324.0,1.36833191,9.12004089,4.85531616,0.00298914,-,0,82.35294342,-,2.55663323,13.68332481,39.11312866,7.30801296,6.39376354,15.63991547,0,0.01781217,-,-,-,-,0.02600577,1034.54150391,557.02069092,6.83200073,0.11750069,1914.23156738,-,-,85,0,0,-,271.54763794,16.29285812,2288,4.55099964,395,42.07779694,13.90594864,324,22,23.92156792,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,31.0380764,7537.61132812,-,16.82437897,-,-,28.9995575,-,135.85786438,32.55208206,0.17607179,0.96918195,0.28700238,0.05870261,-,11.20899963,13.80000019,60.94799805,55,42.5,42.5
Sun Jan 05 11:15:38 GMT+01:00 2020,05-gen-2020 11:15:38.017,13.90571815,42.07805602,17.26,4.5509996,396.0,321.6,0.94361877,10.34996033,3.61703491,0.00164998,-,0,68.62744904,-,6.57905436,13.68321323,15.19943714,7.30807304,6.44008589,15.52742004,0,0.02226768,-,-,-,-,0.03251081,402.02484131,518.27172852,0.05200195,0.15196235,1914.26599121,-,-,82,5.09803915,-11.71875,-,124.86231995,7.49173927,1877,4.55099964,396,42.07805634,13.90571785,321.6000061,22,23.92156792,-,-,-,1.92645264,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,21.0304718,11720.5,-,6.81677341,-,-,28.9995575,-,100.70501709,19.79490089,0.3155925,0.8747859,0.08369809,-0.05173423,-,13.31799984,13.80000019,62.13599777,61,45.1428566,45.1428566
Sun Jan 05 11:15:41 GMT+01:00 2020,05-gen-2020 11:15:40.257,13.90538535,42.07847963,18.2,4.5509996,396.0,318.6,-0.43586731,9.88334656,6.70497131,-0.00107578,-,0,67.45098114,-,9.89704704,13.68315411,10.10381317,7.30810452,7.13147831,14.02204609,0,0.02697379,-,-,-,-,0.03938174,267.24569702,468.06652832,1.06399918,0.19604486,1914.31018066,-,-,82,18.8235302,-0.78125,-,111.74003601,6.70440245,1963,4.55099964,396,42.07847977,13.90538502,318.6000061,21,23.92156792,-,-,-,1.71810913,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,20.59535789,10940.19628906,-,6.38165951,-,-,24.9125824,-,100.70501709,19.79490089,0.27497861,0.79575747,-0.12533797,-0.1574028,-,16.19199944,13.80000019,65.52000427,65,47.625,47.625
Sun Jan 05 11:15:43 GMT+01:00 2020,05-gen-2020 11:15:42.415,13.90515701,42.07878514,18.83,4.5509996,398.0,317.4,-0.97903442,8.19761658,1.07228088,-0.00903132,-,0,89.01960754,-,11.47897339,13.68311882,8.71139908,7.30812311,7.85606098,12.72876072,0,0.03149686,-,-,-,-,0.04598542,230.41635132,428.4581604,0.47999573,0.23661847,1914.35070801,-,-,80,10.5882349,10.15625,-,121.69699097,7.3018198,2013.5,4.55099964,398,42.07878494,13.90515709,317.3999939,22,23.92156792,-,-,-,1.38394165,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,20.01520729,13634.99804688,-,5.8015089,-,-,20.06715393,-,16.2455349,3.42549729,0.23022105,0.97893918,0.19919358,0.04956788,-,18.18899918,13.80000019,67.78799438,66,49.66666794,49.66666794
Sun Jan 05 11:15:45 GMT+01:00 2020,05-gen-2020 11:15:44.558,13.90491145,42.07909839,20.09,4.5509996,399.0,316.6,0.94958496,8.37588501,3.73548889,-0.01739857,-,0,76.47058868,-,5.66510534,13.68299294,17.65155411,7.30819035,7.54306746,13.25693035,0,0.0398262,-,-,-,-,0.05814626,466.88330078,433.94747925,3.21200562,0.27769944,1914.39172363,-,-,82,7.05882359,5.46875,-,231.26348877,13.87580967,2136,4.55099964,399,42.07909775,13.90491104,316.6000061,22,23.92156792,-,-,-,1.79162598,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,25.38160324,16505.29492188,-,11.16790485,-,-,25.97857666,-,85.03970337,19.02220917,0.02484336,0.93052167,0.19687599,-0.02261807,-,20.19099998,13.80000019,72.3239975,71,51.79999924,51.79999924
