GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Dec 23 13:53:08 GMT+01:00 2019,23-dic-2019 13:53:09.763,13.93107675,42.04816766,0.0,13.652999999999999,449.0,0.0,-1.1297760000000001,7.43070984,5.94764709,-0.00838496,-,-,30.19607925,-,0.0,13.63991737,-,7.33127022,-,-,-,-,-,-,-,-,-,-,-,0.0,-,1613.36962891,-,-,-,-,-,-,-,-,798.5,13.65299988,449,42.04816818,13.931076999999998,0.0,10,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,-,-,-1.79164124,-,-,28.9995575,-,-,-,-0.12089751,0.76039004,0.51738209,-0.0127637,-,0.0,-,0,0,0.0,-
Mon Dec 23 13:53:11 GMT+01:00 2019,23-dic-2019 13:53:12.432,13.93106785,42.04816132,0.0,10.6189995,449.0,0.0,-0.75170898,8.40937805,3.81443787,-0.03659731,-,0,29.80392265,-,0.0,13.63990498,-,7.33127689,-,-,0,0.00117545,-,-,-,-,0.00171615,-,-,0.0,-,1613.36962891,-,-,91,-,-,-,-,-,801.5,10.61899948,449,42.04816055,13.93106747,0.0,14,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,-,-,-0.87022686,-,-,28.9995575,-,-,-,-0.08126199,0.86100632,0.28956419,-0.05115308,-,0.0,-,0,0,0.0,-
Mon Dec 23 13:53:14 GMT+01:00 2019,23-dic-2019 13:53:15.081,13.93107504,42.04815397,0.0,10.6189995,446.0,0.0,-0.87374878,8.78504944,4.23797607,-0.01053608,-,0,30.58823586,-,0.0,13.63989258,-,7.33128357,-,-,0,0.00250645,-,-,-,-,0.00365942,-,-,0.0,-,1613.36962891,-,-,90,-,-,-,30.0114193,1.80068517,803.0,10.61899948,446,42.04815292,13.9310751,0.0,13,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,-,-,-0.87022686,-,-,28.9995575,-,-,-,-0.08687244,0.89149433,0.33139598,-0.005471500000000001,-,0.0,-,0,0,0.0,-
Mon Dec 23 13:53:16 GMT+01:00 2019,23-dic-2019 13:53:17.284,13.93107702,42.04815443,0.0,7.585,445.0,0.0,-0.7888031,8.47756958,3.51654053,-0.01185801,-,0,29.80392265,-,0.0,13.63988113,-,7.33128977,-,-,0,0.00359137,-,-,-,-,0.00524339,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.01141739,1.80068505,800.5,7.58500004,445,42.04815292,13.931076999999998,0.0,13,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,-,-,-0.87022686,-,-,28.9995575,-,-,-,-0.08309118,0.85820031,0.26139221,-0.06479225,-,0.0,-,0,0,0.0,-
Mon Dec 23 13:53:18 GMT+01:00 2019,23-dic-2019 13:53:19.504,13.93107677,42.04815509,0.0,6.068,446.0,0.0,-0.76248169,8.66181946,4.04176331,-0.01103385,-,0,30.58823586,-,0.0,13.63986874,-,7.33129644,-,-,0,0.00469679,-,-,-,-,0.00685731,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.0114193,1.80068517,800.5,6.06799984,446,42.04815674,13.931076999999998,0.0,13,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3567.9284668,-,-0.87022686,-,-,28.9995575,-,-,-,-0.09516444,0.88198286,0.32566422,-0.01572278,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:20 GMT+01:00 2019,23-dic-2019 13:53:21.654,13.93107684,42.04815487,0.0,6.068,446.0,0.0,-0.77204895,8.47038269,3.72711182,-0.01568499,-,0,30.19607925,-,0.0,13.63985729,-,7.33130264,-,-,0,0.00580171,-,-,-,-,0.00847049,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.0114212,1.80068529,800.5,6.06799984,446,42.04815674,13.931076999999998,0.0,13,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3638.99682617,-,-0.87022686,-,-,28.9995575,-,-,-,-0.07735942,0.86539572,0.2922473,-0.04638939,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:23 GMT+01:00 2019,23-dic-2019 13:53:23.989,13.93108269,42.04815066,0.0,6.068,444.0,0.0,-0.59617615,8.48713684,3.59788513,-0.0084966,-,0,30.98039246,-,0.0,13.63984489,-,7.33130932,-,-,0,0.00687983,-,-,-,-,0.01004455,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.07316971,1.80439019,798.5,6.06799984,444,42.04814911,13.93108273,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3533.11938477,-,-0.87022686,-,-,28.9995575,-,-,-,-0.11394629,0.89186138,0.35578826,0.00838378,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:25 GMT+01:00 2019,23-dic-2019 13:53:26.155,13.93108527,42.04814928,0.0,6.068,442.0,0.0,-1.01133728,8.55174255,4.26071167,-0.01422834,-,0,30.58823586,-,0.0,13.6398325,-,7.33131552,-,-,0,0.00824081,-,-,-,-,0.01203158,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.16580009,1.80994797,796.0,6.06799984,442,42.04814911,13.93108559,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3533.11938477,-,-0.87022686,-,-,28.9995575,-,-,-,-0.06235883,0.86685938,0.27700251,-0.0523302,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:27 GMT+01:00 2019,23-dic-2019 13:53:28.304,13.93108598,42.04815417,0.0,4.5509996,443.0,0.0,-1.04722595,8.56968689,3.81445312,-0.00959363,-,0,30.58823586,-,0.0,13.63982105,-,7.33132219,-,-,0,0.0091395,-,-,-,-,0.01334367,-,-,0.0,-,1613.36962891,-,-,91,0,0,-,30.07316971,1.80439019,800.5,4.55099964,443,42.04815292,13.93108559,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3533.11938477,-,-0.87022686,-,-,28.9995575,-,-,-,-0.10675085,0.87356639,0.28883314,-0.03753556,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:29 GMT+01:00 2019,23-dic-2019 13:53:30.454,13.93108628,42.04815546,0.0,4.5509996,443.0,0.0,-0.93835449,8.74436951,4.38273621,-0.00689186,-,0,30.98039246,-,0.0,13.63980865,-,7.33132839,-,-,0,0.01020274,-,-,-,-,0.014896,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,29.67178345,1.78030705,799.0,4.55099964,443,42.04815674,13.93108654,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3638.99682617,-,-0.87022686,-,-,28.9995575,-,-,-,-0.09248132,0.88600677,0.32919970000000004,-0.01083806,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:31 GMT+01:00 2019,23-dic-2019 13:53:32.704,13.93109265,42.04815372,0.0,4.5509996,441.0,0.0,-0.57823181,8.48236084,3.83477783,-0.01341593,-,0,30.19607925,-,0.0,13.63979721,-,7.33133507,-,-,0,0.011287,-,-,-,-,0.01647902,-,-,0.0,-,1613.36962891,-,-,91,0,0,-,30.25842857,1.81550574,801.5,4.55099964,441,42.04815292,13.93109226,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3710.06542969,-,-0.87022686,-,-,28.9995575,-,-,-,-0.058943100000000005,0.86466467,0.29090497,-0.04892497,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:34 GMT+01:00 2019,23-dic-2019 13:53:34.966,13.93109105,42.04814972,0.0,6.068,442.0,0.0,-0.66317749,8.77787781,3.96638489,-0.01054199,-,0,30.58823586,-,0.0,13.63978481,-,7.33134174,-,-,0,0.01241243,-,-,-,-,0.01812214,-,-,0.0,-,1613.36962891,-,-,91,0,0,-,30.0114193,1.80068517,800.5,6.06799984,442,42.04814911,13.93109131,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3673.8059082,-,-0.87022686,-,-,28.9995575,-,-,-,-0.10077488,0.89247113,0.33176151,-0.00312643,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:36 GMT+01:00 2019,23-dic-2019 13:53:37.195,13.93109107,42.04814948,0.0,6.068,442.0,0.0,-0.70266724,8.44766235,3.63139343,-0.01332631,-,0,29.80392265,-,0.0,13.63977242,-,7.33134794,-,-,0,0.01354286,-,-,-,-,0.01977257,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.0114193,1.80068517,806.5,6.06799984,442,42.04814911,13.93109131,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.05339622,3567.9284668,-,-0.72518921,-,-,28.9995575,-,-,-,-0.09662811,0.89137298,0.33322516,-0.00388534,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:38 GMT+01:00 2019,23-dic-2019 13:53:39.774,13.93109039,42.04814912,0.0,6.068,443.0,0.0,-0.77563477,8.50747681,3.5249175999999998,-0.01404745,-,0,30.98039246,-,0.0,13.63976097,-,7.33135462,-,-,0,0.01466905,-,-,-,-,0.02141681,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.16580009,1.80994797,800.5,6.06799984,443,42.04814911,13.93109035,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.05339622,3710.06542969,-,-0.72518921,-,-,28.9995575,-,-,-,-0.0918716,0.89332354,0.3383472,-0.00035106,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:41 GMT+01:00 2019,23-dic-2019 13:53:41.923,13.93109037,42.04814923,0.0,6.068,443.0,0.0,-0.70744324,8.38664246,3.65652466,-0.01081668,-,0,30.98039246,-,0.0,13.63974857,-,7.33136082,-,-,0,0.01593746,-,-,-,-,0.02326869,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,29.4865284,1.76919174,799.5,6.06799984,443,42.04814911,13.93109035,0.0,15,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.05339622,3710.06542969,-,-0.72518921,-,-,28.9995575,-,-,-,-0.07528602,0.85466325,0.27956432,-0.06149701,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:43 GMT+01:00 2019,23-dic-2019 13:53:44.065,13.93109039,42.04814916,0.0,7.585,443.0,0.0,-0.78640747,8.46679688,3.53329468,-0.01617461,-,0,32.54901886,-,0.0,13.63973618,-,7.33136749,-,-,0,0.01699629,-,-,-,-,0.02481458,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,29.82616425,1.78956985,798.5,7.58500004,443,42.04814911,13.93109035,0.0,14,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.90835857,3567.9284668,-,-0.87022686,-,-,28.9995575,-,-,-,-0.10443326,0.89515424,0.33407909,0.00065774,-,0.0,13.10000038,0,0,0.0,-
Mon Dec 23 13:53:45 GMT+01:00 2019,23-dic-2019 13:53:46.417,13.931090099999999,42.0481497,0.0,6.068,443.0,0.0,-0.75291443,8.43809509,3.6517334000000004,-0.01127823,-,0,30.98039246,-,0.0,13.63972473,-,7.33137369,-,-,0,0.0180717,-,-,-,-,0.02638468,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,30.0114212,1.80068529,798.0,6.06799984,443,42.04814911,13.93109035,0.0,14,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.70588684,-,-,12.90835857,3673.8059082,-,-0.87022686,-,-,28.9995575,-,-,-,-0.09674943,0.88832438,0.3406648,-0.00333335,-,0.0,13.19999981,0,0,0.0,-
Mon Dec 23 13:53:47 GMT+01:00 2019,23-dic-2019 13:53:48.665,13.93108995,42.04815005,0.0,6.068,443.0,0.0,-1.22668457,8.84008789,4.44973755,-0.0068358,-,0,32.54901886,-,0.0,13.63971233,-,7.33138037,-,-,0,0.01923989,-,-,-,-,0.02809023,-,-,0.0,-,1613.36962891,-,-,90,0,0,-,29.82616043,1.78956974,800.0,6.06799984,443,42.04814911,13.93109035,0.0,14,12.94117641,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.70588684,-,-,12.90835857,3567.9284668,-,-0.87022686,-,-,28.9995575,-,-,-,-0.08748061,0.86698073,0.25797647,-0.05762956,-,0.0,13.10000038,0,0,0.0,-
