GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Hybrid Battery Charge (%)(%),Engine Load(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Fuel used (trip)(l),Turbo Pressure Control(bar),Actual engine % torque(%),Drivers demand engine % torque(%),CO₂ in g/km (Average)(g/km),Trip Distance(miles),Trip distance (stored in vehicle profile)(miles),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Accelerator Pedal Position(%),Torque(Nm),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),100-0kph Time(s),80-120kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Ambient air temp(°C),Engine Oil Temperature(°C),Engine Coolant Temperature(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(mph),Speed (OBD)(mph),Average trip speed(whilst stopped or moving)(mph),Average trip speed(whilst moving only)(mph)
Thu Dec 26 17:48:59 GMT+01:00 2019,26-dic-2019 17:48:59.175,14.11616485,41.77814184,0.38,9.867257,876.762451171875,287.2,-8.1857338,8.33262444,2.0106132,0.2272045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.26000023,-,9.86725712,876.76245117,41.77814102,14.11616516,287.20001221,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.17555726,0.75465637,-0.11603413,0.39750919,-,-,-,-,-,-,-,0.85003573,-,-,-
Thu Dec 26 17:49:00 GMT+01:00 2019,26-dic-2019 17:48:59.880,14.11615553,41.77813113,0.28,7.340509,880.0638427734375,184.7,-0.9992981,9.97352695,5.37865639,0.0888138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.26000023,-,7.34050894,880.06384277,41.77812958,14.11615562,184.69999695,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01273685,0.99127394,0.1896885,0.03316725,-,-,31,0,0,-,0,0.62634218,0,0,-
Thu Dec 26 17:49:00 GMT+01:00 2019,26-dic-2019 17:49:00.033,14.11615553,41.77813113,0.28,7.340509,880.0638427734375,184.7,0.79012436,9.19739151,2.68613815,0.00994654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.26000023,-,7.34050894,880.06384277,41.77812958,14.11615562,184.69999695,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19433407,0.97125047,-0.12848768,-0.00875039,-,-,31,0,0,-,0,0.62634218,0,0,-
Thu Dec 26 17:49:06 GMT+01:00 2019,26-dic-2019 17:49:05.803,14.11607007,41.77818808,0.0,3.7900925,859.470703125,0.0,3.55450678,8.40688324,2.73165226,0.03531786,-,-,40.39215851,0,0,-,∞,0,∞,-,-,-,-,-,-,29.26000023,866.5,3.79009247,859.47070312,41.77818679999999,14.11606979,0.0,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37796301,0.92583168,0.26245636,0.06403386,-,-,31,0,0,315,0,0,0,0,-
Thu Dec 26 17:49:12 GMT+01:00 2019,26-dic-2019 17:49:11.776,14.11607765,41.77819087,0.54,3.7900925,866.7041015625,0.8,3.72937655,8.56019402,3.11492872,0.03358481,-,-,40.39215851,0,0,-,∞,0,∞,-,-,-,-,-,-,29.26000023,874,3.79009247,866.70410156,41.77819061,14.11607742,0.80000001,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.38016069,0.83841246,0.18797919,-0.03510338,-,-,31,0,0,321,0,1.20794559,0,0,-
Thu Dec 26 17:49:18 GMT+01:00 2019,26-dic-2019 17:49:17.906,14.11604767,41.77820618,0.7,3.7900925,864.815673828125,311.5,-0.15848514,0.66469771,9.17069817,0.00979517,-,-,45.09804153,1.86616206,0.62205404,53.58480072,160.75439453,0.62205404,160.75439453,-,-,-,-,-,-,29.26000023,862.5,3.79009247,864.81567383,41.77820587,14.11604786,311.5,22,-,-,-,100,0,0,-,-,-,-,-,-,-,-,-,-0.02006247,0.057012900000000005,0.90515763,0.00731713,-,-,31,0,5,327,5.02199984,1.56585538,1.24274242,0.24854848,1.24274242
Thu Dec 26 17:49:19 GMT+01:00 2019,26-dic-2019 17:49:19.164,14.11604479,41.77820931,0.7,3.7900925,866.13134765625,311.6,-0.26867718,0.57127404,9.39587402,0.02140932,-,-,43.92156982,2.16833854,1.00862515,46.11730194,99.14279938,1.00862515,99.14279938,-,-,-,-,-,-,29.26000023,866.5,3.79009247,866.13134766,41.77820969,14.116045000000002,311.60000610000003,22,-,-,-,100,0,0,-,-,-,-,-,-,-,-,-,-3.91e-05,0.05041984,0.96815795,0.06971265,-,-,32,0.977,6,331,5.92399979,1.56585538,1.24274242,0.41424748,1.24274242
Thu Dec 26 17:49:20 GMT+01:00 2019,26-dic-2019 17:49:19.873,14.11604027,41.77821265,0.64,3.7900925,866.2960205078125,314.2,4.72350025,2.84218764,4.71031761,-0.24185926,-,-,76.86274719,1.7866348,1.16422701,55.96998215,85.89211273,1.16422701,85.89211273,0.00061192,-,-,-,-,0.00029256,29.26029205,877.5,3.79009247,866.29602051,41.7782135,14.11604023,314.20001221,23,-,-,-,100,0,0,-,-,-,-,-,-,-,-,-,-0.15070273,0.11268764,1.36813688,0.48065296,-,-,32,0.977,7,331,6.6329999,1.43163919,0.62137121,0.44383657,1.03561866
Thu Dec 26 17:49:21 GMT+01:00 2019,26-dic-2019 17:49:20.612,14.11602878,41.77822332,1.56,3.7900925,865.83740234375,324.8,0.6152544,8.88358402,-3.90861416,0.06602858,-,-,25.49019623,0.3188833,1.02333641,313.58782959,97.71754456,1.02333641,97.71754456,0.00145385,-,-,-,-,0.00047949,29.26047897,1187,3.79009247,865.83740234,41.77822495,14.11602879,324.79998779,23,-,-,-,100,0,0,-,-,-,-,-,-,-,-,-,0.31081146,0.60032988,-0.28330252,-0.29933259,-,-,32,0.977,8,332,7.37099981,3.48962045,1.24274242,0.5436998,1.0873996
Thu Dec 26 17:49:22 GMT+01:00 2019,26-dic-2019 17:49:21.575,14.11602677,41.77823301,1.03,3.7900925,866.523681640625,7.7,-1.99581718,9.82500648,4.39651012,0.14521234,-,-,40.39215851,3.12624645,1.32375216,31.98657608,75.5412674,1.32375216,75.5412674,0.0019664,-,-,-,-,0.000814,29.26081276,869.5,3.79009247,866.52368164,41.77823257,14.11602688,7.69999981,23,-,-,-,100,0,0,-,-,-,1.40231347,0.12768877,-,-,-,-,-0.1900169,0.96978545,0.45731792,0.13493307,-,-,32,0.977,9,333,8.33100033,2.30404425,1.24274242,0.62137121,1.11846817
