GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Driver
Tue Dec 31 15:20:29 GMT+01:00 2019,31-dic-2019 16:14:45.191,13.93092601,42.04792351,0.0,4.5509996,459.0,0.0,8.96195984,3.38563538,0.29820251,-0.00758419,-,-,-,-,-,18.77223778,-,5.32696915,-,-,-,-,-,-,-,-,-,-,-,-,-,492.49301147,-,-,-,-,-,-,-,-,-,4.55099964,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91208982,0.34756129999999996,-0.07277372,-0.02321985,-,-0.002,-,-,48,-,-,Angelo
Tue Dec 31 15:20:29 GMT+01:00 2019,31-dic-2019 16:14:45.489,13.93092601,42.04792351,0.0,4.5509996,459.0,0.0,8.96195984,3.38563538,0.29820251,-0.00758419,-,-,-,-,-,18.77223778,-,5.32696915,-,-,-,-,-,-,-,-,-,-,-,48,0.00441333,492.49740601,-,-,-,-,-,-,-,-,-,4.55099964,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91208982,0.34756129999999996,-0.07277372,-0.02321985,-,0.33299999999999996,-,-,48,48,48,Angelo
Tue Dec 31 15:20:29 GMT+01:00 2019,31-dic-2019 16:14:45.772,13.93092601,42.04792351,0.0,4.5509996,459.0,0.0,8.96195984,3.38563538,0.29820251,-0.00758419,-,-,-,-,-,18.77223778,-,5.32696915,-,-,-,-,-,-,-,-,-,-,-,48,0.00825333,492.50125122,-,-,-,-,-,-,-,-,-,4.55099964,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91208982,0.34756129999999996,-0.07277372,-0.02321985,-,0.62300003,-,-,48,48,48,Angelo
Tue Dec 31 15:20:29 GMT+01:00 2019,31-dic-2019 16:14:46.138,13.93092601,42.04792351,0.0,4.5509996,459.0,0.0,8.96195984,3.38563538,0.29820251,-0.00758419,-,-,-,-,-,18.77223778,-,5.32696915,-,-,-,-,-,-,-,-,-,-,-,48,0.00825333,492.50125122,-,-,-,-,-,-,-,-,-,4.55099964,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91208982,0.34756129999999996,-0.07277372,-0.02321985,-,1.13800001,-,-,48,48,48,Angelo
Tue Dec 31 15:20:29 GMT+01:00 2019,31-dic-2019 16:14:49.441,13.93092601,42.04792351,0.0,4.5509996,459.0,0.0,8.29914856,1.99780273,-0.68286133,0.00379011,-,-,86.27451324,-,0,15.63093948,-,6.39743471,-,-,-,-,-,-,-,-,-,-,-,50,0.03611528,492.52911377,-,-,-,-,-,-,-,-,1889,4.55099964,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.40452766,-,-,2.70452785,-,-,-,-,23.32659912,4.61446476,0.9247728000000001,0.20096649,-0.03569844,-0.0511366,-,2.78800011,-,-,50,48.66666794,48.66666794,Angelo
Tue Dec 31 16:14:52 GMT+01:00 2019,31-dic-2019 16:14:52.828,13.922522500000001,42.05542355,17.52,25.789,443.0,133.6,9.50991821,3.47418213,1.79011536,0.02332212,-,43.52880859,100,-,13.83534718,15.63074589,7.22771311,6.39751434,13.83534718,7.22771311,1082.59680176,0.00551405,-,-,-,-,0.00099253,191.17288208,191.17288208,64,0.09449278,492.5874938999999,-,-,45,-,-,-,-,-,1778.5,25.78899956,443,42.05542374,13.92252254,133.6000061,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.25949097,-,-,3.04579258,-,-,-,-,-,4.61446476,0.92453015,0.29170418,0.08455202,-0.01279571,-,6.36100006,-,-,64,52.5,52.5,Angelo
Tue Dec 31 16:14:56 GMT+01:00 2019,31-dic-2019 16:14:56.204,13.923004800000001,42.05495873,20.6,4.5509996,422.0,145.2,9.50991821,3.47418213,1.79011536,0.02332212,-,43.52062225,88.23529816,-,5.88188457,15.62969017,17.00100136,6.39794636,9.85861588,10.14320087,1082.37976074,0.01853932,-,-,-,-,0.00333708,449.67614746,320.42449951,6.2559967,0.15296514,492.64596558,-,-,61,-,-,-,254.64855957,15.2789135,1969.5,4.55099964,422,42.05495834,13.9230051,145.19999695,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,27.12205696,-,-,12.90835857,-,-,-,-,-,4.61446476,0.92453015,0.29170418,0.08455202,-0.01279571,-,11.03299999,-,74.15999603,73,56.59999847,56.59999847,Angelo
Tue Dec 31 16:14:58 GMT+01:00 2019,31-dic-2019 16:14:58.662,13.92329458,42.054650099999996,20.76,4.5509996,422.0,145.7,9.23355103,3.41195679,0.23597717,0.02273124,-,43.51579666,11.37254906,-,9.04001522,15.62897587,11.06169796,6.39823866,9.58574867,10.43193626,1082.18664551,0.02621372,-,-,-,-,0.00471847,292.58172607,311.14358521,2.84000397,0.20511098,492.69812012,-,-,61,10.5882349,-,-,202.9369812,12.17621899,2103,4.55099964,422,42.05464935,13.92329502,145.69999695,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,25.96175575,-,-,11.74805737,-,-,-,-,-,4.61446476,0.95953202,0.30487558,-0.01508741,0.01072184,-,13.11100006,-,74.73600006,77,60,60,Angelo
Tue Dec 31 16:15:00 GMT+01:00 2019,31-dic-2019 16:15:00.917,13.92360056,42.05433927,21.32,4.5509996,423.0,143.4,10.31869507,3.94436646,0.27067566,0.04540734,-,43.51430511,100,-,106.08285522,15.62914562,0.94263977,6.39816952,11.48727989,8.70510006,1082.10021973,0.02859078,-,-,-,-,0.00514634,24.93280411,239.59089661,2.18400574,0.25285959,492.74584961,-,-,59,0,-,-,57.97698593,3.4786191,2142.5,4.55099964,423,42.05434036,13.9236002,143.3999939,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,20.59535789,-,-,6.38165951,-,-,-,-,16.92399216,3.79718375,0.87098908,0.31024182,-0.02460043,-0.07202095,-,15.32900047,-,76.7519989,78,62.57143021,62.57143021,Angelo
Tue Dec 31 16:15:02 GMT+01:00 2019,31-dic-2019 16:15:03.009,13.92393988,42.05404013,21.81,4.5509996,425.0,140.6,8.31948853,4.39064026,0.01583862,-0.01321891,-,43.50866699,14.50980377,-,7.64143419,15.62828064,13.08627701,6.39852333,10.71811104,9.32980824,1081.97167969,0.03755711,-,-,-,-,0.00676028,346.1317749,260.89907837,3.81600189,0.30259126,492.79559326,-,-,60,4.31372547,-,-,238.88972473,14.33338356,2202,4.55099964,425,42.054039,13.9239397,140.6000061,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,26.39686775,-,-,12.18316936,-,-,-,-,50.52579117,11.65114021,0.96989745,0.5354979000000001,0.04125657,0.1172578,-,17.59900093,-,78.51599884,81,64.875,64.875,Angelo
