GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:08.684,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:08.804,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:08.925,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:09.047,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:09.164,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:09.283,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:09.405,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:09 GMT+01:00 2019,03-nov-2019 12:51:09.527,13.90997415,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:10 GMT+01:00 2019,03-nov-2019 12:51:09.645,13.90997587,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:10 GMT+01:00 2019,03-nov-2019 12:51:09.884,13.90997587,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:10 GMT+01:00 2019,03-nov-2019 12:51:10.126,13.90997587,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:10 GMT+01:00 2019,03-nov-2019 12:51:10.364,13.90997587,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:10 GMT+01:00 2019,03-nov-2019 12:51:10.604,13.90997587,42.074145,0.0,74.333,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:11 GMT+01:00 2019,03-nov-2019 12:51:10.845,13.90998017,42.07414305,0.0,19.720999,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:11 GMT+01:00 2019,03-nov-2019 12:51:11.084,13.90998017,42.07414305,0.0,19.720999,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:11 GMT+01:00 2019,03-nov-2019 12:51:11.327,13.90998017,42.07414305,0.0,19.720999,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:11 GMT+01:00 2019,03-nov-2019 12:51:11.444,13.90998017,42.07414305,0.0,19.720999,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:11 GMT+01:00 2019,03-nov-2019 12:51:11.564,13.90998017,42.07414305,0.0,19.720999,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:11.684,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:11.803,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:11.926,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:12.070,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:12.185,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:12.313,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:12.433,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:12 GMT+01:00 2019,03-nov-2019 12:51:12.554,13.90998085,42.07414015,0.0,12.136,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:12.678,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,-0.20733643,7.64247131,-1.71058655,0.02625775,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:12.794,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,0.98548889,5.0677948,7.30317688,-0.0693059,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:12.914,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,0.83233643,6.11106873,6.39390564,-0.03251162,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:13.034,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,-0.0398407,6.66859436,7.02680969,-0.00656703,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:13.154,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,0.65527344,6.493926999999999,6.67866516,-0.02907711,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:13.279,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,0.28318787,6.24386597,8.36320496,0.03293528,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:13.394,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,0.5763092,5.46499634,6.99809265,0.00088035,
Sun Nov 03 12:51:13 GMT+01:00 2019,03-nov-2019 12:51:13.514,13.90998099,42.07414048,0.0,9.101999000000001,412.0,0.0,1.81698608,7.19740295,9.0308075,0.21065611,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:13.634,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-0.18939209,6.28933716,7.19311523,0.11546663,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:13.755,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,0.34301758,5.19581604,7.09500122,0.06446722,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:13.878,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-2.38839722,5.65403748,9.70677185,0.18969423,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:13.995,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-2.87174988,6.38983154,7.62620544,0.10211305,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:14.115,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-0.62010193,5.46739197,6.46928406,0.09585728,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:14.235,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,0.32865906,5.43508911,7.5544281,-0.03174132,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:14.354,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-0.80674744,4.9026947,8.259109500000001,-0.01435786,
Sun Nov 03 12:51:14 GMT+01:00 2019,03-nov-2019 12:51:14.479,13.90998127,42.074142200000004,0.0,7.585,412.0,0.0,-3.0894928,5.514068599999999,11.90338135,0.00591546,
Sun Nov 03 12:51:15 GMT+01:00 2019,03-nov-2019 12:51:14.597,13.910032199999998,42.07414925,2.59,7.585,413.0,69.2,-0.84742737,4.43968201,8.20767212,-0.02586371,
Sun Nov 03 12:51:15 GMT+01:00 2019,03-nov-2019 12:51:14.834,13.910032199999998,42.07414925,2.59,7.585,413.0,69.2,0.90890503,3.90129089,7.83200073,0.02831809,
Sun Nov 03 12:51:15 GMT+01:00 2019,03-nov-2019 12:51:15.065,13.910032199999998,42.07414925,2.59,7.585,413.0,69.2,-1.31642151,4.33558655,8.96141052,0.06355704,
Sun Nov 03 12:51:15 GMT+01:00 2019,03-nov-2019 12:51:15.306,13.910032199999998,42.07414925,2.59,7.585,413.0,69.2,-0.04104614,2.73480225,9.64216614,0.05720793,
Sun Nov 03 12:51:15 GMT+01:00 2019,03-nov-2019 12:51:15.545,13.910032199999998,42.07414925,2.59,7.585,413.0,69.2,0.83473206,3.31983948,9.81324768,0.10586181,
