GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge,Driver
Thu Oct 03 22:57:52 GMT+02:00 2019,03-ott-2019 22:57:51.665,14.23016526,41.59344614,0.0,10.72,507.69384765625,0.0,1.73707581,7.59744263,4.82118225,-0.04683191,-,-,-,-,19.849487300000003,-,5.03786945,-,-,-,-,-,-,-,-,-,279.61312866,-,10.72000027,507.69384766,41.59344482,14.23016548,0.0,7,-,-,-,-,-,-,-,-,-,-,-,0.0,0,-,0.0,0.0,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:57:52 GMT+02:00 2019,03-ott-2019 22:57:52.068,14.23016526,41.59344614,0.0,10.72,507.69384765625,0.0,1.78735352,7.60700989,4.70625305,-0.02742583,-,-,-,-,19.849487300000003,-,5.03786945,-,-,-,-,-,-,-,3,0.00029722,279.61343384,-,10.72000027,507.69384766,41.59344482,14.23016548,0.0,7,100,0,0,-,-,-,-,-,-,-,-,0.0,0,-,0.447,0.0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:57:53 GMT+02:00 2019,03-ott-2019 22:57:52.499,14.23016459,41.59343718,0.0,9.648000999999999,507.5604248046875,0.0,1.71551514,7.70278931,4.62245178,-0.02117691,-,-,-,-,19.849487300000003,-,5.03786945,-,-,-,-,-,-,-,3,0.00029722,279.61343384,-,9.64800072,507.56042479999996,41.59343719,14.23016453,0.0,7,100,0,0,-,-,-,-,-,-,-,16,0.0,1,-,1.02900004,0.0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:57:59 GMT+02:00 2019,03-ott-2019 22:57:58.766,14.23018279,41.59340833,0.0,7.504,508.49420166015625,0.0,1.33963013,5.98374939,9.01821899,-0.00971144,-,46.66666794,-,0,16.52793312,-,6.05023718,-,-,-,-,-,-,-,6,0.00177222,279.61489868,772.5,7.50400019,508.49420166,41.59340668,14.23018265,0.0,9,35.92485428,0,64.07514191,-,-,14.11764717,13.72549057,-,-,1.17647064,16,1.00699997,6,42,5.91300011,0.0,6,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:05 GMT+02:00 2019,03-ott-2019 22:58:04.825,14.23055466,41.59350104,6.51,13.936001000000001,496.201416015625,84.3,0.38433838,5.48335266,7.12678528,-0.06353521,-,100,-,0,16.52785683,-,6.05026579,-,-,-,-,-,-,-,17,0.00177222,279.61489868,1973.5,13.93600082,496.20141602,41.59350204,14.23055458,84.30000305,12,25.6948204,0,74.30517578,-,-,31.37254906,30.58823586,-,-,20.7843132,16,1.84000003,12,48,11.07699966,23.43600082,17,8.66666698,8.66666698,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:11 GMT+02:00 2019,03-ott-2019 22:58:11.056,14.23126097,41.59379322,9.76,11.792,492.247802734375,61.7,-0.36503601,4.7076416,5.68548584,-0.22763336,-,60,-,2.83768392,16.52650833,35.23927307,6.05075884,2.83768392,35.23927307,-,-,-,932.07818604,932.07818604,3.52400208,0.00177222,279.61489868,1858,11.79199982,492.24780273,41.59379196,14.23126125,61.70000076,10,17.54043007,0,82.45957184,-,-,23.52941132,22.74509811,-,-,13.72549057,15,1.84000003,18,54,17.08200073,35.13600159,32,14.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:14 GMT+02:00 2019,03-ott-2019 22:58:13.483,14.23164596,41.59386325,9.71,9.648000999999999,491.26800537109375,56.6,-1.49510193,5.51448059,9.04693604,0.03810959,-,99.21569061,-,12.03253365,16.52606773,8.31062889,6.05092049,7.43510866,13.44942284,-,-,-,219.815979,575.94708252,0.75600052,0.00177222,279.61489868,2166,9.64800072,491.26800537,41.59386444,14.23164558,56.59999847,9,15.07813931,0,84.92185974,-,-,26.27450943,25.49019623,-,-,16.47058868,15,1.84000003,22,58,20.17200089,34.95599747,36,18.79999924,18.79999924,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:15 GMT+02:00 2019,03-ott-2019 22:58:14.853,14.231756900000002,41.593902500000006,10.16,9.648000999999999,491.78936767578125,57.6,-1.30595398,4.32217407,8.41966248,-0.06378373,-8.74565887,75.6862793,-,4.9916954,16.52493286,20.03285789,6.05133629,6.62063742,15.10397148,-,-,-,529.86871338,560.58764648,5.04400253,0.02581778,279.63894653,2397.5,9.64800072,491.78936768,41.59390259,14.23175716,57.59999847,9,14.19467926,0,85.80532074,-,-,26.27450943,25.49019623,-,-,16.47058868,14,1.84000003,23,60,21.54199982,36.57600021,40,22.33333397,22.33333397,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:17 GMT+02:00 2019,03-ott-2019 22:58:16.825,14.23202327,41.59400224,11.28,10.72,489.7861328125,62.0,-2.37138367,3.54884338,9.70056152,-0.01628875,-8.75648594,0,-,5.66002035,16.52386284,17.66741371,6.05172729,6.38048315,15.67246819,-,-,-,467.30276489,537.26641846,5.42399979,0.04142056,279.65454102,2541,10.72000027,489.78613281,41.59400177,14.23202324,62.0,9,13.09012032,0,86.90988159,-,-,21.96078491,24.70588303,-,-,0,14,1.84000003,25,61,23.51499939,40.60799789,42,25.1428566,25.1428566,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
Thu Oct 03 22:58:19 GMT+02:00 2019,03-ott-2019 22:58:19.128,14.23222889,41.59414294,11.18,10.72,490.22900390625,60.8,0.54714966,4.19049072,8.80033875,0.01415348,-8.75648594,85.09803772,-,181.2480011,16.52402687,0,6.05166817,8.73963642,11.44188499,-,-,-,0,429.81314087,3.93999863,0.07059208,279.68371582,1584.5,10.72000027,490.22900391,41.59414291,14.23222923,60.79999924,10,12.00057888,0,87.99942017,-,-,27.45098114,16.47058868,-,-,18.03921509,14,1.84000003,27,64,25.81699944,40.2480011,43,27.375,27.375,,,,,,,,,,,,,,,,,,,,,,,,,Angelo
