GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Ambient air temp(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.256,14.23975147,41.59544773,2.82,7.504,511.6689453125,125.3,2.42660522,7.34365845,3.23143005,-0.03141063,-,-,-,-,16.55080032,-,6.04195166,-,-,-,-,-,-,-,-,-,3.25523973,-,7.50400019,-,-,-,125.30000305,0,8.83399487,0.0,91.16600799999999,-,-,-,-,-,-,-,-,0.0,0,-,0.0,-,34,-,-
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.569,14.23975147,41.59544773,2.82,7.504,511.6689453125,125.3,2.42660522,7.34365845,3.23143005,-0.03141063,-,-,-,-,16.55080032,-,6.04195166,-,-,-,-,-,-,-,35,0.00322958,3.25846934,-,7.50400019,-,-,-,125.30000305,0,0.0,0.0,100.0,-,-,-,-,-,-,-,-,0.0,0,-,0.33899999,-,35,35,35
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.897,14.23975147,41.59544773,2.82,7.504,511.6689453125,125.3,2.42660522,7.34365845,3.23143005,-0.03141063,-,-,-,-,16.55080032,-,6.04195166,-,-,-,-,-,-,-,36,0.00646403,3.26170373,-,7.50400019,-,-,-,125.30000305,0,0.0,0.0,100.0,-,-,-,-,-,-,-,-,0.0,0,-,0.66799998,-,36,35.5,35.5
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:08.360,14.23975147,41.59544773,2.82,7.504,511.6689453125,125.3,2.42660522,7.34365845,3.23143005,-0.03141063,-,-,-,-,16.55080032,-,6.04195166,-,-,-,-,-,-,-,36,0.00646403,3.26170373,-,7.50400019,-,-,-,125.30000305,7,0.0,0.0,100.0,-,-,-,-,-,-,-,22,0.0,1,-,1.28100002,-,36,35.5,35.5
Tue Sep 24 11:08:17 GMT+02:00 2019,24-set-2019 11:08:16.252,14.24354081,41.59792763,10.21,8.576,519.2520751953125,63.8,2.42660522,7.34365845,3.23143005,-0.03141063,-,0.39215687,-,0,13.77803802,-,7.25777674,-,-,-,-,-,-,-,37,0.03285556,3.28809524,1409,8.57600021,519.2520752,41.59792709,14.24354076,63.79999924,0,0.0,0.0,100.0,-,-,7.84313726,7.84313726,-,-,8.62745094,22,0.0,7,134,7.80200005,-,37,36,36
Tue Sep 24 11:09:24 GMT+02:00 2019,24-set-2019 11:09:23.080,14.24839254,41.59933415,14.1,10.72,515.663818359375,65.4,2.88868713,9.95812988,2.55386353,0.09517864,-,1.56862748,-,181.2480011,13.7848587,0,7.2541852,15.15584183,6.59797859,-,-,-,0,0,35,0.03285556,3.28809524,1308,10.72000027,515.66381836,41.59933472,14.24839211,65.40000153,21,16.19412422,0.0,83.80587769,-,-,15.29411793,14.90196133,-,-,0.39215687,22,12.00599957,75,140,62.13199997,50.75999832,35,35.75,35.75
Tue Sep 24 11:09:26 GMT+02:00 2019,24-set-2019 11:09:25.213,14.248669400000002,41.59942625,11.68,10.72,515.3010864257811,65.2,2.88868713,9.95812988,2.55386353,0.09517864,-,0,-,181.2480011,13.79164886,0,7.25061369,15.15959263,6.5963459,-,-,-,0,0,2.75999832,0.03285556,3.28809524,1858.5,10.72000027,515.30108643,41.59942627,14.24866962,65.19999695,20,15.767700199999998,0.0,84.2322998,-,-,8.62745094,14.90196133,-,-,0,22,12.00599957,78,140,64.13700104,42.04800034,48,38.20000076,38.20000076
Tue Sep 24 11:09:29 GMT+02:00 2019,24-set-2019 11:09:28.098,14.24907787,41.59956421,12.93,10.72,515.8641357421875,64.9,2.88868713,9.95812988,2.55386353,0.09517864,-,62.35294342,-,181.2480011,13.79840946,0,7.24706125,15.16333294,6.59471893,-,-,-,0,0,0.04800034,0.05760556,3.31284523,1598.5,10.72000027,515.86413574,41.5995636,14.2490778,64.90000153,17,15.17058372,0.0,84.82941437,-,-,37.64706039,36.86274719,-,-,29.41176605,22,12.00599957,80,206,67.13400269,46.54800034,42,38.83333206,38.83333206
Tue Sep 24 11:09:31 GMT+02:00 2019,24-set-2019 11:09:30.408,14.24944051,41.5997263,16.83,9.648000999999999,515.4769287109375,59.5,2.61094666,8.51921082,0.55470276,-0.05142168,48.95804596,99.60784149,-,5.96282578,13.76018715,16.77022362,7.26719189,12.86320686,7.77394962,-,-,-,443.57211304,110.89302826,9.45199966,0.09695528,3.35219502,2036,9.64800072,515.47692871,41.59972763,14.24944019,59.5,18,14.79154301,0.0,85.20845795,-,-,67.05882263,65.09803772,-,-,61.17647171,22,12.00599957,82,209,69.16200256,60.58799744,56,41.2857132,41.2857132
Tue Sep 24 11:09:32 GMT+02:00 2019,24-set-2019 11:09:31.898,14.24964264,41.59980325,18.14,9.648000999999999,514.7180786132811,62.1,1.67481995,8.77539062,1.66082764,-0.07451855,48.91640091,100,-,3.6585567,13.71115017,27.3326149,7.29318237,11.02227688,9.07234764,-,-,-,722.94714355,233.30384827,9.41200256,0.13946278,3.39470243,2579,9.64800072,514.71807861,41.59980392,14.24964237,62.09999847,18,14.46680355,0.0,85.53319549999999,-,-,67.05882263,65.09803772,-,-,61.17647171,22,12.00599957,84,211,70.98400116,65.30399323,70,44.875,44.875
Tue Sep 24 11:09:34 GMT+02:00 2019,24-set-2019 11:09:33.367,14.25010854,41.59994458,20.12,10.72,513.789306640625,67.5,1.8687439,8.99565125,2.67835999,-3.251e-05,48.89081192,100,-,4.18297577,13.66512012,23.90592766,7.31774902,9.88239288,10.11879635,-,-,-,632.31134033,299.80511475,6.44800568,0.16718251,3.42242217,2822.5,10.72000027,513.78930664,41.59994507,14.25010872,67.5,19,14.2153492,0.0,85.78465271,-,-,11.76470566,60,-,-,0,22,12.00599957,86,212,72.45200348,72.43199921,76,48.33333206,48.33333206
Tue Sep 24 11:09:35 GMT+02:00 2019,24-set-2019 11:09:34.740,14.2503546,41.60000886,21.28,9.648000999999999,513.1273193359375,67.9,0.62376404,9.44815063,2.00080872,0.00552422,48.87422562,99.60784149,-,7.48101664,13.63538933,13.366889,7.33370495,9.53933907,10.48268795,-,-,-,353.5539856,307.48352051,6.56800079,0.19878528,3.45402503,2171.5,9.64800072,513.12731934,41.60000992,14.25035477,67.90000153,19,13.98860455,0.0,86.01139832,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,87,214,73.82099915,76.60800171,79,51.40000153,51.40000153
Tue Sep 24 11:09:37 GMT+02:00 2019,24-set-2019 11:09:36.112,14.25088091,41.60017162,23.37,9.648000999999999,514.52197265625,64.1,0.49687195,9.52955627,2.20910645,0.01772197,48.85323715,99.60784149,-,5.76685619,13.59774113,17.34011078,7.35400963,9.06777859,11.02782917,-,-,-,458.64559937,326.37878418,3.97200012,0.22975528,3.48499489,2277,9.64800072,514.52197266,41.60017014,14.2508812,64.09999847,19,13.76866436,0.0,86.2313385,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,89,215,75.19200134,84.13200378,84,54.36363602,54.36363602
Tue Sep 24 11:09:38 GMT+02:00 2019,24-set-2019 11:09:37.478,14.25115221,41.6002448,24.23,9.648000999999999,514.9686279296875,65.3,3.18795776,8.86157227,1.70631409,-0.03911189,48.83130264,99.60784149,-,5.88107777,13.5609951,17.00333214,7.37393713,8.71370125,11.4759407,-,-,-,449.73782349,340.08532715,4.86799622,0.2626493,3.51788902,2421,9.64800072,514.96862793,41.60024643,14.25115204,65.30000305,19,13.55583954,1.20135033,85.24281311,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,90,216,76.56099701,87.22799683,89,57.25,57.25
Tue Sep 24 11:09:39 GMT+02:00 2019,24-set-2019 11:09:38.871,14.25143159,41.60033497,24.92,9.648000999999999,515.67822265625,67.9,1.80889893,8.83285522,3.88024902,0.00535711,48.80840302,99.60784149,-,5.96797371,13.52500916,16.75575638,7.39355659,8.43912792,11.8493185,-,-,-,443.18948364,350.39575195,5.77200317,0.29725456,3.55249429,2542,9.64800072,515.67822266,41.60033417,14.25143147,67.90000153,18,13.3462286,2.72905135,83.92472076,-,-,67.05882263,64.70588684,-,-,60.7843132,22,12.00599957,91,218,77.95200348,89.71199799,93,60,60
Tue Sep 24 11:09:41 GMT+02:00 2019,24-set-2019 11:09:40.367,14.25204052,41.60048013,26.67,9.648000999999999,516.0009765625,73.5,2.84318542,9.22070312,1.30648804,0.05333699,48.78206253,99.60784149,-,5.97080564,13.48937607,16.74781036,7.41308737,8.21473503,12.17299366,-,-,-,442.97927856,358.81243896,4.86799622,0.3374176,3.59265733,2663.5,9.64800072,516.00097656,41.60047913,14.25204086,73.5,18,13.12805462,4.31915855,82.55278778,-,-,66.66666412,64.70588684,-,-,60.7843132,22,12.00599957,93,219,79.44699859999999,96.01200104,98,62.7142868,62.7142868
Tue Sep 24 11:09:42 GMT+02:00 2019,24-set-2019 11:09:41.735,14.25235315,41.60053412,27.22,9.648000999999999,516.6215209960939,75.4,2.66841125,6.84326172,5.62322998,-0.03938618,48.75756454,20,-,6.13867521,13.45486546,16.28982162,7.43210125,8.04172993,12.43487644,-,-,-,430.86547852,364.81686401,4.98799896,0.37525523,3.63049507,2750.5,9.64800072,516.621521,41.60053253,14.25235271,75.40000153,17,12.934294699999999,5.73133802,81.33436584,-,-,7.84313726,7.84313726,-,-,0,22,12.00599957,94,221,80.81700134,97.99199677,101,65.26667023,65.26667023
