GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Driver
Sat Dec 14 08:09:43 GMT+01:00 2019,14-dic-2019 08:09:36.436,13.92287291,42.04148778,1.02,9.101999000000001,473.0,254.1,1.0165863000000002,8.53938293,4.18652344,-0.00601578,-,-,-,-,-,16.70387077,-,5.98658419,-,-,-,-,-,-,-,-,-,-,-,-,-,1066.17053223,-,-,-,-,-,-,-,-,-,9.10199928,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08822100000000001,0.87161589,0.33229035,-0.02274653,-,-,-,-,-,-,-,Aniceto
Sat Dec 14 08:09:43 GMT+01:00 2019,14-dic-2019 08:09:36.957,13.92287291,42.04148778,1.02,9.101999000000001,473.0,254.1,1.11470032,8.73838806,3.68443298,-0.00927845,-,-,-,-,-,16.70387077,-,5.98658419,-,-,-,-,-,-,-,-,-,-,-,5,-,1066.17053223,-,-,-,-,-,-,-,-,-,9.10199928,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11362898,0.89076328,0.27557929999999997,-0.02630704,-,0,-,-,5,5,5,Aniceto
Sat Dec 14 08:09:46 GMT+01:00 2019,14-dic-2019 08:09:39.827,13.92301975,42.04153406,1.49,15.17,441.0,253.4,0.62934875,9.09132385,2.22241211,-0.01924393,-,-,41.17647171,-,0,13.90874004,-,7.18957424,-,-,-,-,-,-,-,-,-,-,-,0.06800032,0.00333,1066.1739502,-,-,-,-,-,-,-,-,952,15.17000008,441,42.04153442,13.92301941,253.3999939,17,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,28.8780117,0,71.12198639,-,-,-,-,-,13.92362309,-,-,-0.77637672,-,-,14.50663757,-,-,-,0.0641538,0.92674041,0.12654558,-0.04349008,-,2.6559999,-,5.36399984,5,5.66666651,5.66666651,Aniceto
Sat Dec 14 08:09:49 GMT+01:00 2019,14-dic-2019 08:09:42.694,13.92299005,42.04150107,2.11,9.101999000000001,444.0,131.8,2.16474915,8.81774902,2.53070068,0.00120372,-,0,76.47058868,-,3.21909904,13.90841007,31.06394577,7.18974495,3.21909904,31.06394577,0,0.00373983,-,-,-,-,0.00546015,-,-,1.77600002,0.00592889,1066.17651367,-,-,104,-,-,-,-,-,1069,9.10199928,444,42.04150009,13.92298985,131.80000305,19,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,66.57228851,0,33.42771149,-,-,-,-,-,13.92362309,-,-,0.14503765,-,-,14.50663757,-,-,-,0.22066759,0.89885306,0.15797153,-0.03884902,-,5.65100002,-,7.59599924,3,5,5,Aniceto
Sat Dec 14 08:09:52 GMT+01:00 2019,14-dic-2019 08:09:45.560,13.92300778,42.0414497,3.05,6.068,432.0,191.6,2.23213196,9.43869019,1.26528931,0.01473955,-,0,74.90196228,-,1.19629776,13.90801811,83.58948517,7.18994713,2.20769835,45.29509735,0,0.00760283,-,-,-,-,0.01110013,-,-,1.47600031,0.01069389,1066.18127441,-,-,90,-,-,-,81.04189301,4.86251354,1162,6.06799984,432,42.0414505,13.92300797,191.6000061,20,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,60.08782196,0,39.91217804,-,-,-,-,-,14.21369839,-,-,0.43511295,-,-,14.50663757,-,-,-,0.24135949999999998,0.97145909,0.02820649,0.00951476,-,8.65400028,-,10.97999954,9,5.80000019,5.80000019,Aniceto
Sat Dec 14 08:09:54 GMT+01:00 2019,14-dic-2019 08:09:48.037,13.92286456,42.04139187,5.26,4.5509996,439.0,261.6,1.05168152,8.59242249,2.77276611,-0.00247473,-,0,56.07843399,-,1.24508107,13.90762806,80.31438446,7.19014883,1.88682604,52.99795532,0,0.01699583,-,-,-,-,0.02481391,-,-,6.02000046,0.01924861,1066.18981934,-,-,108,0,-57.8125,-,238.80508423,14.32830524,2164.5,4.55099964,439,42.04139328,13.92286491,261.6000061,20,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,47.97490692,0,52.02509308,-,-,-,-,-,20.30528259,3141.51733398,-,6.52669716,-,-,14.50663757,-,29.30091858,6.6416626,0.10720504,0.875884,0.1826469,-0.07310105,-,10.83899975,14,18.93600082,17,7.66666651,7.66666651,Aniceto
Sat Dec 14 08:09:57 GMT+01:00 2019,14-dic-2019 08:09:50.221,13.92272146,42.04139837,2.64,4.5509996,440.0,300.7,0.68478394,8.61914062,5.1799469,0.04644185,-,0,40.39215851,-,12.72397518,13.90759182,7.85901546,7.1901679000000005,4.5961132,21.757061,0,0.01947791,-,-,-,-,0.02843775,207.87081909,207.87081909,3.23600006,0.02958195,1066.20019531,-,-,88,9.01960754,1.5625,-,59.80928802,3.58855724,883,4.55099964,440,42.04139709,13.92272186,300.70001221,21,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,38.07849884,0,61.92150116,-,-,-,-,-,13.77858543,3567.9284668,-,0,-,-,14.50663757,-,29.30091858,6.6416626,0.06980468,0.87860757,0.42802718,0.02779283,-,13.65600014,14,9.50399971,13,8.4285717,8.4285717,Aniceto
Sat Dec 14 08:09:59 GMT+01:00 2019,14-dic-2019 08:09:52.437,13.92268576,42.04138778,0.0,4.5509996,445.0,0.0,0.37770081,9.10328674,2.50556946,-0.01863235,-,0,40.39215851,-,15.10673809,13.90762901,6.6194253,7.19014883,6.69823837,14.92898846,0,0.02144693,-,-,-,-,0.03131251,-,207.87081909,7.50399971,0.0341382,1066.20471191,-,-,82,8.62745094,0.78125,-,53.94563293,3.23673797,885,4.55099964,445,42.04138947,13.92268562,0,21,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,42.96755219,0,57.03244781,-,-,-,-,-,13.48850918,3638.99682617,-,-0.29007626,-,-,14.50663757,-,-,-,0.03850161,0.92795986,0.15540972,-0.03643366,-,15.65600014,14,0,2,7.625,7.625,Aniceto
Sat Dec 14 08:10:01 GMT+01:00 2019,14-dic-2019 08:09:54.786,13.92266788,42.04138577,0.61,4.5509996,447.0,298.9,0.49057007,9.22293091,1.92132568,-0.02097953,-,0,56.86274719,-,1.03901541,13.90723228,96.24295807,7.19035387,5.75503445,17.37572861,0,0.02589153,-,-,-,-,0.03780163,-,207.87081909,0,0.0341382,1066.20471191,-,-,97,7.84313726,-3.125,-,120.66786194,7.24007177,1027.5,4.55099964,447,42.04138565,13.9226675,298.8999939,21,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,49.46516418,0,50.53483582,-,-,-,-,-,13.92362309,4029.1484375,-,0.14503765,-,-,14.50663757,-,-,-,0.0487068,0.94121373,0.09113771,-0.03801187,-,16.66600037,14.10000038,2.1960001,0,6.77777767,7.625,Aniceto
Sat Dec 14 08:10:03 GMT+01:00 2019,14-dic-2019 08:09:57.047,13.92263692,42.0413906,1.25,4.5509996,447.0,305.4,0.02955627,8.32762146,5.12651062,0.01585251,-,0,45.49019623,-,0,13.907211300000002,-,7.19036436,5.71588469,17.49474144,0,0.02806484,-,-,-,-,0.04097466,-,207.87081909,1.99600005,0.0341382,1066.20471191,-,-,86,4.31372547,-13.28125,-,55.48869705,3.32932186,907,4.55099964,447,42.04138947,13.92263699,305.3999939,20,38.82352829,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,54.58983994,0,45.41016006,-,-,-,-,-,13.92362309,4490.36816406,-,0.14503765,-,-,14.50663757,-,2.30130959,0.21858498,0.00301287,0.84889102,0.42258006,-0.00280689,-,17.63999939,14,4.5,2,6.30000019,7,Aniceto
