GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Dec 18 09:12:34 GMT+01:00 2019,18-dic-2019 09:12:29.465,13.92291454,42.04159746,0.0,22.755,432.0,0.0,-0.56906128,9.07817078,2.8162384,-0.01035929,-,-,-,-,-,16.52621269,-,6.05094004,-,-,-,-,-,-,-,-,-,-,-,-,-,1334.75976562,-,-,-,-,-,-,-,-,-,22.75499916,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05215364,0.92275697,0.18073682,-0.03374372,-,-,-,-,-,-,-
Wed Dec 18 09:12:34 GMT+01:00 2019,18-dic-2019 09:12:29.985,13.92291454,42.04159746,0.0,22.755,432.0,0.0,-0.71502686,9.03311157,2.74684143,-0.01580602,-,-,-,-,-,16.52621269,-,6.05094004,-,-,-,-,-,-,-,-,-,-,-,1,-,1334.75976562,-,-,-,-,-,-,-,-,-,22.75499916,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05422703,0.92304158,0.15317458,-0.0410048,-,0,-,-,1,1,1
Wed Dec 18 09:12:37 GMT+01:00 2019,18-dic-2019 09:12:32.777,13.92293309,42.04160481,0.0,10.6189995,433.0,0.0,-0.74333191,9.20219421,1.84156799,-0.02136219,-,-,48.23529434,-,0,13.76081467,-,7.26686001,-,-,-,-,-,-,-,-,-,-,-,2.05199981,0.00029444,1334.76000977,-,-,-,-,-,-,-,-,920.5,10.61899948,433,42.04160309,13.92293262,0,13,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,-,-,14.06866074,-,-,-0.63133907,-,-,14.50663757,-,-,-,-0.07577287,0.93804216,0.08772355,-0.04003431,-,1.89900005,-,0,0,1.33333337,2
Wed Dec 18 09:12:40 GMT+01:00 2019,18-dic-2019 09:12:35.448,13.92294969,42.04161228,1.02,7.585,434.0,122.7,-0.16946411,9.20378113,1.45352173,-0.01645221,-,0,66.66666412,-,0,13.76079941,-,7.26686811,-,-,0,0.00258421,-,-,-,-,0.00377294,-,-,1,0.00029444,1334.76000977,-,-,80,-,-,-,-,-,1091,7.58500004,434,42.04161072,13.92294979,122.69999695,16,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,-,-,14.06866074,-,-,0,-,-,14.50663757,-,0.46683541,0.05333674,-0.01727463,0.93820393,0.04816735,-0.04968669,-,3.35700011,-,3.67199993,1,1.25,1.66666663
Wed Dec 18 09:12:42 GMT+01:00 2019,18-dic-2019 09:12:38.099,13.92298022,42.04158835,1.79,9.101999000000001,435.0,144.3,-0.28869629,9.56510925,1.57756042,0.00764692,-,0,38.82352829,-,0.44676888,13.76048756,223.82472229,7.267033099999999,0.44676888,223.82472229,0,0.00641744,-,-,-,-,0.00936947,-,-,4.86800003,0.00373319,1334.76342773,-,-,78,-,-,-,83.63425446,5.01805496,994,9.10199928,435,42.04158783,13.92298031,144.30000305,16,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,89.96037292,0,10.03962994,-,-,-,-,-,14.35873604,-,-,0.2900753,-,-,14.50663757,-,0.46683541,0.05333674,-0.02942877,0.97503656,0.06081146,-0.01101533,-,5.4000001,-,6.44399977,8,2.5999999,3.25
Wed Dec 18 09:12:45 GMT+01:00 2019,18-dic-2019 09:12:40.314,13.92296107,42.04154853,1.98,7.585,439.0,216.6,-0.30863953,9.45503235,1.22900391,-0.02451849,-,0,56.86274719,-,6.92147923,13.76032734,14.44747734,7.2671175,3.68412423,27.14292908,0,0.00913275,-,-,-,-,0.01333381,-,-,2.02400017,0.00855319,1334.76831055,-,-,78,7.45098019,3.90625,-,75.42513275,4.5255084,1095.5,7.58500004,439,42.04154968,13.92296124,216.6000061,18,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,64.67236328,0,35.32763672,-,-,-,-,-,14.21369839,4667.31445312,-,0.14503765,-,-,14.50663757,-,-,-,-0.03146172,0.96381569,0.02528072,-0.02723488,-,8.35999966,14.19999981,7.12799978,8,3.5,4.19999981
Wed Dec 18 09:12:47 GMT+01:00 2019,18-dic-2019 09:12:42.653,13.92289611,42.041497,2.41,6.068,440.0,243.3,-0.77165222,9.26281738,1.22581482,-0.02006119,-,0,65.88235474,-,4.59730434,13.76011276,21.7514267,7.26723099,3.98851752,25.07145119,0,0.01197372,-,-,-,-,0.01748163,-,-,0.87200022,0.01346208,1334.77319336,-,-,76,11.37254906,-3.90625,-,76.78302765,4.60698175,1071,6.06799984,440,42.04149628,13.92289639,243.30000305,20,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,54.35389709,0,45.64610291,-,-,-,-,-,14.06866074,4559.98632812,-,0,-,-,14.50663757,-,-,-,-0.09044837,0.94198519,0.02133615,-0.04560936,-,10.35900021,14.10000038,8.67599964,8,4.14285707,4.83333349
Wed Dec 18 09:12:49 GMT+01:00 2019,18-dic-2019 09:12:44.874,13.92282417,42.04146734,2.53,6.068,441.0,256.6,-0.84342957,9.25563049,1.30317688,-0.02433342,-,0,61.17647171,-,4.19470406,13.75988865,23.83908844,7.26734924,4.04006386,24.75156784,0,0.01477569,-,-,-,-,0.02157251,-,-,0.2159996,0.01898236,1334.77868652,-,-,74,12.94117641,3.90625,-,72.15382385,4.32922935,1158.5,6.06799984,441,42.04146576,13.92282391,256.6000061,20,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,46.31707764,0,53.68292236,-,-,-,-,-,14.21369839,4808.00097656,-,0.14503765,-,-,14.50663757,-,3.66926217,0.44515651,-0.08313162,0.93145651,0.03410158,-0.0549523,-,12.53299999,14.30000019,9.1079998,9,4.75,5.42857122
Wed Dec 18 09:12:51 GMT+01:00 2019,18-dic-2019 09:12:47.024,13.92274928,42.04145182,2.53,4.5509996,442.0,265.9,-1.14772034,9.061019900000002,0.87965393,-0.04566044,-,0,60,-,4.97245979,13.75968266,20.11035156,7.26745796,4.22654343,23.65950394,0,0.01753857,-,-,-,-,0.02560631,-,-,0.35999966,0.02457986,1334.78430176,-,-,72,9.8039217,2.34375,-,74.00550842,4.44033051,1182,4.55099964,442,42.0414505,13.92274952,265.8999939,21,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,40.89844513,0,59.10155487,-,-,-,-,-,14.21369839,4844.26025391,-,0.14503765,-,-,14.50663757,-,3.66926217,0.44515651,-0.11699493,0.92365134,-0.01033089,-0.06434087,-,14.48099995,14.19999981,9.1079998,9,5.22222233,5.875
Wed Dec 18 09:12:54 GMT+01:00 2019,18-dic-2019 09:12:49.384,13.9226614,42.04143444,1.31,4.5509996,443.0,255.0,-0.8183136,9.13121033,2.93029785,0.00011337,-,0,35.29411697,-,4.80574465,13.75947285,20.80799675,7.26756907,4.32307673,23.13119125,0,0.02078402,-,-,-,-,0.03034467,-,-,2.13599968,0.0301257,1334.78979492,-,-,71,9.01960754,-2.34375,-,78.14093018,4.68845606,938.5,4.55099964,443,42.04143524,13.92266178,255,20,85.88235474,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,34.65649033,0,65.34351349,-,-,-,-,-,13.92362309,3567.9284668,-,-0.14503765,-,-,14.50663757,-,-,-,-0.04605634,0.9710110999999999,0.19411044,0.01596735,-,17.47999954,14.19999981,4.7159996,6,5.30000019,5.88888884
