GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Fri Dec 20 12:42:23 GMT+01:00 2019,20-dic-2019 12:42:15.071,13.92569487,42.04476837,0.0,162.319,452.0,0.0,0.55957031,8.87597656,2.64076233,-0.01239264,-,0,92.15686798,-,16.05072212,13.67275429,6.23011971,7.31366348,8.53732204,11.71303177,0,0.2381573,-,-,-,-,0.34770966,-,330.17410278,2.0,0.79476357,1441.29150391,0,47118,48,0.0,39.84375,-,14.91308117,0.89478487,823.0,162.31900024,-,-,-,-,12,55.68627548,-,-,-,1.80358887,-,-,-,-,-,-,-,-,-,-,-,-,-,37.74494171,0,62.25505829,-,-,13.33333397,-,-,13.77858543,5942.19628906,-,-0.14503765,-,-,26.15203857,-,-,-,0.05630819,0.91674054,0.17455710000000002,-0.04104569,187,135.08599854,13.19999981,-,2,15.79569912,21.28985596
Fri Dec 20 12:42:25 GMT+01:00 2019,20-dic-2019 12:42:16.762,13.92576429,42.04470141,0.0,195.69299999999998,452.0,0.0,1.09555054,8.9322052,3.8503418,-0.00690932,-,0,100.0,-,0.96188778,13.67248726,103.96006775,7.31380606,8.45407581,11.82836819,0,0.23897283,-,-,-,-,0.34890032,-,330.17410278,4.0,0.79609358,1441.29272461,0,47118,52,0.0,0.0,-,30.50589561,1.83035374,1109.0,195.69299316,452,42.04470062,13.92576408,0,12,55.68627548,-,-,-,1.26696777,-,-,-,-,-,-,-,-,-,-,-,-,-,38.31839752,0,61.68160248,-,-,62.35294342,-,-,15.2289629,4525.17724609,-,1.30533981,-,-,18.37103271,-,4.99544144,0.58015412,0.11021325,0.83454061,0.25395256,-0.08651363,189,136.77600098,13.10000038,0,4,15.67021275,21.04285622
Fri Dec 20 12:42:26 GMT+01:00 2019,20-dic-2019 12:42:18.471,13.92579987,42.04467142,0.0,216.93099999999998,452.0,0.0,1.11828613,9.12602234,4.24754333,-0.01231878,-,0,66.66666412,-,3.06899691,13.67226505,32.58325958,7.31392479,8.39554214,11.91083527,0,0.23967682,-,-,-,-,0.34992817,-,330.17410278,3.0,0.79774541,1441.29443359,0,47118,46,8.23529434,2.34375,-,24.90571213,1.49434268,866.5,216.93099976,452,42.0446701,13.92580032,0,12,55.68627548,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,38.88765717,0,61.11234283,-,-,82.35294342,-,-,14.50377369,3533.11938477,-,0.5801506,-,-,28.9995575,-,4.99544144,0.58015412,0.09594527,0.90881252,0.26968423,-0.01385791,191,138.48500061,13.19999981,0,3,15.53684235,20.78873253
Fri Dec 20 12:42:28 GMT+01:00 2019,20-dic-2019 12:42:20.191,13.92583232,42.04461677,0.0,273.06,452.0,0.0,0.86943054,8.99562073,3.44355774,-0.01230164,-,0,92.54901886,-,2.46754837,13.67203045,40.52521133,7.3140502000000005,8.33180046,12.00195885,0,0.24032448,-,-,-,-,0.35087374,-,330.17410278,0.0,0.79774541,1441.29443359,0,47118,48,4.70588255,-0.78125,-,22.72469711,1.36348176,1061.5,273.05999756,452,42.0446167,13.92583275,0,12,55.68627548,-,-,-,1.61697388,-,-,-,-,-,-,-,-,-,-,-,-,-,39.45007324,0,60.54992676,-,-,72.94117737,-,-,14.35873604,4240.90332031,-,0.43511295,-,-,23.44612122,-,-,-,0.06521149,0.93735158,0.17602076,-0.0203453,192,138.95700073,13.19999981,0,0,15.375,20.78873253
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:21.895,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,0.92805481,8.57568359,3.18992615,-0.00982702,-,0,47.45098114,-,0.0,13.6720171,-,7.31405783,8.3275795,12.00804138,0,0.24108425,-,-,-,-,0.35198298,-,330.17410278,1.0,0.79774541,1441.29443359,0,47118,46,10.196078300000002,7.03125,-,26.50330925,1.59019852,926.0,339.80798339999996,452,42.04457092,13.92583179,0,12,55.68627548,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,39.99618149,0,60.00381851,-,-,82.35294342,-,-,14.21369839,3533.11938477,-,0.2900753,-,-,28.9995575,-,0.70208293,0.06808279,0.09155428,0.93393737,0.25114813,0.00230348,194,140.14900208,13.19999981,0,1,15.22680378,20.51388931
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:23.621,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,0.85148621,8.80657959,3.2772522000000004,-0.01424565,-,0,72.54901886,-,1.56105685,13.67176342,64.05783844,7.31419373,8.25635242,12.111633300000001,0,0.24156713,-,-,-,-,0.35268801,-,330.17410278,0.0,0.79774541,1441.29443359,0,47118,44,7.05882359,-0.78125,-,17.04352188,1.02261138,821.0,339.80798339999996,452,42.04457092,13.92583179,0,12,55.68627548,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,40.54159164,0,59.45840836,-,-,82.74510193,-,-,13.77858543,3673.8059081999995,-,-0.14503765,-,-,28.9995575,-,0.70208293,0.06808279,0.09862684,0.87344509,0.22907344,-0.06110444,196,140.6190033,13.19999981,0,0,15.0714283,20.51388931
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:25.312,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,0.8742218,9.1308136,3.47227478,-0.01456216,-,0,70.58823395,-,0.0,13.67174911,-,7.31420088,8.25225735,12.11764431,0,0.2420138,-,-,-,-,0.35334012,-,330.17410278,0.0,0.79774541,1441.29443359,0,47118,43,7.05882359,0.0,-,15.49972439,0.92998344,816.0,339.80798339999996,452,42.04457092,13.92583179,0,13,55.68627548,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,41.06489944,0,58.93510056,-,-,82.74510193,-,-,13.77858543,3533.11938477,-,-0.14503765,-,-,28.9995575,-,-,-,0.08911537,0.93076587,0.25395256,0.00011608,197,140.6190033,13.19999981,0,0,14.91919231,20.51388931
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:26.992,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,0.8789978,9.01356506,3.5476532,-0.01174384,-,0,70.19608307,-,0.0,13.67173576,-,7.31420803,8.24820614,12.12359619,0,0.24245556,-,-,-,-,0.35398513,-,330.17410278,0.0,0.79774541,1441.29443359,0,47118,43,7.05882359,-2.34375,-,15.77760792,0.94665647,821.5,339.80798339999996,452,42.04457092,13.92583179,0,13,55.68627548,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,41.57575989,0,58.42424011,-,-,82.74510193,-,-,13.63354778,3567.9284668000005,-,-0.2900753,-,-,28.9995575,-,-,-,0.08496859,0.90332496,0.22468245,-0.03601406,199,140.6190033,13.19999981,0,0,14.77000046,20.51388931
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:29.071,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,0.61459351,8.77189636,2.44934082,-0.014396,-,0,96.07843018,-,0.0,13.67172241,-,7.31421566,8.24419785,12.129489900000001,0,0.24290171,-,-,-,-,0.35463649,-,330.17410278,0.0,0.79774541,1441.29443359,0,47118,42,0.0,1.5625,-,15.83936119,0.95036167,825.0,339.80798339999996,452,42.04457092,13.92583179,0,13,55.68627548,-,-,-,1.10769653,-,-,-,-,-,-,-,-,-,-,-,-,-,42.07517242,0,57.92482758,-,-,82.74510193,-,-,13.63354778,6651.43066406,-,-0.2900753,-,-,16.06159973,-,-,-,0.067162,0.93430293,0.18809558,-0.019649,199,140.6190033,13.19999981,0,0,14.62376213,20.51388931
Fri Dec 20 12:42:30 GMT+01:00 2019,20-dic-2019 12:42:30.751,13.925832199999999,42.04457074,0.0,339.80798,452.0,0.0,1.07881165,8.82333374,3.79769897,-0.01577296,-,0,77.25490570000001,-,0.0,13.67170811,-,7.31422281,8.24023247,12.13532734,0,0.24427047,-,-,-,-,0.35663489,-,330.17410278,1.0,0.79774541,1441.29443359,0,47118,44,5.88235283,4.6875,-,39.6362381,2.3781743,992.0,339.80798339999996,452,42.04457092,13.92583179,0,13,55.68627548,-,-,-,1.73251343,-,-,-,-,-,-,-,-,-,-,-,-,-,42.68857193,0,57.31142807,-,-,70.58823395,-,-,15.37400055,3604.18774414,-,1.45037746,-,-,25.121444699999998,-,0.53589803,0.05567135,0.10997060000000002,0.89942235,0.28712526,-0.01431062,203,141.83999634,13.19999981,0,1,14.49019623,20.246574399999997
