GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Mon Nov 04 09:26:20 GMT+01:00 2019,04-nov-2019 09:26:21.493,13.92305381,42.04149719,0.0,31.856997999999997,455.0,0.0,-0.95869446,3.68235779,8.99969482,0.01290504,
Mon Nov 04 09:26:23 GMT+01:00 2019,04-nov-2019 09:26:24.514,13.92306156,42.04150012,0.0,27.305999999999997,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:24 GMT+01:00 2019,04-nov-2019 09:26:25.225,13.92306034,42.04149829,0.0,24.272,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:24 GMT+01:00 2019,04-nov-2019 09:26:25.694,13.92306034,42.04149829,0.0,24.272,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.154,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.274,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.393,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.504,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.624,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.85699463,3.66799927,8.93029785,0.01597361,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.743,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.67874146,3.74217224,9.10498047,0.0161394,
Mon Nov 04 09:26:25 GMT+01:00 2019,04-nov-2019 09:26:26.854,13.92305661,42.04149675,0.0,25.789,455.0,0.0,-0.7935791,3.80438232,9.15283203,0.01666166,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:26.973,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.69906616,3.7852477999999996,9.12052917,0.01596145,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.083,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.73136902,3.80079651,8.99490356,0.01719624,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.193,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.69189453,3.77926636,8.94226074,0.01367732,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.303,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.6177063,3.72901917,8.77716064,0.014880700000000002,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.414,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.71940613,3.82951355,8.97695923,0.01568748,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.535,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.66078186,3.76011658,9.08105469,0.01559924,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.653,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.70983887,3.78643799,9.01524353,0.01311222,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.764,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.64164734,3.7696991,8.75442505,0.01418502,
Mon Nov 04 09:26:26 GMT+01:00 2019,04-nov-2019 09:26:27.886,13.92306035,42.04149822,0.0,24.272,454.0,0.0,-0.73376465,3.76490784,9.13011169,0.02131883,
Mon Nov 04 09:26:27 GMT+01:00 2019,04-nov-2019 09:26:28.004,13.92305916,42.04149793,0.0,24.272,454.0,0.0,-0.67034912,3.72901917,9.04873657,0.01625812,
Mon Nov 04 09:26:27 GMT+01:00 2019,04-nov-2019 09:26:28.124,13.92305916,42.04149793,0.0,24.272,454.0,0.0,-0.74812317,3.79362488,9.13607788,0.01625117,
Mon Nov 04 09:26:27 GMT+01:00 2019,04-nov-2019 09:26:28.234,13.92305916,42.04149793,0.0,24.272,454.0,0.0,-0.67155457,3.79122925,8.97097778,0.01890546,
Mon Nov 04 09:26:27 GMT+01:00 2019,04-nov-2019 09:26:28.464,13.92305916,42.04149793,0.0,24.272,454.0,0.0,-0.57106018,3.70747375,8.97816467,0.01622069,
Mon Nov 04 09:26:27 GMT+01:00 2019,04-nov-2019 09:26:28.694,13.92305916,42.04149793,0.0,24.272,454.0,0.0,-0.57823181,3.65722656,9.21504211,0.01414432,
Mon Nov 04 09:26:28 GMT+01:00 2019,04-nov-2019 09:26:28.913,13.92305855,42.04149773,0.0,21.237999,454.0,0.0,-0.45739746,3.53161621,9.1229248,0.01730049,
Mon Nov 04 09:26:28 GMT+01:00 2019,04-nov-2019 09:26:29.154,13.92305855,42.04149773,0.0,21.237999,454.0,0.0,-0.574646,3.72901917,9.12771606,0.01631161,
Mon Nov 04 09:26:28 GMT+01:00 2019,04-nov-2019 09:26:29.386,13.92305855,42.04149773,0.0,21.237999,454.0,0.0,-0.56866455,3.70986938,8.95303345,0.01560908,
Mon Nov 04 09:26:28 GMT+01:00 2019,04-nov-2019 09:26:29.626,13.92305855,42.04149773,0.0,21.237999,454.0,0.0,-0.65240479,3.72422791,9.03678894,0.01755953,
Mon Nov 04 09:26:28 GMT+01:00 2019,04-nov-2019 09:26:29.855,13.92305855,42.04149773,0.0,21.237999,454.0,0.0,-0.54951477,3.71824646,8.98773193,0.01636076,
Mon Nov 04 09:26:29 GMT+01:00 2019,04-nov-2019 09:26:30.085,13.92303507,42.04149103,0.0,16.687,457.0,0.0,-0.44424438,3.6321106,9.21743774,0.01863435,
Mon Nov 04 09:26:29 GMT+01:00 2019,04-nov-2019 09:26:30.206,13.92303507,42.04149103,0.0,16.687,457.0,0.0,-0.53636169,3.68952942,8.96618652,0.01616142,
Mon Nov 04 09:26:29 GMT+01:00 2019,04-nov-2019 09:26:30.323,13.92303507,42.04149103,0.0,16.687,457.0,0.0,-0.62489319,3.73739624,9.09779358,0.01676842,
Mon Nov 04 09:26:29 GMT+01:00 2019,04-nov-2019 09:26:30.435,13.92303507,42.04149103,0.0,16.687,457.0,0.0,-0.4250946,3.61654663,9.02122498,0.01181356,
