GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Driver
Mon Nov 04 09:26:45 GMT+01:00 2019,04-nov-2019 09:26:46.069,13.92292185,42.04146614,0.0,28.823,454.0,0.0,-0.56866455,3.71943665,9.12890625,0.01750216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:45 GMT+01:00 2019,04-nov-2019 09:26:46.585,13.92292185,42.04146614,0.0,28.823,454.0,0.0,-0.6739501999999999,3.78883362,8.89559937,0.01187599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:46 GMT+01:00 2019,04-nov-2019 09:26:47.765,13.92291446,42.04146804,0.0,27.305999999999997,454.0,0.0,-0.4753418,3.62971497,8.8860321,0.01434131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:47 GMT+01:00 2019,04-nov-2019 09:26:48.124,13.92290989,42.04146813,0.0,27.305999999999997,454.0,0.0,-0.51602173,3.61296082,8.86210632,0.01546121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:47 GMT+01:00 2019,04-nov-2019 09:26:48.467,13.92290989,42.04146813,0.0,27.305999999999997,454.0,0.0,-0.55311584,3.61177063,9.47467041,0.02162055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:47 GMT+01:00 2019,04-nov-2019 09:26:48.815,13.92290989,42.04146813,0.0,27.305999999999997,454.0,0.0,-0.46098328,3.62492371,9.72711182,0.03075293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:48 GMT+01:00 2019,04-nov-2019 09:26:49.274,13.92290668,42.04146766,0.0,24.272,453.0,0.0,-0.46098328,3.62492371,9.72711182,0.03075293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:48 GMT+01:00 2019,04-nov-2019 09:26:49.736,13.92290668,42.04146766,0.0,24.272,453.0,0.0,-0.46098328,3.62492371,9.72711182,0.03075293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:49 GMT+01:00 2019,04-nov-2019 09:26:49.964,13.92291792,42.04146544,0.0,22.755,455.0,0.0,-0.46098328,3.62492371,9.72711182,0.03075293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
Mon Nov 04 09:26:49 GMT+01:00 2019,04-nov-2019 09:26:50.813,13.92291792,42.04146544,0.0,22.755,455.0,0.0,-0.46098328,3.62492371,9.72711182,0.03075293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniceto
