GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Driver
Sat Nov 23 19:05:36 GMT+01:00 2019,23-nov-2019 19:05:37.082,9.17848098,45.4407136,0.0,25.789,172.0,0.0,-6.57345581,-5.15434265,5.50856018,0.04517244,-,0,61.96078491,-,0.0,14.87969017,-,6.72043037,11.97780228,8.34860325,0,0.03212677,-,-,-,-,0.04690508,-,175.45520019999998,0.0,0.33035934,708.64520264,0,45573,38,9.4117651,0.0,-,14.29556274,0.85773379,804.0,25.78899956,-,-,-,-,8,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,17.98702812,0.0,82.01296997,-,-,84.31372833,-,-,13.92362309,3567.9284668000005,-,-0.43511295,-,-,28.9995575,-,-,-,-0.67007703,-0.52541715,0.46152499,0.02033702,945,52.12799835,13.80000019,-,0,17.73333359,23.13043404,Aniceto
Sat Nov 23 19:05:39 GMT+01:00 2019,23-nov-2019 19:05:39.272,9.17849112,45.44065827,0.0,16.687,172.0,0.0,-6.56507874,-5.27996826,5.67726135,0.04771972,-,0,59.60784531,-,0.0,14.87964439,-,6.72045088,11.95667744,8.36335373,0,0.03265094,-,-,-,-,0.04767037,-,175.45520019999998,0.0,0.33035934,708.64520264,0,45573,38,9.4117651,-1.5625,-,14.295563699999999,0.85773379,796.0,16.68700027,172,45.44065857,9.17849159,0,9,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,21.33845329,0.0,78.6615448,-,-,84.31372833,-,-,13.92362309,3638.99682617,-,-0.43511295,-,-,28.9995575,-,-,-,-0.66922307,-0.53822303,0.47872183,0.03595145,947,52.12799835,13.60000038,0,0,17.16129112,23.13043404,Aniceto
Sat Nov 23 19:05:41 GMT+01:00 2019,23-nov-2019 19:05:41.501,9.178532,45.44066931,0.0,16.687,172.0,0.0,-6.60575867,-5.31706238,5.56240845,0.04694469,-,0,57.64706039,-,0.0,14.87959862,-,6.72047186,11.93634319,8.37760162,0,0.03317678,-,-,-,-,0.04843809,-,175.45520019999998,0.0,0.33035934,708.64520264,0,45573,38,9.4117651,0.78125,-,14.29556274,0.85773379,801.5,16.68700027,172,45.44067001,9.17853165,0,10,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,23.7594986,0.0,76.24050140000001,-,-,84.31372833,-,-,13.92362309,3604.18774414,-,-0.43511295,-,-,28.9995575,-,-,-,-0.67019832,-0.53407627,0.47213614,0.030761200000000002,950,52.12799835,13.80000019,0,0,16.625,23.13043404,Aniceto
Sat Nov 23 19:05:43 GMT+01:00 2019,23-nov-2019 19:05:43.694,9.17855062,45.44066105,0.0,15.17,171.0,0.0,-6.55311584,-5.33021545,5.56001282,0.04649161,-,0,60.7843132,-,0.0,14.87955284,-,6.72049236,11.91674328,8.39138031,0,0.03371794,-,-,-,-,0.04922819,-,175.45520019999998,0.0,0.33035934,708.64520264,0,45573,38,9.803921699999998,0.78125,-,14.57344532,0.8744066999999999,804.5,15.17000008,171,45.44066238,9.17855072,0,10,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,26.07346916,0.0,73.92652893,-,-,84.31372833,-,-,13.92362309,3567.9284668000005,-,-0.43511295,-,-,28.9995575,-,-,-,-0.6609295000000001,-0.53822303,0.47225747,0.02699113,952,52.12799835,13.80000019,0,0,16.12121201,23.13043404,Aniceto
Sat Nov 23 19:05:45 GMT+01:00 2019,23-nov-2019 19:05:45.904,9.17854311,45.44065954,0.0,16.687,171.0,0.0,-6.34494019,-4.83370972,6.40228271,0.046900800000000006,-,0,99.60784149,-,0.0,14.87950611,-,6.72051334,11.89782715,8.40472126,0,0.03422384,-,-,-,-,0.0499668,-,175.45520019999998,0.0,0.33035934,708.64520264,0,45573,37,1.96078432,-39.0625,-,13.9559269,0.83735561,797.5,16.68700027,171,45.44065857,9.17854309,0,10,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,28.35896492,0.0,71.64103699,-,-,64.31372833,-,-,13.92362309,5163.34326172,-,-0.43511295,-,-,28.9995575,-,-,-,-0.64068401,-0.491025,0.55335927,0.038844,954,52.12799835,13.80000019,0,0,15.64705849,23.13043404,Aniceto
Sat Nov 23 19:05:47 GMT+01:00 2019,23-nov-2019 19:05:48.024,9.1785407,45.44065816,0.0,16.687,171.0,0.0,-6.67515564,-5.49293518,6.03738403,0.06467443,-,0,92.94117737,-,0.0,14.87946033,-,6.72053385,11.87955093,8.41765118,0,0.03503819999999999,-,-,-,-,0.05115578,-,175.45520019999998,5.0,0.33035934,708.64520264,0,45573,42,4.70588255,-2.34375,-,22.19980431,1.33198822,987.5,16.68700027,171,45.44065857,9.17854023,0,10,100.0,-,-,-,1.41937256,-,-,-,-,-,-,-,-,-,-,-,-,-,30.55703354,0.0,69.44296265,-,-,73.72549438,-,-,14.79384899,4631.05517578,-,0.43511295,-,-,20.5809021,-,12.72406864,1.31583393,-0.64068401,-0.53614962,0.51482189,0.03762886,956,53.38800049,13.80000019,0,5,15.34285736,22.375,Aniceto
Sat Nov 23 19:05:50 GMT+01:00 2019,23-nov-2019 19:05:50.526,9.1785379,45.44065793,0.0,15.17,171.0,0.0,-5.91423035,-4.34437561,6.14146423,-0.00214297,-,0,85.49019623,-,2.57646489,14.87866497,38.81206131,6.72089338,11.58882999,8.62881947,0,0.03631024,-,-,-,-,0.05301294,-,175.45520019999998,9.0,0.33452046,708.64941406,0,45573,44,14.90196037,0.0,-,35.84878159,2.15092707,1119.5,15.17000008,171,45.44065857,9.17853832,0,11,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,30.64690399,0.0,69.35309601,-,-,62.35294342,-,-,14.93888664,4738.3828125,-,0.5801506,-,-,28.9995575,-,16.60783005,1.94704032,-0.66153926,-0.44407117,0.54287255,0.02412635,958,56.02399826,13.60000038,0,9,15.16666698,21.84000015,Aniceto
Sat Nov 23 19:05:52 GMT+01:00 2019,23-nov-2019 19:05:52.629,9.17853703,45.44065702,0.0,15.17,171.0,0.0,-6.43347168,-4.60758972,6.45611572,0.04453538,-,0,95.6862793,-,3.40030122,14.87792206,29.40854645,6.72122908,11.34069252,8.81762028,0,0.03818379,-,-,-,-,0.05574833,-,175.45520019999998,13.0,0.34353739,708.65838623,0,45573,48,8.23529434,6.25,-,37.97741318,2.2786447999999995,1617.0,15.17000008,171,45.44065857,9.17853737,0,12,100.0,-,-,-,1.82116699,-,-,-,-,-,-,-,-,-,-,-,-,-,29.73727608,0.0,70.26272583,-,-,5.88235283,-,-,16.82437706,10161.34375,-,2.46564102,-,-,26.40691948,-,16.60783005,1.94704032,-0.63141519,-0.48419511,0.5925079000000001,0.05520502,958,58.287998200000004,13.19999981,0,13,15.10810852,21.5,Aniceto
Sat Nov 23 19:05:54 GMT+01:00 2019,23-nov-2019 19:05:54.814,9.17854658,45.44065081,0.0,15.17,172.0,0.0,-6.47175598,-4.63870239,5.92730713,0.05829437,-,0,0.0,-,1.79945719,14.87707615,55.57115936,6.72161102,11.06006813,9.0413475,0,0.04093824,-,-,-,-,0.05976983,-,175.45520019999998,15.0,0.3499074,708.66479492,0,45573,62,0.0,-100.0,-,100.77265167,6.04635906,1860.0,15.17000008,172,45.44065094,9.17854691,0,14,100.0,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,29.04055977,0.0,70.95944214,-,-,30.98039246,-,-,16.09918976,4169.83496094,-,1.74045372,-,-,28.9995575,-,10.87621689,2.11850166,-0.65971005,-0.51139337,0.55213976,0.05961958,963,60.11800003,13.0,0,15,15.10526276,21.25926018,Aniceto
Sat Nov 23 19:05:56 GMT+01:00 2019,23-nov-2019 19:05:56.967,9.17854518,45.44065169,0.0,16.687,172.0,0.0,-6.83306885,-5.26441956,5.7442627,0.04168151,-,0,99.60784149,-,181.24800109999998,14.87717247,0,6.72156763,11.21163177,8.919122699999999,0,0.04093824,-,-,-,-,0.05976983,0,166.22071838,18.0,0.35995406,708.67480469,0,45573,53,7.05882359,0.78125,-,0.0,0.0,1194.5,16.68700027,172,45.44065094,9.178545,0,16,100.0,-,-,-,1.6897582999999998,-,-,-,-,-,-,-,-,-,-,-,-,-,28.24184227,0.0,71.75815582,-,-,5.49019623,-,-,16.24422646,7608.6796875,-,1.88549042,-,-,24.50149536,-,22.78332329,2.84997606,-0.70203024,-0.53822303,0.48616147,0.06154855,965,62.32699966,12.89999962,0,18,15.17948723,21.142856600000002,Aniceto
