GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Thu Nov 28 14:20:46 GMT+01:00 2019,28-nov-2019 14:20:46.417,13.93146824,42.04869282,0.0,84.951996,399.0,0.0,1.17572021,9.1690979,1.62980652,-0.0146778,-,0,65.49019623,-,0.0,14.44207764,-,6.9240675000000005,-,-,0,0.01559258,-,-,-,-,0.02276516,-,-,0.0,-,816.73822021,-,-,45,7.05882359,0.78125,-,34.07092667,2.0442555000000002,830.0,84.95199585,-,-,-,-,7,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.48850918,3533.11938477,-,-0.29007626,-,-,14.50663757,-,-,-,0.18838926,0.95515817,0.13675077,0.00227468,-,0.0,13.80000019,-,0,0.0,-
Thu Nov 28 14:20:48 GMT+01:00 2019,28-nov-2019 14:20:48.567,13.93138834,42.04863819,0.0,72.81599399999999,409.0,0.0,2.45109558,8.77548218,3.76898193,0.01355468,-,0,99.60784149,-,0.0,14.44204426,-,6.92408371,-,-,0,0.01759984,-,-,-,-,0.02569577,-,-,6.0,-,816.73822021,-,-,50,3.13725495,-35.9375,-,53.26668167,3.19600105,1048.5,72.81599426,409,42.04863739,13.9313879,0,8,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.64881134,5092.27490234,-,0.87022591,-,-,14.50663757,-,16.78347015,1.84284234,0.24217299,0.88503152,0.26053828,-0.01380503,-,1.29799998,13.80000019,0,6,0.375,6
Thu Nov 28 14:20:50 GMT+01:00 2019,28-nov-2019 14:20:50.708,13.93137569,42.04863371,0.0,63.713997,408.0,0.0,2.38528442,9.02073669,3.29400635,0.00308491,-,0,67.05882263,-,4.15204382,14.44154358,24.08402252,6.92432356,4.15204382,24.08402252,0,0.0188589,-,-,-,-,0.02753399,-,-,6.0,0.00358333,816.74182129,-,-,47,9.4117651,0.78125,-,35.12021255,2.10721278,905.0,63.71399689,408,42.04863358,13.9313755,0,8,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,13.92362309,3496.85986328,-,0.14503765,-,-,14.50663757,-,16.78347015,1.84284234,0.17619312,0.89905685,0.22809662,-0.02653105,-,3.30999994,13.5,0,6,0.70588237,6
Thu Nov 28 14:20:52 GMT+01:00 2019,28-nov-2019 14:20:52.955,13.93134713,42.04861926,0.0,50.060997,414.0,0.0,0.36694336,9.45503235,2.33328247,0.01021004,-,0,97.25490570000001,-,6.53964901,14.441160199999999,15.2910223,6.92450762,5.34584665,18.70572281,0,0.02006785,-,-,-,-,0.02929906,-,-,4.0,0.00652917,816.74475098,-,-,46,0.0,-67.1875,-,34.07092667,2.0442555000000002,797.0,50.06099701,414,42.04861832,13.93134689,0,9,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,23.97660828,0,76.02339172,-,-,45.49019623,-,-,13.48850918,5624.56347656,-,-0.29007626,-,-,14.50663757,-,-,-,0.03459903,0.98503643,0.16675194,0.02145142,-,5.47200012,13.80000019,0,4,0.8888889000000001,5.33333349
Thu Nov 28 14:20:55 GMT+01:00 2019,28-nov-2019 14:20:55.311,13.93116453,42.04845605,0.0,27.305999999999997,438.0,0.0,0.82756042,11.82513428,1.34625244,0.07194781,-,0,79.21569061,-,0.50615162,14.44048309,197.56513977,6.92483234,3.73261499,26.79031181,0,0.02749354,-,-,-,-,0.04014057,-,-,15.0,0.01251681,816.75073242,-,-,91,0.0,0.0,-,197.14228821,11.82853699,1705.0,27.30599976,438,42.04845428,13.93116474,0,11,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,27.24752998,0,72.75247192,-,-,5.88235283,-,-,16.38926506,10869.12792969,-,2.61067963,-,-,14.50663757,-,47.13824463,8.41658115,0.24912421,0.97284186,-0.43718654,0.05969138,-,8.29800034,13.80000019,0,15,1.63157892,7.75
Thu Nov 28 14:20:57 GMT+01:00 2019,28-nov-2019 14:20:57.666,13.93114705,42.04844484,0.0,24.272,439.0,0.0,1.06085205,7.6006012,4.02261353,0.02407332,-,0,77.64705658,-,2.50129271,14.43990326,39.97849655,6.92511034,3.42478442,29.19831085,0,0.03483819999999999,-,-,-,-,0.05086377,1057.43054199,1057.43054199,30.0,0.02726681,816.76550293,-,-,86,6.66666651,0.0,-,186.64942932,11.19896603,1939.0,24.27199936,439,42.04844666,13.93114662,0,12,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,21.96211815,0,78.03787994,-,-,23.92156982,-,-,23.78618813,7750.81689453,-,10.00760269,-,-,14.50663757,-,108.68534088,22.06920815,0.10813986,0.77478093,0.31005234,-0.11645272,-,10.29500008,13.80000019,0,30,3.04999995,12.19999981
Thu Nov 28 14:20:59 GMT+01:00 2019,28-nov-2019 14:20:59.852,13.93111898,42.04842865,0.0,24.272,445.0,0.0,2.78967285,8.83052063,4.16259766,0.05398530000000001,-,0,0.0,-,7.089013099999999,14.43954563,14.10604286,6.92528152,4.15762997,24.05166435,0,0.04008138,-,-,-,-,0.05851881,373.10458374,715.26757812,27.0,0.0457918,816.78399658,-,-,82,12.15686321,0.0,-,134.55546569999998,8.07332802,1868.5,24.27199936,445,42.04842758,13.93111897,0,12,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,18.38510323,0,81.61489868,-,-,41.5686264,-,-,14.93888664,5375.09863281,-,1.16030121,-,-,14.50663757,-,108.68534088,22.06920815,0.28668791,0.89808005,0.44994012,0.09178104,-,12.29800034,13.80000019,0,27,4.19047642,14.66666698
Thu Nov 28 14:21:01 GMT+01:00 2019,28-nov-2019 14:21:02.041,13.93094714,42.04845835,5.23,24.272,441.0,265.9,3.13423157,9.25164795,3.50218201,0.07679588,-,0,5.09803915,-,181.24800109999998,14.439616199999998,0,6.92524815,6.11194181,16.36107254,0,0.04008138,-,-,-,-,0.05851881,0,476.84503174,17.0,0.05923625,816.79742432,-,-,76,5.09803915,-2.34375,-,0.0,0.0,1159.0,24.27199936,441,42.0484581,13.9309473,265.8999939,13,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,15.81340027,0,84.18659973,-,-,7.05882359,-,-,13.92362309,5304.03027344,-,0.14503765,-,-,14.50663757,-,-,-,0.42693967,0.83356535,0.07638133,-0.04666914,-,14.29800034,13.80000019,18.82799911,17,4.77272749,15
Thu Nov 28 14:21:03 GMT+01:00 2019,28-nov-2019 14:21:04.047,13.93071126,42.04847212,5.73,21.237999,433.0,278.8,1.09077454,9.17388916,1.19670105,0.02740385,-,0,94.11764526,-,70.19449615,14.43968582,1.42458355,6.92521429,7.50788975,13.31904507,0,0.04395434,-,-,-,-,0.06417333,37.68021011,367.05383301,2.28000069,0.0707418,816.80895996,0,-,80,0.0,52.34375,-,106.59510039999999,6.3957057,1365.5,21.23799896,433,42.04847336,13.93071079,278.79998779,13,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,13.77818394,0,86.22181702,-,-,5.88235283,-,-,14.64881134,14592.24707031,-,0.87022591,-,-,14.50663757,-,31.18741798,4.45973539,0.11119006,0.93515688,0.02198787,-0.05006373,-,16.40999985,13.80000019,20.62800026,21,5.47826099,15.75
Thu Nov 28 14:21:05 GMT+01:00 2019,28-nov-2019 14:21:06.085,13.93052082,42.048520200000006,8.17,24.272,430.0,276.6,3.03135681,7.66879272,4.05253601,-0.04438692,-,0,3.52941179,-,1.62312376,14.43906307,61.60831451,6.92551279,6.77229404,14.76573849,0,0.05703232,-,-,-,-,0.08326718,1629.53881836,619.55084229,13.60000038,0.08958375,816.82781982,0,46269,96,0.0,0.0,-,334.47525024,20.06851578,2391.0,24.27199936,430,42.04851913,13.93052101,276.6000061,13,52.94117737,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,11.91881943,0,88.08118439,-,-,5.88235283,-,-,25.96175575,6687.68994141,-,12.18317032,-,-,14.50663757,-,116.9431076,29.28142357,0.26558846,0.8561269,0.27688119,-0.02728417,172,18.96999931,13.80000019,29.41199875,37,6.79166651,18.11111069
