GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Fri Nov 29 12:49:50 GMT+01:00 2019,29-nov-2019 12:49:51.933,13.92263474,42.04139695,0.0,12.136,434.0,0.0,0.21260071,9.46580505,3.34664917,0.00036483,-,-,-,-,-,17.25587654,-,5.79507685,-,-,-,-,-,-,-,-,-,-,-,-,-,819.54241943,-,-,-,-,-,-,-,-,-,12.13599968,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02142763,0.9661333000000001,0.26188061,0.03225863,-,-,-,-,-,-,-
Fri Nov 29 12:49:51 GMT+01:00 2019,29-nov-2019 12:49:52.460,13.92263593,42.0413788,0.0,7.585,435.0,0.0,0.18029785,8.50030518,2.59051514,-0.01731276,-,-,-,-,-,17.25587654,-,5.79507685,-,-,-,-,-,-,-,-,-,-,-,0,-,819.54241943,-,-,-,-,-,-,-,-,-,7.58500004,435,42.04137802,13.92263603,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02496468,0.91686189,0.22236486,-0.02746518,-,0,-,0,0,0,-
Fri Nov 29 12:49:54 GMT+01:00 2019,29-nov-2019 12:49:55.315,13.92261936,42.04139591,0.76,4.5509996,436.0,283.3,0.56674194,9.22532654,3.47227478,-0.01163328,-,-,56.07843399,-,0,14.36836338,-,6.95958996,-,-,-,-,-,-,-,-,-,-,-,1,-,819.54241943,-,-,-,-,-,-,-,-,1151.5,4.55099964,436,42.04139709,13.92261982,283.29998779,19,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,-,-,14.64881134,-,-,-0.05118847,-,-,14.50663757,-,0.4572691,0.05514089,0.01752505,0.92600936,0.26895314,-0.00270056,-,1.05200005,-,2.73599982,1,0.33333334,1
Fri Nov 29 12:49:56 GMT+01:00 2019,29-nov-2019 12:49:57.903,13.92259741,42.04141085,0.34,4.5509996,436.0,283.4,0.56793213,9.17028809,2.46011353,-0.02551495,-,0,65.88235474,-,0.61463267,14.36770916,162.69541931,6.95990705,0.61463267,162.69541931,0,0.00262077,-,-,-,-,0.00382632,-,-,1.80799985,0.00060056,819.54296875,-,-,67,-,-,-,-,-,1148,4.55099964,436,42.04141235,13.92259789,283.3999939,21,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,-,-,13.77858543,-,-,-0.14503765,-,-,14.50663757,-,0.4572691,0.05514089,0.04252707,0.89051908,0.06833197,-0.09240375,-,3.04999995,-,1.22399998,1,0.5,1
Fri Nov 29 12:49:59 GMT+01:00 2019,29-nov-2019 12:50:00.654,13.92257593,42.041444,2.36,4.5509996,436.0,338.2,1.82655334,8.71325684,3.62541199,-0.00112939,-,0,69.01960754,-,0.4304432,14.3670454,232.31385803,6.96022892,0.52253795,191.36968994,0,0.00640017,-,-,-,-,0.00934425,-,-,6.62400007,0.00416722,819.54656982,-,-,70,-,-,-,87.89311218,5.27358675,1091,4.55099964,436,42.04144287,13.92257595,338.20001221,22,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,76.21487427,0,23.78512383,-,-,-,-,-,15.08392429,-,-,1.16030216,-,-,14.50663757,-,-,0.05514089,0.18619299,0.88820148,0.26956290000000005,-0.01979462,-,6.05000019,-,8.49599934,9,2.20000005,3.66666675
Fri Nov 29 12:50:01 GMT+01:00 2019,29-nov-2019 12:50:03.171,13.92259317,42.04151287,3.78,4.5509996,437.0,11.6,1.21400452,8.79820251,3.01403809,-0.0179324,-,0,73.72549438,-,5.26868105,14.36661148,18.97968674,6.96043873,2.10458565,47.5143013,0,0.00881039,-,-,-,-,0.01286317,-,-,1.72399998,0.01166778,819.55407715,-,-,66,14.11764717,-7.8125,-,61.53752518,3.69225144,921.5,4.55099964,437,42.04151154,13.92259312,11.60000038,22,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,55.14890671,0,44.85109329,-,-,-,-,-,14.21369839,4490.36816406,-,0.2900753,-,-,14.50663757,-,35.74110794,3.44906449,0.1271659,0.90698332,0.24468376,-0.02109698,-,8.36100006,13.80000019,13.6079998,14,4.16666651,6.25
Fri Nov 29 12:50:04 GMT+01:00 2019,29-nov-2019 12:50:05.383,13.92263029,42.04166847,5.41,4.5509996,438.0,14.6,1.38031006,8.70967102,4.04415894,-0.00444094,-,0,53.33333588,-,7.72865391,14.36629581,12.93859386,6.96059179,3.51060271,28.48454475,0,0.01135732,-,-,-,-,0.01658169,342.22558594,342.22558594,1.47599983,0.02287222,819.56524658,-,-,67,30.58823586,-0.78125,-,60.8585701,3.65151429,1191,4.55099964,438,42.04166794,13.92263031,14.60000038,22,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,41.728508,0,58.271492,-,-,-,-,-,14.06866074,5765.25,-,0.14503765,-,-,14.50663757,-,35.74110794,3.44906449,0.10021338,0.87881136,0.25529334,-0.04647685,-,11.05000019,13.80000019,19.47599983,18,6.14285707,8.60000038
Fri Nov 29 12:50:06 GMT+01:00 2019,29-nov-2019 12:50:07.532,13.9226671,42.04177222,5.8,4.5509996,439.0,17.9,0.86943054,9.03030396,3.78453064,-0.01065965,-,0,50.98039246,-,13.39007759,14.36624908,7.46806145,6.960614200000001,5.48649788,18.22618484,0,0.01370272,-,-,-,-,0.02000597,197.53009033,269.87783813,0.52400017,0.03458889,819.57696533,-,-,64,21.56862831,3.125,-,63.38920975,3.80335259,1326.5,4.55099964,439,42.04177094,13.9226675,17.89999962,22,49.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,35.33062744,0,64.66937256,-,-,-,-,-,13.77858543,6722.49902344,-,-0.14503765,-,-,14.50663757,-,15.01233768,2.08541989,0.03106198,0.90820277,0.20785113,-0.0402091,-,13.05099964,13.80000019,20.88000107,20,7.875,10.5
Fri Nov 29 12:50:08 GMT+01:00 2019,29-nov-2019 12:50:09.780,13.92272957,42.04188888,7.0,4.5509996,439.0,22.4,1.13383484,9.16430664,3.1348877,0.00443386,-,0,70.19608307,-,11.71909618,14.366123199999999,8.53290367,6.96067524,6.52526426,15.32473183,0,0.01669584,-,-,-,-,0.02437593,225.69515991,255.15028381,2.11999893,0.04730375,819.58972168,-,-,65,12.94117641,-12.5,-,84.3132019,5.05879211,1494,4.55099964,439,42.04188919,13.92272949,22.39999962,22,50.98039246,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,30.63583755,0,69.36415863,-,-,-,-,-,14.06866074,6226.47021484,-,0.14503765,-,-,14.50663757,-,23.97569466,3.75110984,0.07691923,0.95418137,0.18041174,-0.00215764,-,15.05099964,13.60000038,25.19999886,23,9.55555534,12.28571415
Fri Nov 29 12:50:10 GMT+01:00 2019,29-nov-2019 12:50:11.931,13.92281184,42.04201494,8.06,4.5509996,439.0,23.2,1.68537903,8.21316528,3.62780762,-0.00596484,-,0,77.2549057,-,6.38268518,14.36574268,15.66706181,6.96085978,6.50489569,15.3727169,0,0.02149693,-,-,-,-,0.03138553,414.39349365,294.96109009,1.08000183,0.06301209,819.60540771,-,-,69,11.76470566,-0.78125,-,127.51908875,7.65114546,1793,4.55099964,439,42.04201508,13.92281151,23.20000076,22,50.98039246,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,27.04398918,0,72.95600891,-,-,-,-,-,15.5190382,11224.47070312,-,1.59541512,-,-,14.50663757,-,29.43060493,5.52608347,0.04667385,0.84710228,0.22175513,-0.09233835,-,17.04999924,13.60000038,29.01600075,27,11.30000019,14.125
