GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.142,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.278,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.405,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.536,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.663,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.793,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:17 GMT+02:00 2019,17-ott-2019 13:35:18.933,13.92369376,42.06207795,7.46,12.136,450.0,208.1,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:19.063,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:19.192,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:19.328,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:19.455,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:19.733,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:18 GMT+02:00 2019,17-ott-2019 13:35:20.016,13.92366805,42.0619874,8.36,7.585,437.0,209.0,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:19 GMT+02:00 2019,17-ott-2019 13:35:20.295,13.923597699999998,42.06193227,9.4,7.585,436.0,210.4,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:19 GMT+02:00 2019,17-ott-2019 13:35:20.575,13.923597699999998,42.06193227,9.4,7.585,436.0,210.4,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:19 GMT+02:00 2019,17-ott-2019 13:35:20.849,13.923597699999998,42.06193227,9.4,7.585,436.0,210.4,8.85427856,0.18165588,3.90177917,0.00606881,
Thu Oct 17 13:35:20 GMT+02:00 2019,17-ott-2019 13:35:21.118,13.92354561,42.06183394,10.28,6.068,431.0,210.3,8.51330566,-0.42134094,4.33009338,0.01496941,
Thu Oct 17 13:35:20 GMT+02:00 2019,17-ott-2019 13:35:21.388,13.92354561,42.06183394,10.28,6.068,431.0,210.3,9.15458679,-0.19880676,4.17935181,0.04503804,
Thu Oct 17 13:35:20 GMT+02:00 2019,17-ott-2019 13:35:21.657,13.92354561,42.06183394,10.28,6.068,431.0,210.3,8.00842285,0.07397461,4.01065063,0.01547804,
Thu Oct 17 13:35:20 GMT+02:00 2019,17-ott-2019 13:35:21.778,13.92354561,42.06183394,10.28,6.068,431.0,210.3,7.51550293,0.15293884,4.09082031,-0.10861528,
Thu Oct 17 13:35:20 GMT+02:00 2019,17-ott-2019 13:35:21.902,13.92354561,42.06183394,10.28,6.068,431.0,210.3,9.60203552,-0.21076965,4.31454468,0.00542748,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.025,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.99186707,-0.40219116,3.1348877,0.05678995,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.149,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.81599426,-0.12103271,4.55741882,0.03072697,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.268,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.59106445,-0.29690552,3.83000183,0.00489149,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.393,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.39126587,-0.17726135,4.34205627,-0.01268764,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.525,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.58149719,-0.26101685,4.11474609,-0.01050305,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.653,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.69995117,-0.35075378,4.30497742,0.00395678,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.784,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,8.71070862,-0.09233093,4.04534912,0.00194993,
Thu Oct 17 13:35:21 GMT+02:00 2019,17-ott-2019 13:35:22.912,13.923491199999999,42.06175171,10.51,6.068,431.0,209.5,9.07801819,-0.43688965,4.04415894,0.03303546,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.044,13.92343476,42.06166857,10.57,6.068,431.0,209.3,9.19883728,-0.36032104,3.33229065,0.02355009,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.178,13.92343476,42.06166857,10.57,6.068,431.0,209.3,7.84690857,-0.06242371,3.8658905,0.01031306,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.305,13.92343476,42.06166857,10.57,6.068,431.0,209.3,9.73005676,-0.67738342,3.71873474,0.08196632,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.433,13.92343476,42.06166857,10.57,6.068,431.0,209.3,9.45487976,-0.68814087,2.63957214,0.05303471,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.569,13.92343476,42.06166857,10.57,6.068,431.0,209.3,9.10671997,-0.61157227,3.35742188,0.0464776,
Thu Oct 17 13:35:22 GMT+02:00 2019,17-ott-2019 13:35:23.842,13.92343476,42.06166857,10.57,6.068,431.0,209.3,8.94161987,-0.29092407,2.62879944,-0.00579423,
Thu Oct 17 13:35:23 GMT+02:00 2019,17-ott-2019 13:35:24.124,13.92337608,42.06157952,10.36,6.068,429.0,208.0,9.05528259,-0.42253113,2.23995972,0.01633023,
Thu Oct 17 13:35:23 GMT+02:00 2019,17-ott-2019 13:35:24.401,13.92337608,42.06157952,10.36,6.068,429.0,208.0,10.31867981,-0.69413757,2.94107056,0.02580243,
