GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gaugeacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Driver
Wed Feb 12 16:35:49 GMT+01:00 2020,12-feb-2020 16:35:48.074,14.03145113,41.86515872,19.77,13.652999999999999,1302.0,267.1,1.40063477,9.00160217,2.39909363,-0.01708236,-,-,-,-,-,16.81416512,-,5.94731426,-,-,-,-,-,-,-,-,-,-,-,-,-,3527.56933594,-,-,-,-,-,-,-,-,-,13.65299988,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0702122,0.94869381,0.18138701,-0.0076286999999999995,-,-,-,-,-,-,-,Aniceto
Wed Feb 12 16:35:49 GMT+01:00 2020,12-feb-2020 16:35:48.598,14.03145113,41.86515872,19.77,13.652999999999999,1302.0,267.1,0.28318787,8.91905212,2.74125671,-0.03003345,-,-,-,-,-,16.81416512,-,5.94731426,-,-,-,-,-,-,-,-,-,-,-,69,-,3527.56933594,-,-,-,-,-,-,-,-,-,13.65299988,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06240705,0.9222280999999999,0.19870518,-0.02826498,-,-0.001,-,-,69,69,69,Aniceto
Wed Feb 12 16:35:52 GMT+01:00 2020,12-feb-2020 16:35:51.500,14.03102502,41.86512432,16.65,9.101999000000001,1296.0,264.7,0.98309326,8.69293213,3.21862793,-0.00569294,-,-,60.39215851,-,0,14.00059319,-,7.14240599,-,-,-,-,-,-,-,-,-,-,-,9.87200165,0.03858861,3527.60791016,-,-,-,-,-,-,-,-,1674,9.10199928,1296,41.86512375,14.03102493,264.70001221,18,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.98468018,-,-,3.28468037,-,-,28.9995575,-,47.34954071,8.30059433,0.1071646,0.89076328,0.18236381,-0.05910824,-,2.68899989,-,59.93999863,71,70,70,Aniceto
Wed Feb 12 16:35:55 GMT+01:00 2020,12-feb-2020 16:35:54.172,14.03025546,41.86512539,19.74,7.585,1295.0,271.8,2.21420288,9.86779785,2.49719238,0.012813900000000001,-,0,57.25490189,-,19.11443901,14.00063801,5.2315383,7.142383099999999,19.11443901,5.2315383,0,0.0030558,-,-,-,-,0.00446147,138.37409973,138.37409973,5.76000214,0.08601694,3527.65527344,-,-,89,-,-,-,-,-,1693,7.58500004,1295,41.86512375,14.03025532,271.79998779,19,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.79384899,-,-,2.17556572,-,-,28.9995575,-,19.67460442,3.48819661,0.14046018,0.94210809,0.14711617,-0.01560938,-,5.6880002,-,71.06399536,72,70.5,70.5,Aniceto
Wed Feb 12 16:35:57 GMT+01:00 2020,12-feb-2020 16:35:56.834,14.02970312,41.86524548,20.55,6.068,1294.0,283.2,1.73204041,8.43569946,2.52351379,-0.04402518,-,0,57.25490189,-,16.63576698,14.00066185,6.01101971,7.14237118,17.875103,5.59425688,0,0.00729405,-,-,-,-,0.01064932,158.99136353,148.68273926,5.01200104,0.13998917,3527.70922852,-,-,85,-,-,-,94.85089874,5.69105387,1719.5,6.06799984,1294,41.86524582,14.02970314,283.20001221,19,29.01960754,-,-,-,1.8092041,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,19.43505669,-,-,6.81677341,-,-,26.23345947,-,19.67460442,3.48819661,0.18509641,0.83222306,0.15382475,-0.11015527,-,7.69000006,-,73.97999573,73,71,71,Aniceto
Wed Feb 12 16:36:00 GMT+01:00 2020,12-feb-2020 16:35:59.394,14.029020499999998,41.865454799999995,20.42,7.585,1295.0,297.5,3.34959412,9.48374939,2.62162781,0.07852608,-,0,59.2156868,-,15.85037327,14.00067806,6.30886841,7.14236259,17.20019341,5.81376743,0,0.01131079,-,-,-,-,0.01651376,166.86946106,154.74497986,0.30000305,0.18436861,3527.75366211,-,-,87,0,14.84375,-,111.5760498,6.69456291,1748.5,7.58500004,1295,41.86545563,14.02902031,297.5,20,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,18.27475548,12570.42089844,-,5.65647221,-,-,26.23345947,-,43.89549637,8.03754807,0.17741258,0.88551837,0.08747934,-0.07731487,-,10.69099998,12.5,73.51200104,75,71.66666412,71.66666412,Aniceto
Wed Feb 12 16:36:03 GMT+01:00 2020,12-feb-2020 16:36:01.954,14.02840309,41.86581071,20.48,4.5509996,1296.0,312.5,1.63752747,9.05184937,3.49859619,0.02222401,-,0,57.25490189,-,18.71168137,14.00071907,5.34414434,7.14234161,17.57806396,5.68878984,0,0.01530963,-,-,-,-,0.02235206,141.3525238,151.39686584,1.28399658,0.23768111,3527.80712891,-,-,87,0,13.28125,-,93.75937653,5.62556267,1763.5,4.55099964,1296,41.86581039,14.02840328,312.5,19,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.8091135,12323.85644531,-,3.19083023,-,-,26.23345947,-,43.89549637,8.03754807,0.16119254,0.93040037,0.18199673,-0.01419393,-,13.69200039,12.5,73.72799683,75,72.14286041,72.14286041,Aniceto
Wed Feb 12 16:36:05 GMT+01:00 2020,12-feb-2020 16:36:04.456,14.02805103,41.86609048,20.95,4.5509996,1295.0,315.2,0.27122498,9.28395081,3.17196655,-0.01210654,-,0,50.58823776,-,15.38123417,14.00073147,6.50129366,7.14233541,17.13869858,5.83462715,0,0.02036753,-,-,-,-,0.0297366,171.95910645,155.50930786,1.27200317,0.2909936,3527.86035156,-,-,90,0,8.59375,-,118.12931061,7.08775854,1771,4.55099964,1295,41.86608887,14.02805138,315.20001221,20,29.01960754,-,-,-,1.99118042,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.69460487,13208.58691406,-,5.0763216,-,-,26.23345947,-,-,-,0.05947972,0.87125039,0.18504538,-0.08106445,-,15.69099998,12.5,75.41999817,75,72.5,72.5,Aniceto
Wed Feb 12 16:36:07 GMT+01:00 2020,12-feb-2020 16:36:06.618,14.02770971,41.86637809,21.53,4.5509996,1296.0,315.9,0.58349609,8.75991821,2.9470520000000002,-0.01682947,-,0,65.49019623,-,19.09458733,14.00077629,5.23697758,7.14231253,17.46467972,5.72572279,0,0.02487612,-,-,-,-,0.03631914,138.51795959,152.67741394,0.53600311,0.3437925,3527.91308594,-,-,91,0,16.40625,-,108.1628952,6.48977375,1809.5,4.55099964,1296,41.86637878,14.02770996,315.8999939,21,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.96941566,14555.98730469,-,4.35113239,-,-,28.9995575,-,-,-,0.00520759,0.91808134,0.20675454,-0.03168232,-,17.69099998,12.5,77.50800323,77,73,73,Aniceto
Wed Feb 12 16:36:10 GMT+01:00 2020,12-feb-2020 16:36:08.917,14.02714125,41.8668229,21.86,6.068,1295.0,311.0,1.32167053,8.72044373,2.91593933,-0.0340535,-,0,56.07843399,-,15.47546387,14.00078964,6.46170759,7.14230585,17.18050575,5.82042933,0,0.02828742,-,-,-,-,0.04129963,170.91204834,155.28236389,0.58799744,0.39070153,3527.95996094,-,-,90,0,14.0625,-,94.75827789,5.68549681,1835.5,6.06799984,1295,41.86682129,14.02714157,311,20,29.01960754,-,-,-,1.99996948,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,17.25949097,13172.32714844,-,4.6412077,-,-,28.9995575,-,21.55423355,4.14309549,-0.22822233,0.97418267,0.24273169,0.0579918,-,20.68600082,12.5,78.69599915,78,73.5,73.5,Aniceto
