GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Wed Feb 12 18:27:53 GMT+01:00 2020,12-feb-2020 18:27:52.077,13.92287819,42.04155704,1.68,16.687,453.0,89.0,3.54820251,8.42253113,2.38832092,-0.01807302,-,-,50.58823776,-,0.0,14.01560879,-,7.1347537,-,-,-,-,-,-,-,-,-,-,-,7.0,-,3556.82104492,-,-,-,-,-,-,-,-,1012.0,16.68700027,453,42.04155731,13.92287827,89.0,11,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0,100.0,-,-,-,-,-,15.519038199999999,-,-,0.81903839,-,-,14.50663757,-,26.75678444,2.8356483,0.35022729999999996,0.88576257,0.09540582,-0.02734177,-,0.94499999,-,6.04799986,7,2.33333325,7.0
Wed Feb 12 18:27:55 GMT+01:00 2020,12-feb-2020 18:27:54.827,13.9228828,42.04156014,1.34,16.687,446.0,124.9,3.40463257,8.69293213,2.88482666,0.00392786,-,0,48.62745285,-,2.15231323,14.01550579,46.46067429,7.13480663,2.15231323,46.46067429,0,0.00599253,-,-,-,-,0.0087491,-,-,7.71600008,0.00583722,3556.8269043000005,-,-,152,-,-,-,-,-,1531.5,16.68700027,446,42.04156113,13.92288303,124.90000153,13,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0,100.0,-,-,-,-,-,16.24422646,-,-,2.17556572,-,-,14.50663757,-,19.5748024,3.13944125,0.36035004,0.87393349,0.16638641,-0.01753739,-,2.94400001,-,4.82399988,12,4.75,9.5
Wed Feb 12 18:27:58 GMT+01:00 2020,12-feb-2020 18:27:57.488,13.92281475,42.04147693,3.19,15.17,442.0,249.1,2.28837585,8.85682678,1.72192383,-0.0140232,-,0,7.84313726,-,6.35791922,14.01543903,15.72808933,7.13484049,4.25511599,23.50063133,0,0.01033242,-,-,-,-,0.01508533,-,-,12.0,0.01473056,3556.8359375,-,-,107,-,-,-,97.89219666,5.87353182,1266.0,15.17000008,442,42.0414772,13.92281437,249.10000609999997,16,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0,100.0,-,-,-,-,-,15.37400055,-,-,1.30533981,-,-,14.50663757,-,19.5748024,3.13944125,0.24119619,0.89405614,0.07516187,-0.05723778,-,5.94700003,-,11.48400021,12,6.19999981,10.33333302
Wed Feb 12 18:28:00 GMT+01:00 2020,12-feb-2020 18:27:59.615,13.92273313,42.04147215,3.56,15.17,441.0,4.9,1.30014038,8.2933197,4.10517883,0.00467254,-,0,51.37255096,-,44.35232925,14.01545048,2.25462627,7.13483429,7.97573853,12.5377636,0,0.01340526,-,-,-,-,0.01957168,-,-,0.47200012,0.02254306,3556.84375,-,-,91,0,0,-,81.90601349,4.914361,833.0,15.17000008,441,42.04147339,13.92273331,4.9000001,17,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0,100.0,-,-,-,-,-,16.67934036,-,-,2.61067963,-,-,14.50663757,-,7.66591406,0.66872406,0.18912032,0.87759185,0.31115046,-0.01225261,-,8.44999981,-,12.81599903,13,7.33333349,11.0
Wed Feb 12 18:28:03 GMT+01:00 2020,12-feb-2020 18:28:02.216,13.92268675,42.04146168,0.59,13.652999999999999,443.0,9.7,1.46763611,8.84367371,2.55821228,-0.02143237,-,0,31.37254906,-,9.41065121,14.01541042,10.62603569,7.13485479,8.33446693,11.9981184,0,0.0158304,-,-,-,-,0.02311238,-,-,6.62799931,0.02791556,3556.84912109,-,-,90,0,0,-,67.70979309,4.06258774,808.5,13.65299988,443,42.04146194,13.92268658,9.69999981,19,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,16.23424149,0,83.76576233,-,-,-,-,-,14.50377369,3604.18774414,-,0.43511295,-,-,14.50663757,-,7.66591406,0.66872406,0.15509523,0.87429905,0.18480273,-0.06717624,-,10.9460001,12.69999981,2.12399983,5,7.0,9.80000019
Wed Feb 12 18:28:05 GMT+01:00 2020,12-feb-2020 18:28:04.732,13.922669400000002,42.04144806,0.51,13.652999999999999,443.0,12.4,1.64709473,8.57566833,3.66848755,-0.01252315,-,0,36.47058868,-,4.92489815,14.01533127,20.30456543,7.13489532,7.65255308,13.06726265,0,0.01938768,-,-,-,-,0.02830602,-,-,1.12399983,0.03008222,3556.85131836,-,-,94,0,0,-,82.09117889,4.92547083,855.5,13.65299988,443,42.04144669,13.92266941,12.39999962,20,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,29.17503548,0,70.82496643,-,-,-,-,-,14.64881134,3604.18774414,-,0.5801506,-,-,14.50663757,-,-,-,0.16216779,0.88942248,0.29944274,-0.01126704,-,12.9460001,12.80000019,1.83599997,1,6.25,8.33333302
Wed Feb 12 18:28:08 GMT+01:00 2020,12-feb-2020 18:28:07.036,13.92263682,42.04143944,0.0,13.652999999999999,444.0,0.0,1.53582764,9.07458496,2.21723938,-0.02008774,-,0,38.82352829,-,0.68504691,14.01521492,145.97236633,7.13495445,6.49130201,15.40491009,0,0.02363429,-,-,-,-,0.03450607,-,-,0.0,0.03008222,3556.85131836,-,-,102,0,0,-,101.47210693,6.08832645,1188.5,13.65299988,444,42.04143906,13.92263699,0.0,20,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,42.49968719,0,57.50031281,-,-,-,-,-,14.35873604,3638.99682617,-,0.2900753,-,-,14.50663757,-,-,-,0.15009452,0.93723023,0.18248513,-0.009345200000000001,-,14.55099964,12.80000019,0,0,5.55555534,8.33333302
Wed Feb 12 18:28:10 GMT+01:00 2020,12-feb-2020 18:28:09.274,13.92262612,42.04144385,0.0,13.652999999999999,446.0,0.0,2.60064697,8.59602356,3.33708191,-0.02326909,-,0,47.84313965,-,0.0,14.015209200000001,-,7.13495731,6.44714355,15.51042271,0,0.0273308,-,-,-,-,0.03990297,-,-,5.0,0.03008222,3556.85131836,-,-,96,0,0,-,96.47257233,5.7883544,958.5,13.65299988,446,42.04144287,13.9226265,0.0,20,29.80392075,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,48.9078331,0,51.0921669,-,-,-,-,-,15.66407585,4525.17724609,-,1.59541512,-,-,14.50663757,-,14.9206953,1.49768054,0.27339363,0.81295437,0.20248488,-0.09021917,-,15.91699982,12.80000019,0,5,5.5,7.85714293
Wed Feb 12 18:28:12 GMT+01:00 2020,12-feb-2020 18:28:11.536,13.92262058,42.04147493,1.56,13.652999999999999,447.0,31.1,1.45446777,8.64147949,3.22821045,-0.0290392,-,0,63.13725662,-,5.12878752,14.015131,19.4973793,7.13499689,6.28234911,15.9172821,0,0.02925029,-,-,-,-,0.04270543,-,-,7.0,0.03381722,3556.85498047,-,-,87,6.66666651,-1.5625,-,51.41500473,3.08490014,983.5,13.65299988,447,42.04147339,13.92262077,31.10000038,20,29.01960754,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,48.33550644,0,51.66449356,-,-,-,-,-,13.92362309,4631.05517578,-,-0.14503765,-,-,14.50663757,-,7.02037239,0.72305685,0.13509394,0.89369059,0.25114813,-0.03000993,-,17.91699982,12.80000019,5.6159997,7,5.63636351,7.75
Wed Feb 12 18:28:14 GMT+01:00 2020,12-feb-2020 18:28:13.785,13.92262844,42.04153282,2.99,13.652999999999999,445.0,10.0,2.49415588,8.42253113,3.32989502,-0.02254072,-,0,55.68627548,-,5.21088076,14.015054699999999,19.19021606,7.13503599,6.1632967,16.2247448,0,0.03125202,-,-,-,-,0.04562795,-,-,0.74800014,0.03917458,3556.86035156,-,-,79,7.05882359,1.5625,-,53.14323807,3.1885941,1330.5,13.65299988,445,42.04153442,13.9226284,10.0,19,29.01960754,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,43.92655182,0,56.07344818,-,-,-,-,-,14.50377369,6297.53857422,-,0.43511295,-,-,14.50663757,-,10.98297977,1.5302875,0.25424626,0.85856581,0.23943883,-0.04207423,-,19.91900063,12.89999962,10.76399994,10,6.0,8.0
