GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Distance to empty (Estimated)(km),Fuel used (trip)(l),Turbo Pressure Control(psi),Actual engine % torque(%),Drivers demand engine % torque(%),Engine reference torque(Nm),Fuel cost (trip)(cost),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),EGR Error(%),Fuel Rate (direct from ECU)(L/m),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Fuel Level (From Engine ECU)(%),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),Percentage of Idle driving(%),Percentage of Highway driving(%),Percentage of City driving(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Exhaust Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Engine kW (At the wheels)(kW),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s),Trip time(whilst moving)(s),Voltage (OBD Adapter)(V),Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Tue Feb 18 18:52:55 GMT+01:00 2020,18-feb-2020 18:52:50.657,13.92323926,42.04270951,6.59,24.272,457.0,51.7,0.86463928,9.6859436,2.57377625,0.01018338,-,-,-,-,-,16.8774147,-,5.92502642,-,-,-,-,-,-,-,-,-,-,-,28.0,-,3730.13647461,-,-,-,-,-,-,-,-,-,24.27199936,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06179576,0.98906189,0.32859153,0.08006921,-,-0.001,-,-,28,28.0,28.0
Tue Feb 18 18:52:58 GMT+01:00 2020,18-feb-2020 18:52:53.393,13.92349282,42.04296114,8.77,19.720999,435.0,45.0,0.8969574,8.99681091,3.30596924,-0.01152589,-,-,72.94117737,-,0,14.053258900000001,-,7.11563921,-,-,-,-,-,-,-,-,-,-,-,29.0,0.01557903,3730.15209961,-,-,-,-,-,-,-,-,1932,19.72099876,435,42.04296112,13.92349243,45,15,81.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,16.53430176,-,-,1.83430195,-,-,14.50663757,-,8.37865925,1.69519484,0.10789721,0.89551979,0.28505188,-0.01891907,-,3.12700009,-,31.5720005,29,28.33333397,28.33333397
Tue Feb 18 18:53:01 GMT+01:00 2020,18-feb-2020 18:52:56.816,13.92362094,42.04299265,7.32,21.237999,444.0,52.4,1.06922913,8.37826538,4.32173157,-0.00660701,-,0,40.7843132,-,9.61183453,14.05322266,10.40362453,7.11565781,9.61183453,10.40362453,0,0.00422559,-,-,-,-,0.00616936,275.1756897,275.1756897,3.87999916,0.03589847,3730.17236328,-,-,50,-,-,-,-,-,1755.5,21.23799896,444,42.04299164,13.92362118,52.40000153,16,81.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,15.37400055,-,-,1.30533981,-,-,14.50663757,-,8.37865925,1.69519484,0.08204126,0.86100477,0.32907838,-0.03418155,-,6.10200024,-,26.35199928,26,27.75,27.75
Tue Feb 18 18:53:04 GMT+01:00 2020,18-feb-2020 18:52:59.928,13.92383063,42.04317368,7.45,19.720999,441.0,43.8,1.16973877,8.53140259,3.29161072,-0.02296013,-,0,41.5686264,-,27.3808918,14.05333328,3.65210605,7.11560154,18.49636459,5.40635586,0,0.00821913,-,-,-,-,0.01199992,96.5981369,185.88691711,11.20400047,0.06014222,3730.19677734,-,-,42,-,-,-,58.94517517,3.5367105,1291,19.72099876,441,42.04317474,13.92383099,43.79999924,16,81.96078491,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,-,-,0,-,-,14.50663757,-,-,-,0.1254596,0.88393337,0.19590074,-0.05912804,-,9.10000038,-,26.81999779,19,26.0,26.0
Tue Feb 18 18:53:07 GMT+01:00 2020,18-feb-2020 18:53:02.420,13.92394214,42.04327926,4.63,12.136,448.0,22.2,0.95556641,9.33898926,2.92790222,0.02141994,-,0,52.15686417,-,22.36550903,14.05340195,4.47107744,7.11556673,19.78607941,5.05395317,0,0.00973808,-,-,-,-,0.01421759,118.25991058,163.34457397,5.97599792,0.06911986,3730.20556641,-,-,42,22.74509811,-0.78125,-,51.72361755,3.10341692,1195.5,12.13599968,448,42.04327774,13.92394257,22.20000076,16,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,5409.90771484,-,0,-,-,14.50663757,-,-,-,0.09740738,0.95198661,0.19846098,0.00276239,-,12.10200024,14.10000038,16.66799927,18,24.66666603,24.66666603
Tue Feb 18 18:53:09 GMT+01:00 2020,18-feb-2020 18:53:04.597,13.92400532,42.04338485,5.53,12.136,449.0,24.3,1.75717163,9.11166382,3.02600098,0.01395088,-,0,70.58823395,-,10.6286068,14.05337334,9.40837479,7.11558104,17.49671173,5.71524096,0,0.01307773,-,-,-,-,0.01909349,248.85134888,184.7212677,2.33200073,0.08181292,3730.21826172,-,-,49,24.31372643,0,-,81.72084045,4.90325069,1257.5,12.13599968,449,42.04338455,13.92400551,24.29999924,16,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.21369839,5482.42626953,-,0.14503765,-,-,14.50663757,-,6.75805569,0.88995433,0.11801996,0.85490745,0.23382840000000002,-0.07435321,-,14.10299969,14.10000038,19.90800095,19,23.857143399999998,23.857143399999998
Tue Feb 18 18:53:11 GMT+01:00 2020,18-feb-2020 18:53:06.748,13.92407295,42.04348269,5.27,10.6189995,448.0,30.0,0.98069763,9.19062805,3.68522644,-0.03411696,-,0,46.27450943,-,11.60703754,14.05335331,8.61528301,7.11559153,16.31877708,6.12778282,0,0.01516911,-,-,-,-,0.0221469,227.87408447,193.35183716,0.90800095,0.09331848,3730.22998047,-,-,48,32.94117737,9.375,-,57.58726883,3.4552362,1293,10.61899948,448,42.04348373,13.92407322,30,16,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.35873604,4454.10888672,-,0.2900753,-,-,14.50663757,-,6.75805569,0.88995433,0.17058268,0.88612962,0.22370720000000002,-0.04096998,-,16.23999977,14.10000038,18.97200012,19,23.25,23.25
Tue Feb 18 18:53:13 GMT+01:00 2020,18-feb-2020 18:53:09.257,13.92412996,42.04359033,5.19,10.6189995,449.0,14.7,0.83952332,8.82214355,3.68882751,-0.00778207,-,0,37.25490189,-,21.37298775,14.05341434,4.67870569,7.11556053,17.16114426,5.82699585,0,0.01691562,-,-,-,-,0.0246968,123.7516861,181.7518158,2.97200012,0.103765,3730.24023438,-,-,46,26.27450943,-1.5625,-,48.5140419,2.91084242,1103,10.61899948,449,42.04359055,13.92412949,14.69999981,17,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,3781.13378906,-,0,-,-,14.50663757,-,-,-,0.09582239,0.90393466,0.26687977,-0.01941996,-,18.17300034,14,18.68400002,16,22.44444466,22.44444466
Tue Feb 18 18:53:16 GMT+01:00 2020,18-feb-2020 18:53:11.395,13.92412635,42.04370184,4.56,9.101999000000001,452.0,352.7,1.58488464,9.05783081,3.34783936,-0.013721200000000001,-,0,60,-,19.1286335,14.05345631,5.22765636,7.11553907,17.44221497,5.73309755,0,0.01930008,-,-,-,-,0.02817811,138.27140808,175.54032898,0.80800152,0.11497834,3730.25146484,-,-,48,15.29411793,-5.46875,-,56.9083252,3.41449952,1086.5,9.10199928,452,42.04370117,13.92412663,352.70001221,17,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.06866074,4984.94726562,-,0,-,-,14.50663757,-,-,-,0.09496846,0.87271404,0.16967927,-0.08133137,-,21.10300064,14.10000038,16.41599846,16,21.79999924,21.79999924
Tue Feb 18 18:53:18 GMT+01:00 2020,18-feb-2020 18:53:13.865,13.92410367,42.04379861,5.07,12.136,449.0,350.8,1.57771301,8.6905365,3.87068176,-0.01250235,-,0,53.33333588,-,11.49429321,14.05343533,8.69978905,7.11555004,16.69872475,5.98835659,0,0.0213668,-,-,-,-,0.03119552,230.10925293,182.36143494,2.58400154,0.12531306,3730.26196289,-,-,50,35.68627548,-1.5625,-,58.08105469,3.48486328,1255.5,12.13599968,449,42.04380035,13.92410374,350.79998779,17,82.7450943,-,-,-,1.00045776,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,100,-,-,-,-,-,14.21369839,4950.13818359,-,0.14503765,-,-,14.50663757,-,23.60169792,3.10311556,0.16070414,0.86076212,0.31249282,-0.03173984,-,23.10300064,14.19999981,18.25200081,19,21.54545403,21.54545403
