GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 26 17:48:59 GMT+01:00 2019,26-dic-2019 17:48:59.175,14.11616485,41.77814184,0.38,876.762451171875,-8.1857338,8.33262444,2.0106132,-,-,-,-,9.86725712,876.76245117,41.77814102,14.11616516,-1.17555726,0.75465637,-0.11603413,0.39750919,-
Thu Dec 26 17:49:00 GMT+01:00 2019,26-dic-2019 17:48:59.880,14.11615553,41.77813113,0.28,880.0638427734375,-0.9992981,9.97352695,5.37865639,-,-,-,-,7.34050894,880.06384277,41.77812958,14.11615562,-0.01273685,0.99127394,0.1896885,0.03316725,-
Thu Dec 26 17:49:00 GMT+01:00 2019,26-dic-2019 17:49:00.033,14.11615553,41.77813113,0.28,880.0638427734375,0.79012436,9.19739151,2.68613815,-,-,-,-,7.34050894,880.06384277,41.77812958,14.11615562,0.19433407,0.97125047,-0.12848768,-0.00875039,-
Thu Dec 26 17:49:06 GMT+01:00 2019,26-dic-2019 17:49:05.803,14.11607007,41.77818808,0.0,859.470703125,3.55450678,8.40688324,2.73165226,0,-,-,866.5,3.79009247,859.47070312,41.77818679999999,14.11606979,0.37796301,0.92583168,0.26245636,0.06403386,315
Thu Dec 26 17:49:12 GMT+01:00 2019,26-dic-2019 17:49:11.776,14.11607765,41.77819087,0.54,866.7041015625,3.72937655,8.56019402,3.11492872,0,-,-,874,3.79009247,866.70410156,41.77819061,14.11607742,0.38016069,0.83841246,0.18797919,-0.03510338,321
Thu Dec 26 17:49:18 GMT+01:00 2019,26-dic-2019 17:49:17.906,14.11604767,41.77820618,0.7,864.815673828125,-0.15848514,0.66469771,9.17069817,1.86616206,53.58480072,-,862.5,3.79009247,864.81567383,41.77820587,14.11604786,-0.02006247,0.057012900000000005,0.90515763,0.00731713,327
Thu Dec 26 17:49:19 GMT+01:00 2019,26-dic-2019 17:49:19.164,14.11604479,41.77820931,0.7,866.13134765625,-0.26867718,0.57127404,9.39587402,2.16833854,46.11730194,-,866.5,3.79009247,866.13134766,41.77820969,14.116045000000002,-3.91e-05,0.05041984,0.96815795,0.06971265,331
Thu Dec 26 17:49:20 GMT+01:00 2019,26-dic-2019 17:49:19.873,14.11604027,41.77821265,0.64,866.2960205078125,4.72350025,2.84218764,4.71031761,1.7866348,55.96998215,-,877.5,3.79009247,866.29602051,41.7782135,14.11604023,-0.15070273,0.11268764,1.36813688,0.48065296,331
Thu Dec 26 17:49:21 GMT+01:00 2019,26-dic-2019 17:49:20.612,14.11602878,41.77822332,1.56,865.83740234375,0.6152544,8.88358402,-3.90861416,0.3188833,313.58782959,-,1187,3.79009247,865.83740234,41.77822495,14.11602879,0.31081146,0.60032988,-0.28330252,-0.29933259,332
Thu Dec 26 17:49:22 GMT+01:00 2019,26-dic-2019 17:49:21.575,14.11602677,41.77823301,1.03,866.523681640625,-1.99581718,9.82500648,4.39651012,3.12624645,31.98657608,-,869.5,3.79009247,866.52368164,41.77823257,14.11602688,-0.1900169,0.96978545,0.45731792,0.13493307,333
Thu Dec 26 17:49:23 GMT+01:00 2019,26-dic-2019 17:49:22.292,14.11602465,41.77823886,0.56,864.869873046875,0.35175177,12.95110703,0.88952929,1.94566596,51.39521408,-,856,3.79009247,864.86987305,41.7782402,14.11602497,-0.07646976,0.89897108,0.07785068,-0.08010576,334
Thu Dec 26 17:49:23 GMT+01:00 2019,26-dic-2019 17:49:22.987,14.11602465,41.77823886,0.56,864.869873046875,0.82845205,7.29777765,-3.24506664,0.86163384,116.0561676,-,863.5,3.79009247,864.86987305,41.7782402,14.11602497,0.47759148,1.0720998,0.24096787,0.22260854,334
