GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Tue Dec 31 17:05:59 GMT+01:00 2019,31-dic-2019 17:06:00.426,13.93105929,42.04817683,0.0,468.0,0.01678467,6.34436035,6.70936584,-,-,-,-,-,9.10199928,468,42.04817581,13.93105888,-0.01751728,0.66099328,0.5783208000000001,-0.05239704,-
Tue Dec 31 17:06:00 GMT+01:00 2019,31-dic-2019 17:06:00.703,13.93106089,42.04817594,0.0,467.0,-0.30784607,6.58763123,6.82421875,-,-,-,-,-,9.10199928,467,42.04817581,13.93106079,0.01492282,0.64631778,0.65572381,-0.00514137,-
Tue Dec 31 17:06:00 GMT+01:00 2019,31-dic-2019 17:06:00.970,13.93106089,42.04817594,0.0,467.0,0.23254395,6.10269165,7.59390259,-,-,-,-,-,9.10199928,467,42.04817581,13.93106079,0.02370478,0.62208885,0.67409807,-0.00629047,-
Tue Dec 31 17:06:01 GMT+01:00 2019,31-dic-2019 17:06:01.241,13.93105248,42.04817541,0.0,466.0,-0.42469788,6.21794128,7.22581482,-,-,-,-,-,9.10199928,466,42.04817581,13.93105221,-0.001459,0.58948541,0.66466749,-0.03415909,-
Tue Dec 31 17:06:04 GMT+01:00 2019,31-dic-2019 17:06:04.691,13.93105775,42.04817691,0.0,466.0,1.97172546,5.12960815,7.58831787,0,-,-,-,778.5,7.58500004,466,42.04817581,13.93105793,0.20099138,0.52289581,0.67352879,-0.04460077,-
Tue Dec 31 17:06:07 GMT+01:00 2019,31-dic-2019 17:06:07.640,13.93106769,42.04817221,0.23,468.0,-0.21890259,7.22532654,6.28063965,0,-,-,-,776.5,6.06799984,468,42.048172,13.93106747,-0.01316829,0.70632172,0.56709993,-0.02802716,-
Tue Dec 31 17:06:10 GMT+01:00 2019,31-dic-2019 17:06:10.735,13.93105702,42.04816573,0.41,467.0,2.81838989,-6.89112854,6.90916443,0,-,-,-,781,7.58500004,467,42.04816437,13.93105698,0.27237794,-0.71449393,0.60352504,0.03941165,-
Tue Dec 31 17:06:12 GMT+01:00 2019,31-dic-2019 17:06:12.885,13.93105116,42.04814482,0.62,469.0,2.64051819,-6.95854187,6.84255981,0,-,-,-,779.5,12.13599968,469,42.04814529,13.93105125,0.26916596,-0.70933145,0.59750861,0.03094403,-
Tue Dec 31 17:06:15 GMT+01:00 2019,31-dic-2019 17:06:15.138,13.93106353,42.04815803,0.0,466.0,2.62695312,-7.18386841,7.24336243,0,-,-,-,784.5,13.65299988,466,42.04815674,13.93106365,0.26749852,-0.70758313,0.59645247,0.02859026,-
Tue Dec 31 17:06:17 GMT+01:00 2019,31-dic-2019 17:06:17.388,13.93106415,42.04815437,0.0,466.0,2.6963501,-6.93899536,6.76559448,0,-,-,-,780,15.17000008,466,42.04815292,13.93106461,0.27485728,-0.70733893,0.58966303,0.0257819,-
Tue Dec 31 17:06:19 GMT+01:00 2019,31-dic-2019 17:06:19.743,13.93105212,42.04814861,0.0,466.0,2.66763306,-6.97688293,6.87765503,0,-,-,-,780,16.68700027,466,42.04814911,13.93105221,0.27192995,-0.71120107,0.60108614,0.03537757,-
Tue Dec 31 17:06:22 GMT+01:00 2019,31-dic-2019 17:06:22.101,13.93104222,42.0481424,0.0,466.0,2.64370728,-6.91346741,6.81344604,0,-,-,-,781.5,15.17000008,466,42.04814148,13.93104267,0.26977569,-0.71437103,0.60657525,0.04071761,-
Tue Dec 31 17:06:24 GMT+01:00 2019,31-dic-2019 17:06:24.453,13.93104018,42.04814131,0.0,467.0,2.58428955,-6.93380737,6.90158081,0,-,-,-,781.5,15.17000008,467,42.04814148,13.93103981,0.2634342,-0.70681012,0.60352504,0.03182007,-
Tue Dec 31 17:06:26 GMT+01:00 2019,31-dic-2019 17:06:26.810,13.93101371,42.04813763,0.52,469.0,2.62496948,-6.95933533,6.95622253,0,-,-,-,781,15.17000008,469,42.04813766,13.93101406,0.26306868,-0.69993973,0.60165542,0.02574832,-
Tue Dec 31 17:06:29 GMT+01:00 2019,31-dic-2019 17:06:29.159,13.93104417,42.04813288,0.16,465.0,2.4407196,-6.88874817,7.22660828,0,-,-,-,780.5,10.61899948,465,42.04813385,13.93104458,0.26327088,-0.69949335,0.61112642,0.03200322,-
Tue Dec 31 17:06:31 GMT+01:00 2019,31-dic-2019 17:06:31.527,13.93106901,42.04813556,0.17,459.0,3.56335449,-7.24368286,6.3691864,2.95505643,33.83959579,-,0.00065278,775.5,9.10199928,459,42.04813385,13.93106937,0.36323693,-0.73839784,0.54925448,0.04854879,-
Tue Dec 31 17:06:33 GMT+01:00 2019,31-dic-2019 17:06:33.884,13.93110355,42.04815907,2.21,460.0,2.07382202,-6.70289612,7.39291382,1.6026926,62.39369583,-,0.00295792,1349.5,9.10199928,460,42.04816055,13.93110371,0.20997556,-0.68640286,0.63901532,0.03058602,-
Tue Dec 31 17:06:36 GMT+01:00 2019,31-dic-2019 17:06:36.332,13.93116156,42.04821547,1.63,455.0,2.92645264,-7.32383728,6.5953064,5.28691673,18.91422272,-,0.00767222,761,6.06799984,455,42.04821396,13.93116188,0.28863841,-0.72396654,0.5536859000000001,0.01757162,-
Tue Dec 31 17:06:38 GMT+01:00 2019,31-dic-2019 17:06:38.687,13.93118,42.04824026,1.07,454.0,3.65986633,-6.96173096,6.83059692,24.5267849,4.07709026,-,0.01071111,804.5,4.55099964,454,42.04824066,13.93118,0.37307504,-0.70965654,0.59628916,0.06225542,-
Tue Dec 31 17:06:40 GMT+01:00 2019,31-dic-2019 17:06:40.869,13.931169199999998,42.04828649,2.86,454.0,2.44470215,-6.34996033,7.58552551,4.00379038,24.97581291,-,0.01464778,1008.5,4.55099964,454,42.04828644,13.93116951,0.28001976,-0.64143997,0.68958712,0.05549271,-
Tue Dec 31 17:06:43 GMT+01:00 2019,31-dic-2019 17:06:43.091,13.93112255,42.04833111,1.37,455.0,2.39605713,-6.10189819,7.69400024,39.4902916,2.53221536,-,0.01979264,781,4.55099964,455,42.04833221,13.93112278,0.24424638,-0.62200797,0.68430173,0.0307303,-
