GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Sat Nov 02 19:20:21 GMT+01:00 2019,02-nov-2019 19:20:21.252,13.92054729,42.05880421,3.14,433.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:21.733,13.92063958,42.058791799999995,3.73,439.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.091,13.92063958,42.058791799999995,3.73,439.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.332,13.92063958,42.058791799999995,3.73,439.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:22 GMT+01:00 2019,02-nov-2019 19:20:22.572,13.92063958,42.058791799999995,3.73,439.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:22.814,13.92068355,42.05874015,4.1,452.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.051,13.92068355,42.05874015,4.1,452.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.171,13.92068355,42.05874015,4.1,452.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.291,13.92068355,42.05874015,4.1,452.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.411,13.92068355,42.05874015,4.1,452.0,-0.30545044,7.15434265,6.50996399,,,,,,,,,,,,,,
Sat Nov 02 19:20:23 GMT+01:00 2019,02-nov-2019 19:20:23.531,13.92068355,42.05874015,4.1,452.0,-3.2881012000000003,4.81654358,10.59928894,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.651,13.92071649,42.05876628,4.64,436.0,-2.73655701,5.88972473,6.61164856,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.771,13.92071649,42.05876628,4.64,436.0,-8.36088562,2.67617798,8.08682251,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:23.891,13.92071649,42.05876628,4.64,436.0,-2.89927673,4.71723938,8.88124084,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.012,13.92071649,42.05876628,4.64,436.0,-2.47813416,6.27378845,10.72850037,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.131,13.92071649,42.05876628,4.64,436.0,-2.73655701,3.1690979,6.08403015,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.252,13.92071649,42.05876628,4.64,436.0,-2.67076111,5.76052856,4.75123596,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.373,13.92071649,42.05876628,4.64,436.0,-2.02589417,7.616149900000001,7.65612793,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.492,13.92071649,42.05876628,4.64,436.0,-1.54493713,6.48196411,7.10577393,,,,,,,,,,,,,,
Sat Nov 02 19:20:24 GMT+01:00 2019,02-nov-2019 19:20:24.614,13.92071649,42.05876628,4.64,436.0,-1.01731873,6.21037292,7.96957397,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.732,13.92074233,42.05872669,4.95,436.0,-2.74493408,4.79023743,6.68702698,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.853,13.92074233,42.05872669,4.95,436.0,-2.85620117,5.13719177,7.32472229,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:24.972,13.92074233,42.05872669,4.95,436.0,2.6580658,8.57926941,8.22441101,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.092,13.92074233,42.05872669,4.95,436.0,0.4387207,5.61695862,7.91934204,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.212,13.92074233,42.05872669,4.95,436.0,-1.49229431,6.61476135,7.35940552,,,,,,,,,,,,,,
Sat Nov 02 19:20:25 GMT+01:00 2019,02-nov-2019 19:20:25.454,13.92074233,42.05872669,4.95,436.0,-0.26477051,7.73339844,6.38313293,,,,,,,,,,,,,,
Sat Nov 02 19:20:26 GMT+01:00 2019,02-nov-2019 19:20:25.693,13.92077199,42.05868582,5.27,433.0,0.65408325,7.26560974,4.52990723,,,,,,,,,,,,,,
Sat Nov 02 19:20:26 GMT+01:00 2019,02-nov-2019 19:20:25.932,13.92077199,42.05868582,5.27,433.0,0.90652466,7.08494568,6.27546692,,,,,,,,,,,,,,
Sat Nov 02 19:20:26 GMT+01:00 2019,02-nov-2019 19:20:26.172,13.92077199,42.05868582,5.27,433.0,0.76174927,8.23709106,5.24534607,,,,,,,,,,,,,,
Sat Nov 02 19:20:26 GMT+01:00 2019,02-nov-2019 19:20:26.412,13.92077199,42.05868582,5.27,433.0,-0.34971619,8.17008972,5.10896301,,,,,,,,,,,,,,
