GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Oct 03 22:57:52 GMT+02:00 2019,03-ott-2019 22:57:51.665,14.23016526,41.59344614,0.0,507.69384765625,1.73707581,7.59744263,4.82118225,19.849487300000003,5.03786945,-,41.59344482,-,-,-,-,-
Thu Oct 03 22:57:52 GMT+02:00 2019,03-ott-2019 22:57:52.068,14.23016526,41.59344614,0.0,507.69384765625,1.78735352,7.60700989,4.70625305,19.849487300000003,5.03786945,-,41.59344482,-,-,-,-,-
Thu Oct 03 22:57:53 GMT+02:00 2019,03-ott-2019 22:57:52.499,14.23016459,41.59343718,0.0,507.5604248046875,1.71551514,7.70278931,4.62245178,19.849487300000003,5.03786945,-,41.59343719,-,-,-,-,16
Thu Oct 03 22:57:59 GMT+02:00 2019,03-ott-2019 22:57:58.766,14.23018279,41.59340833,0.0,508.49420166015625,1.33963013,5.98374939,9.01821899,16.52793312,6.05023718,-,41.59340668,13.72549057,-,-,1.17647064,16
Thu Oct 03 22:58:05 GMT+02:00 2019,03-ott-2019 22:58:04.825,14.23055466,41.59350104,6.51,496.201416015625,0.38433838,5.48335266,7.12678528,16.52785683,6.05026579,-,41.59350204,30.58823586,-,-,20.7843132,16
Thu Oct 03 22:58:11 GMT+02:00 2019,03-ott-2019 22:58:11.056,14.23126097,41.59379322,9.76,492.247802734375,-0.36503601,4.7076416,5.68548584,16.52650833,6.05075884,932.07818604,41.59379196,22.74509811,-,-,13.72549057,15
Thu Oct 03 22:58:14 GMT+02:00 2019,03-ott-2019 22:58:13.483,14.23164596,41.59386325,9.71,491.26800537109375,-1.49510193,5.51448059,9.04693604,16.52606773,6.05092049,575.94708252,41.59386444,25.49019623,-,-,16.47058868,15
Thu Oct 03 22:58:15 GMT+02:00 2019,03-ott-2019 22:58:14.853,14.231756900000002,41.593902500000006,10.16,491.78936767578125,-1.30595398,4.32217407,8.41966248,16.52493286,6.05133629,560.58764648,41.59390259,25.49019623,-,-,16.47058868,14
Thu Oct 03 22:58:17 GMT+02:00 2019,03-ott-2019 22:58:16.825,14.23202327,41.59400224,11.28,489.7861328125,-2.37138367,3.54884338,9.70056152,16.52386284,6.05172729,537.26641846,41.59400177,24.70588303,-,-,0,14
Thu Oct 03 22:58:19 GMT+02:00 2019,03-ott-2019 22:58:19.128,14.23222889,41.59414294,11.18,490.22900390625,0.54714966,4.19049072,8.80033875,16.52402687,6.05166817,429.81314087,41.59414291,16.47058868,-,-,18.03921509,14
