GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Thu Oct 10 08:35:05 GMT+02:00 2019,10-ott-2019 08:35:04.894,13.92350967,42.04562289,6.17,410.34814453125,-2.03379822,6.29499817,8.3430481,-,-,-,42.04562378,-,-,-,-,-
Thu Oct 10 08:35:05 GMT+02:00 2019,10-ott-2019 08:35:05.176,13.92350967,42.04562289,6.17,410.34814453125,-2.21575928,5.10986328,6.63838196,-,-,-,42.04562378,-,-,-,-,-
Thu Oct 10 08:35:05 GMT+02:00 2019,10-ott-2019 08:35:05.471,13.92350967,42.04562289,6.17,410.34814453125,-1.56932068,6.05796814,7.72294617,-,-,-,42.04562378,-,-,-,-,-
Thu Oct 10 08:35:06 GMT+02:00 2019,10-ott-2019 08:35:05.765,13.92349423,42.0456732,5.36,411.39990234375,1.71073914,6.93664551,6.94721985,-,-,-,42.04567337,-,-,-,-,-
Thu Oct 10 08:35:11 GMT+02:00 2019,10-ott-2019 08:35:11.365,13.92343323,42.04583348,2.9,419.5303955078125,0.60221863,5.770660400000001,7.97912598,0,∞,-,42.04583359,7.84313726,-,-,0,12
Thu Oct 10 08:35:20 GMT+02:00 2019,10-ott-2019 08:35:20.078,13.92340612,42.04587114,0.0,425.228271484375,-0.43925476,6.0052948,7.70140076,0,∞,50.59011078,42.04587173,7.84313726,-,-,0,12
Thu Oct 10 08:35:26 GMT+02:00 2019,10-ott-2019 08:35:26.110,13.92340389,42.04586917,0.0,424.5972900390625,0.2454834,6.65652466,6.77005005,0,∞,50.59011078,42.04586792,7.84313726,-,-,0,12
Thu Oct 10 08:35:30 GMT+02:00 2019,10-ott-2019 08:35:29.910,13.92340152,42.04586557,0.0,425.50518798828125,0.0683136,6.86242676,3.98080444,0,∞,50.59011078,42.04586411,8.62745094,-,-,0,12
Thu Oct 10 08:35:31 GMT+02:00 2019,10-ott-2019 08:35:31.276,13.92340063,42.04586502,0.0,425.593994140625,-1.05456543,7.70278931,5.68069458,0,∞,50.59011078,42.04586411,13.33333397,-,-,3.92156863,12
Thu Oct 10 08:35:33 GMT+02:00 2019,10-ott-2019 08:35:32.651,13.92339981,42.045862899999996,0.0,425.770751953125,-0.74093628,5.2966156,6.81315613,0,∞,50.59011078,42.04586411,16.07843208,-,-,3.92156863,12
Thu Oct 10 08:35:36 GMT+02:00 2019,10-ott-2019 08:35:35.969,13.92338617,42.04594945,3.35,423.45416259765625,1.0690918,0.61595154,9.0110321,0.4219712,236.97807312,50.59011078,42.04594803,18.03921509,-,-,0,12
