GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Mon Oct 14 10:04:15 GMT+02:00 2019,14-ott-2019 10:04:21.335,13.93095649,42.04792502,0.0,468.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:15 GMT+02:00 2019,14-ott-2019 10:04:21.605,13.93095649,42.04792502,0.0,468.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:15 GMT+02:00 2019,14-ott-2019 10:04:21.872,13.93095649,42.04792502,0.0,468.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:21 GMT+02:00 2019,14-ott-2019 10:04:22.147,13.93094721,42.04793194,0.0,467.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:22 GMT+02:00 2019,14-ott-2019 10:04:23.117,13.9309475,42.04793168,0.0,467.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:23 GMT+02:00 2019,14-ott-2019 10:04:23.595,13.93095233,42.04792776,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:23 GMT+02:00 2019,14-ott-2019 10:04:24.079,13.93095233,42.04792776,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:24 GMT+02:00 2019,14-ott-2019 10:04:24.557,13.9309551,42.04792912,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:24 GMT+02:00 2019,14-ott-2019 10:04:25.035,13.9309551,42.04792912,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:24 GMT+02:00 2019,14-ott-2019 10:04:25.279,13.9309551,42.04792912,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:25 GMT+02:00 2019,14-ott-2019 10:04:25.514,13.93094705,42.04793959,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:25 GMT+02:00 2019,14-ott-2019 10:04:25.758,13.93094705,42.04793959,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:25 GMT+02:00 2019,14-ott-2019 10:04:25.993,13.93094705,42.04793959,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:25 GMT+02:00 2019,14-ott-2019 10:04:26.236,13.93094705,42.04793959,0.0,465.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:26.476,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:26.714,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:26.956,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:27.074,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:27.196,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:27.314,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:26 GMT+02:00 2019,14-ott-2019 10:04:27.438,13.93095272,42.0479401,0.0,463.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:27.555,13.93094856,42.04794013,0.0,464.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:27.675,13.93094856,42.04794013,0.0,464.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:27.793,13.93094856,42.04794013,0.0,464.0,-1.44204712,6.63510132,6.84616089,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:27.915,13.93094856,42.04794013,0.0,464.0,-1.11302185,6.60159302,6.92391968,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:28.035,13.93094856,42.04794013,0.0,464.0,-0.94314575,6.52502441,6.93707275,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:28.156,13.93094856,42.04794013,0.0,464.0,-1.05918884,6.54536438,6.72770691,,,,,,,,,,,,,,
Mon Oct 14 10:04:27 GMT+02:00 2019,14-ott-2019 10:04:28.276,13.93094856,42.04794013,0.0,464.0,-0.98739624,6.46281433,7.19430542,,,,,,,,,,,,,,
