GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.256,14.23975147,41.59544773,2.82,511.6689453125,2.42660522,7.34365845,3.23143005,16.55080032,6.04195166,-,-,-,-,-,-,-
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.569,14.23975147,41.59544773,2.82,511.6689453125,2.42660522,7.34365845,3.23143005,16.55080032,6.04195166,-,-,-,-,-,-,-
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:07.897,14.23975147,41.59544773,2.82,511.6689453125,2.42660522,7.34365845,3.23143005,16.55080032,6.04195166,-,-,-,-,-,-,-
Tue Sep 24 11:07:12 GMT+02:00 2019,24-set-2019 11:08:08.360,14.23975147,41.59544773,2.82,511.6689453125,2.42660522,7.34365845,3.23143005,16.55080032,6.04195166,-,-,-,-,-,-,22
Tue Sep 24 11:08:17 GMT+02:00 2019,24-set-2019 11:08:16.252,14.24354081,41.59792763,10.21,519.2520751953125,2.42660522,7.34365845,3.23143005,13.77803802,7.25777674,-,41.59792709,7.84313726,-,-,8.62745094,22
Tue Sep 24 11:09:24 GMT+02:00 2019,24-set-2019 11:09:23.080,14.24839254,41.59933415,14.1,515.663818359375,2.88868713,9.95812988,2.55386353,13.7848587,7.2541852,0,41.59933472,14.90196133,-,-,0.39215687,22
Tue Sep 24 11:09:26 GMT+02:00 2019,24-set-2019 11:09:25.213,14.248669400000002,41.59942625,11.68,515.3010864257811,2.88868713,9.95812988,2.55386353,13.79164886,7.25061369,0,41.59942627,14.90196133,-,-,0,22
Tue Sep 24 11:09:29 GMT+02:00 2019,24-set-2019 11:09:28.098,14.24907787,41.59956421,12.93,515.8641357421875,2.88868713,9.95812988,2.55386353,13.79840946,7.24706125,0,41.5995636,36.86274719,-,-,29.41176605,22
Tue Sep 24 11:09:31 GMT+02:00 2019,24-set-2019 11:09:30.408,14.24944051,41.5997263,16.83,515.4769287109375,2.61094666,8.51921082,0.55470276,13.76018715,7.26719189,110.89302826,41.59972763,65.09803772,-,-,61.17647171,22
Tue Sep 24 11:09:32 GMT+02:00 2019,24-set-2019 11:09:31.898,14.24964264,41.59980325,18.14,514.7180786132811,1.67481995,8.77539062,1.66082764,13.71115017,7.29318237,233.30384827,41.59980392,65.09803772,-,-,61.17647171,22
