GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°)
Sat Sep 28 08:44:48 GMT+02:00 2019,28-set-2019 08:44:46.910,13.35782661,42.36886802,8.59,698.9189453125,-0.05378723,6.79777527,5.130035400000001,19.29963875,5.18139887,-,42.36886978,-,-,-,-,-
Sat Sep 28 08:44:49 GMT+02:00 2019,28-set-2019 08:44:47.319,13.35790873,42.36887241,8.49,699.6976318359375,-0.56375122,6.82171631,6.18347168,19.29963875,5.18139887,-,42.3688736,-,-,-,-,-
Sat Sep 28 08:44:49 GMT+02:00 2019,28-set-2019 08:44:47.779,13.35790873,42.36887241,8.49,699.6976318359375,0.28857422,6.8001709,7.20339966,19.29963875,5.18139887,-,42.3688736,-,-,-,-,14
Sat Sep 28 08:44:56 GMT+02:00 2019,28-set-2019 08:44:54.322,13.35863286,42.36879784,10.42,701.1285400390625,-0.74810791,6.71876526,6.41331482,16.06999016,6.22264957,-,42.3687973,18.8235302,-,-,5.49019623,14
Sat Sep 28 08:45:02 GMT+02:00 2019,28-set-2019 08:45:00.373,13.35933843,42.36838436,13.11,703.846435546875,0.85360718,8.45695496,3.80123901,16.07246399,6.22169209,99.51026917,42.36838531,19.6078434,-,-,10.1960783,14
Sat Sep 28 08:45:08 GMT+02:00 2019,28-set-2019 08:45:06.536,13.36016178,42.36794819,14.23,707.371337890625,2.21351624,8.57188416,3.46844482,16.07307053,6.221457,120.64490509,42.36794662,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:10 GMT+02:00 2019,28-set-2019 08:45:08.598,13.36043791,42.36778936,14.5,707.523681640625,1.50483704,8.57427979,3.67196655,16.07446098,6.22091913,120.54685974,42.36779022,17.25490189,-,-,7.45098066,14
Sat Sep 28 08:45:11 GMT+02:00 2019,28-set-2019 08:45:09.890,13.3605834,42.36770778,14.65,707.821044921875,1.01881409,8.13853455,2.88426208,16.07698059,6.219944,115.09115601,42.367706299999995,17.25490189,-,-,7.45098066,14
Sat Sep 28 08:45:12 GMT+02:00 2019,28-set-2019 08:45:11.197,13.36073279,42.36763686,14.56,704.768310546875,1.34442139,8.66285706,3.28649902,16.07998466,6.21878242,110.40813446,42.36763763,17.25490189,-,-,7.45098066,14
Sat Sep 28 08:45:14 GMT+02:00 2019,28-set-2019 08:45:12.253,13.36101765,42.36747188,14.71,704.584228515625,1.2462616000000002,8.13374329,3.58816528,16.0830307,6.21760368,107.18456268,42.367473600000004,17.25490189,-,-,7.45098066,14
Sat Sep 28 08:45:15 GMT+02:00 2019,28-set-2019 08:45:13.740,13.36116516,42.36739854,14.81,704.265869140625,2.08422852,8.78735352,3.30325317,16.08601379,6.21645117,105.00481415,42.36739731,17.25490189,-,-,7.45098066,14
Sat Sep 28 08:45:16 GMT+02:00 2019,28-set-2019 08:45:14.818,13.36131352,42.36732719,14.65,703.483154296875,2.06747437,8.89988708,3.53549194,16.08902168,6.21528912,103.32435608,42.36732864,16.86274529,-,-,7.45098066,14
Sat Sep 28 08:45:17 GMT+02:00 2019,28-set-2019 08:45:16.118,13.36145417,42.36722837,15.14,703.4600830078125,0.96614075,8.246261599999999,2.85075378,16.09240913,6.21398067,101.4765625,42.36722946,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:19 GMT+02:00 2019,28-set-2019 08:45:17.269,13.361750400000002,42.36706107,15.17,702.7332763671875,2.05310059,9.0579071,3.6025237999999997,16.09656143,6.21237755,99.15992737,42.36706161,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:20 GMT+02:00 2019,28-set-2019 08:45:18.525,13.36190644,42.36698482,15.02,702.5933837890625,1.92141724,8.43780518,2.8028717,16.10080147,6.210742,97.18583679,42.36698532,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:21 GMT+02:00 2019,28-set-2019 08:45:19.564,13.36202896,42.36689515,14.42,702.9521484375,1.81369019,8.20796204,3.21466064,16.10479164,6.20920277,95.74615479,42.36689377,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:22 GMT+02:00 2019,28-set-2019 08:45:21.005,13.36217925,42.36682345,14.6,702.965576171875,2.07704163,8.46893311,3.25776672,16.10870171,6.20769596,94.59103394,42.3668251,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:23 GMT+02:00 2019,28-set-2019 08:45:22.052,13.36233248,42.36673048,15.55,704.0576171875,2.09620667,8.5670929,3.67196655,16.11267471,6.20616531,93.55181122,42.36672974,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:25 GMT+02:00 2019,28-set-2019 08:45:23.332,13.36263086,42.36656049,15.36,702.8548583984375,1.8974761999999998,8.70117188,3.42056274,16.11719704,6.2044239,92.29733276,42.36656189,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:26 GMT+02:00 2019,28-set-2019 08:45:24.512,13.36277132,42.36647875,15.36,702.775146484375,1.92381287,8.28457642,3.33198547,16.11757469,6.20427847,91.03977203,42.36647797,16.86274529,-,-,7.05882359,14
Sat Sep 28 08:45:27 GMT+02:00 2019,28-set-2019 08:45:25.847,13.36292596,42.36639777,15.56,701.8397216796875,1.77537537,8.7155304,2.97764587,16.11795235,6.20413303,89.94830322,42.36639786,16.86274529,-,-,7.05882359,14
