GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Wed Jan 01 12:21:40 GMT+01:00 2020,01-gen-2020 12:21:41.978,13.40179552,42.36014856,0.0,777.0,-0.35690308,7.71307373,4.43179321,0.0,-,-,-,832.0,16.68700027,777,42.36014938,13.40179539,-0.15041183,0.7874639,0.53250557,0.02151804,-
Wed Jan 01 12:21:44 GMT+01:00 2020,01-gen-2020 12:21:45.408,13.40186931,42.36022601,1.52,772.0,-0.95748901,5.95793152,8.39071655,0.0,-,-,-,904.0,16.68700027,772,42.36022568,13.40186977,-0.05784496,0.48927671,0.63275474,-0.11671068,-
Wed Jan 01 12:21:47 GMT+01:00 2020,01-gen-2020 12:21:48.625,13.40184462,42.36017576,0.0,775.0,-3.77384949,5.69113159,7.36061096,10.98946476,9.09943485,-,0.00380694,844.0,13.65299988,775,42.36017609,13.40184498,-0.36274229999999996,0.58769667,0.54031074,-0.05788894,-
Wed Jan 01 12:21:49 GMT+01:00 2020,01-gen-2020 12:21:50.674,13.40184423,42.36017059,1.95,777.0,-3.24623108,7.40917969,6.58174133,2.02476501,49.38742065,-,0.00581611,1029.0,13.65299988,777,42.36017227,13.40184402,-0.72190869,0.717583,0.1950468,0.06014041,-
Wed Jan 01 12:21:51 GMT+01:00 2020,01-gen-2020 12:21:52.734,13.40192084,42.36010292,3.86,778.0,-3.4747467000000003,8.16171265,6.48602295,0.84448498,118.41290283,-,0.01121792,1743.0,13.65299988,778,42.36010361,13.40192127,-0.28834754,0.85539585,0.23248760000000002,-0.03769714,-
Wed Jan 01 12:21:53 GMT+01:00 2020,01-gen-2020 12:21:54.994,13.40204916,42.36007453,5.93,778.0,0.39924622,8.42492676,3.58473206,181.24800109999998,0,-,0.02095042,1177.0,13.65299988,778,42.36007309,13.40204906,-0.06467486,0.92686331,0.60153252,0.16461691,-
Wed Jan 01 12:21:56 GMT+01:00 2020,01-gen-2020 12:21:57.139,13.40231793,42.36004018,8.09,776.0,-0.34373474,6.03210449,3.41723633,3.31271648,30.18607903,-,0.03600375,1723.0,13.65299988,776,42.36003876,13.402318,0.01264722,0.71843696,0.37908086,-0.13609041,-
Wed Jan 01 12:21:58 GMT+01:00 2020,01-gen-2020 12:21:59.495,13.40250035,42.35999716,8.83,775.0,2.07182312,2.29690552,9.2832489,12.85069466,7.78151894,-,0.05404542,1188.0,13.65299988,775,42.3599968,13.40250015,0.21875596,0.14279333,0.87740242,0.01205682,-
Wed Jan 01 12:22:00 GMT+01:00 2020,01-gen-2020 12:22:01.742,13.40265086,42.35989988,7.9,773.0,1.14700317,2.86878967,8.22322083,8.52502823,11.72992229,-,0.07480097,1260.5,15.17000008,773,42.35990143,13.40265083,0.15643603,0.32914498,0.85313302,0.02077555,-
Wed Jan 01 12:22:03 GMT+01:00 2020,01-gen-2020 12:22:04.107,13.40268279,42.35962563,9.84,774.0,-0.68710327,0.49511719,10.75004578,12.73688412,7.85105038,-,0.09635389,1364.5,15.17000008,774,42.35962677,13.40268326,-0.09016373,0.14230493,0.85911053,-0.02587417,-
