GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Fri Dec 13 11:49:36 GMT+01:00 2019,13-dic-2019 11:49:29.268,13.92195368,42.05201778,0.0,456.0,1.28857422,8.51425171,3.9181366,0.0,-,-,-,834.5,16.68700027,-,-,-,0.13346696,0.87368929,0.30115059,-0.02906641,-
Fri Dec 13 11:49:39 GMT+01:00 2019,13-dic-2019 11:49:32.033,13.92195228,42.05203627,0.28,457.0,1.28657532,8.56091309,3.95004272,0.0,-,-,-,842.5,12.13599968,457,42.05203629,13.92195225,0.14037775,0.86759043,0.29619032,-0.03562404,-
Fri Dec 13 11:49:42 GMT+01:00 2019,13-dic-2019 11:49:34.799,13.92193529,42.05208761,0.0,461.0,1.24191284,8.62113953,3.86787415,0.0,-,-,-,834.5,10.61899948,461,42.05208588,13.92193508,0.12659661,0.87881136,0.29427871,-0.02817864,-
Fri Dec 13 11:49:44 GMT+01:00 2019,13-dic-2019 11:49:36.985,13.92194379,42.05209559,0.0,459.0,1.36434937,8.51106262,3.89819336,0.0,-,-,-,844.0,7.58500004,459,42.05209732,13.92194366,0.1390774,0.86759043,0.29736936,-0.035327199999999996,-
Fri Dec 13 11:49:46 GMT+01:00 2019,13-dic-2019 11:49:39.105,13.92193766,42.05209768,0.0,460.0,1.35597229,8.52581787,3.87266541,0.0,-,-,-,834.0,9.10199928,460,42.05209732,13.92193794,0.13610964,0.86864811,0.29574236,-0.03546761,-
Fri Dec 13 11:49:49 GMT+01:00 2019,13-dic-2019 11:49:41.667,13.92193209,42.05210026,0.0,460.0,1.30770874,8.55015564,3.87545776,0.0,-,-,-,833.0,10.61899948,460,42.05210114,13.92193222,0.14196272,0.86600548,0.29631165,-0.03676827,-
Fri Dec 13 11:49:51 GMT+01:00 2019,13-dic-2019 11:49:43.816,13.92191696,42.05210631,0.0,460.0,1.3057251,8.58364868,3.86030579,0.0,-,-,-,832.5,10.61899948,460,42.05210495,13.92191696,0.13310143,0.87498963,0.29350722,-0.03107696,-
Fri Dec 13 11:49:53 GMT+01:00 2019,13-dic-2019 11:49:45.968,13.92191647,42.05210753,0.0,460.0,1.3105011,8.51187134,3.88502502,0.0,-,-,-,836.0,10.61899948,460,42.05210876,13.92191601,0.13505194,0.8756398000000001,0.29871014,-0.0280952,-
Fri Dec 13 11:49:56 GMT+01:00 2019,13-dic-2019 11:49:48.475,13.92191468,42.05210857,0.0,460.0,1.34759521,8.60438538,3.895401,0.0,-,-,-,834.0,10.61899948,460,42.05210876,13.92191505,0.13155533,0.87019271,0.29858881,-0.03353583,-
Fri Dec 13 11:49:58 GMT+01:00 2019,13-dic-2019 11:49:50.955,13.92191472,42.05210852,0.0,460.0,1.36035156,8.62632751,3.85392761,0.0,-,-,-,840.0,12.13599968,460,42.05210876,13.92191505,0.13866988,0.87934017,0.29285705,-0.02662847,-
Fri Dec 13 11:50:00 GMT+01:00 2019,13-dic-2019 11:49:53.245,13.92191612,42.05210774,0.0,460.0,1.34838867,8.69889832,3.66888428,0.0,-,-,-,1011.0,12.13599968,460,42.05210876,13.92191601,0.14131255,0.89194226,0.28675818,-0.01726313,-
