GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Dec 19 10:02:01 GMT+01:00 2019,19-dic-2019 10:01:52.684,13.924025699999998,42.04343876,0.0,461.0,2.10891724,7.99182129,8.43977356,181.24800109999998,0,-,0.26203391,1156.5,43.99300003,-,-,-,0.35278909999999997,0.77843928,0.39725298,-0.01088093,-
Thu Dec 19 10:02:03 GMT+01:00 2019,19-dic-2019 10:01:54.945,13.924092300000002,42.04354774,6.19,457.0,0.86703491,8.72402954,3.56439209,94.33708954,1.06000638,-,0.27689391,960.0,21.23799896,457,42.04354858,13.92409229,0.01057383,0.88344651,0.36578813,-0.00088546,-
Thu Dec 19 10:02:05 GMT+01:00 2019,19-dic-2019 10:01:57.184,13.92413782,42.04367193,5.14,452.0,-0.24205017,8.29930115,3.56918335,7.31339884,13.67324924,-,0.2912814,989.5,16.68700027,452,42.04367065,13.92413807,-0.02430674,0.83941847,0.37981346,-0.03249064,-
Thu Dec 19 10:02:07 GMT+01:00 2019,19-dic-2019 10:01:59.209,13.92412498,42.04383764,8.02,449.0,0.95079041,8.49551392,4.55502319,4.84563541,20.63669777,-,0.30704892,1197.0,12.13599968,449,42.0438385,13.92412472,0.08935957,0.88820148,0.37212962,0.01019319,-
Thu Dec 19 10:02:09 GMT+01:00 2019,19-dic-2019 10:02:01.307,13.92411068,42.04400068,8.8,447.0,1.01898193,8.69172668,4.43537903,11.38657093,8.78209209,-,0.32351154,1319.5,10.61899948,447,42.04400253,13.92411041,0.12558092,0.85771191,0.30115059,-0.04449721,-
Thu Dec 19 10:02:11 GMT+01:00 2019,19-dic-2019 10:02:03.441,13.92408337,42.04420883,9.69,447.0,1.75717163,8.62712097,4.34205627,10.63057327,9.40663433,-,0.34225821,1413.5,12.13599968,447,42.04420853,13.92408371,0.03008672,0.91856974,0.39981475,0.04653636,-
Thu Dec 19 10:02:14 GMT+01:00 2019,19-dic-2019 10:02:05.797,13.92404214,42.04448527,10.16,442.0,1.01539612,8.4691925,5.26449585,11.26823044,8.87432289,-,0.36438614,1508.0,10.61899948,442,42.044487,13.92404175,0.07167587,0.81783217,0.37127569,-0.05305751,86
Thu Dec 19 10:02:16 GMT+01:00 2019,19-dic-2019 10:02:07.919,13.92399769,42.04468113,10.77,442.0,0.66963196,8.91784668,4.61843872,11.76748753,8.49781418,-,0.38638753,1584.0,10.61899948,442,42.04468155,13.92399788,0.06826013,0.90905672,0.37078884,0.02635523,89
Thu Dec 19 10:02:18 GMT+01:00 2019,19-dic-2019 10:02:10.097,13.92392957,42.044873100000004,11.24,441.0,2.27999878,9.35932922,7.63339233,9.98266506,10.0171566,-,0.40865976,1657.5,9.10199928,441,42.04487228,13.92392921,0.23631835,0.66892135,0.30761343,-0.18152073,91
Thu Dec 19 10:02:20 GMT+01:00 2019,19-dic-2019 10:02:12.248,13.92384257,42.04506289,11.32,440.0,1.48439026,8.26820374,4.35043335,11.72718143,8.52702045,-,0.43267795,1727.5,10.61899948,440,42.04506302,13.92384243,0.09570107,0.84368813,0.34676209,-0.04021157,93
