GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Mon Nov 04 09:53:55 GMT+01:00 2019,04-nov-2019 09:53:56.225,13.92436919,42.04868066,0.0,456.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:55 GMT+01:00 2019,04-nov-2019 09:53:56.675,13.92436919,42.04868066,0.0,456.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:56 GMT+01:00 2019,04-nov-2019 09:53:57.145,13.92436847,42.04868115,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:56 GMT+01:00 2019,04-nov-2019 09:53:57.375,13.92436847,42.04868115,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:56 GMT+01:00 2019,04-nov-2019 09:53:57.595,13.92436847,42.04868115,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:56 GMT+01:00 2019,04-nov-2019 09:53:57.826,13.92436847,42.04868115,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.058,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.286,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.515,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.635,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.757,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:57 GMT+01:00 2019,04-nov-2019 09:53:58.875,13.92436813,42.04868158,0.0,457.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:58.995,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.115,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.235,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.355,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.476,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.594,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.706,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:58 GMT+01:00 2019,04-nov-2019 09:53:59.826,13.92436653,42.04868015,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:53:59.945,13.92437015,42.04867771,0.0,458.0,-0.32099915,5.05464172,7.17755127,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.065,13.92437015,42.04867771,0.0,458.0,0.46504211,4.77825928,8.116745,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.185,13.92437015,42.04867771,0.0,458.0,-2.1814270000000002,2.24307251,7.340271,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.305,13.92437015,42.04867771,0.0,458.0,1.43652344,0.4329071,8.79391479,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.426,13.92437015,42.04867771,0.0,458.0,9.11869812,-0.5684967,13.14526367,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.545,13.92437015,42.04867771,0.0,458.0,3.60443115,-1.10449219,9.84196472,,,,,,,,,,,,,,
Mon Nov 04 09:53:59 GMT+01:00 2019,04-nov-2019 09:54:00.656,13.92437015,42.04867771,0.0,458.0,2.79924011,-4.10389709,8.92073059,,,,,,,,,,,,,,
Mon Nov 04 09:54:00 GMT+01:00 2019,04-nov-2019 09:54:00.897,13.9243715,42.04867654,0.0,458.0,1.36833191,-2.19682312,9.46987915,,,,,,,,,,,,,,
Mon Nov 04 09:54:00 GMT+01:00 2019,04-nov-2019 09:54:01.126,13.9243715,42.04867654,0.0,458.0,1.32406616,-2.43969727,10.13150024,,,,,,,,,,,,,,
Mon Nov 04 09:54:00 GMT+01:00 2019,04-nov-2019 09:54:01.356,13.9243715,42.04867654,0.0,458.0,1.08837891,-2.2099762000000003,9.71994019,,,,,,,,,,,,,,
Mon Nov 04 09:54:00 GMT+01:00 2019,04-nov-2019 09:54:01.585,13.9243715,42.04867654,0.0,458.0,1.31808472,-1.65364075,9.60986328,,,,,,,,,,,,,,
Mon Nov 04 09:54:00 GMT+01:00 2019,04-nov-2019 09:54:01.816,13.9243715,42.04867654,0.0,458.0,1.64949036,-1.49452209,9.865890499999999,,,,,,,,,,,,,,
Mon Nov 04 09:54:01 GMT+01:00 2019,04-nov-2019 09:54:02.046,13.92437174,42.04867622,0.0,458.0,1.6937561,-1.32821655,9.728302000000001,,,,,,,,,,,,,,
Mon Nov 04 09:54:01 GMT+01:00 2019,04-nov-2019 09:54:02.436,13.92437174,42.04867622,0.0,458.0,1.74639893,-1.38685608,9.72711182,,,,,,,,,,,,,,
Mon Nov 04 09:54:01 GMT+01:00 2019,04-nov-2019 09:54:02.641,13.92437174,42.04867622,0.0,458.0,1.66145325,-1.37129211,9.68643188,,,,,,,,,,,,,,
Mon Nov 04 09:54:01 GMT+01:00 2019,04-nov-2019 09:54:02.871,13.92437174,42.04867622,0.0,458.0,1.67701721,-1.34857178,9.71994019,,,,,,,,,,,,,,
Mon Nov 04 09:54:02 GMT+01:00 2019,04-nov-2019 09:54:03.153,13.92437193,42.04867587,0.0,458.0,1.80262756,-1.41915894,9.68165588,,,,,,,,,,,,,,
Mon Nov 04 09:54:02 GMT+01:00 2019,04-nov-2019 09:54:03.351,13.92437193,42.04867587,0.0,458.0,1.65188599,-1.35334778,9.73548889,,,,,,,,,,,,,,
Mon Nov 04 09:54:02 GMT+01:00 2019,04-nov-2019 09:54:03.660,13.92437193,42.04867587,0.0,458.0,1.73683167,-1.34976196,9.74983215,,,,,,,,,,,,,,
Mon Nov 04 09:54:03 GMT+01:00 2019,04-nov-2019 09:54:04.184,13.92437299,42.04867506,0.0,458.0,1.7775116000000002,-1.40480042,9.8228302,,,,,,,,,,,,,,
Mon Nov 04 09:54:03 GMT+01:00 2019,04-nov-2019 09:54:04.589,13.92437299,42.04867506,0.0,458.0,1.83253479,-1.49093628,9.52850342,,,,,,,,,,,,,,
Mon Nov 04 09:54:04 GMT+01:00 2019,04-nov-2019 09:54:05.059,13.92437342,42.04867466,0.0,458.0,1.63871765,-1.49212646,9.60029602,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:05.904,13.92437357,42.04867455,0.0,458.0,1.83613586,-0.85922241,9.77377319,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:06.136,13.92437357,42.04867455,0.0,458.0,2.17471313,-0.7898407,9.70079041,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:06.377,13.92437357,42.04867455,0.0,458.0,1.80862427,-0.44168091,9.82641602,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:06.616,13.92437357,42.04867455,0.0,458.0,1.61479187,-0.81735229,9.8120575,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:06.736,13.92437357,42.04867455,0.0,458.0,1.37312317,-0.99562073,9.61943054,,,,,,,,,,,,,,
Mon Nov 04 09:54:05 GMT+01:00 2019,04-nov-2019 09:54:06.856,13.92437357,42.04867455,0.0,458.0,1.66384888,-1.03869629,9.60267639,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:06.976,13.92437372,42.04867449,0.0,458.0,1.75596619,-1.99343872,9.50816345,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.095,13.92437372,42.04867449,0.0,458.0,1.49993896,-1.23849487,9.43159485,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.216,13.92437372,42.04867449,0.0,458.0,2.02278137,-1.73979187,9.06907654,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.338,13.92437372,42.04867449,0.0,458.0,1.43893433,-1.83071899,9.64456177,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.455,13.92437372,42.04867449,0.0,458.0,1.29655457,-1.96351624,9.93170166,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.576,13.92437372,42.04867449,0.0,458.0,1.30731201,-2.04966736,9.73309326,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.699,13.92437372,42.04867449,0.0,458.0,1.18170166,-2.12384033,9.43757629,,,,,,,,,,,,,,
Mon Nov 04 09:54:06 GMT+01:00 2019,04-nov-2019 09:54:07.816,13.92437372,42.04867449,0.0,458.0,0.98428345,-2.10110474,9.73667908,,,,,,,,,,,,,,
Mon Nov 04 09:54:07 GMT+01:00 2019,04-nov-2019 09:54:07.936,13.924373800000001,42.04867443,0.0,458.0,1.39825439,-1.93600464,9.63737488,,,,,,,,,,,,,,
Mon Nov 04 09:54:07 GMT+01:00 2019,04-nov-2019 09:54:08.057,13.924373800000001,42.04867443,0.0,458.0,1.29176331,-1.29472351,9.74984741,,,,,,,,,,,,,,
Mon Nov 04 09:54:07 GMT+01:00 2019,04-nov-2019 09:54:08.176,13.924373800000001,42.04867443,0.0,458.0,1.53463745,-1.45504761,9.72113037,,,,,,,,,,,,,,
Mon Nov 04 09:54:07 GMT+01:00 2019,04-nov-2019 09:54:08.296,13.924373800000001,42.04867443,0.0,458.0,1.43174744,-1.53999329,9.69241333,,,,,,,,,,,,,,
Mon Nov 04 09:54:07 GMT+01:00 2019,04-nov-2019 09:54:08.417,13.924373800000001,42.04867443,0.0,458.0,1.45925903,-1.47897339,9.87785339,,,,,,,,,,,,,,
