GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Thu Nov 28 14:20:46 GMT+01:00 2019,28-nov-2019 14:20:46.417,13.93146824,42.04869282,0.0,399.0,1.17572021,9.1690979,1.62980652,0.0,-,-,-,830.0,84.95199585,-,-,-,0.18838926,0.95515817,0.13675077,0.00227468,-
Thu Nov 28 14:20:48 GMT+01:00 2019,28-nov-2019 14:20:48.567,13.93138834,42.04863819,0.0,409.0,2.45109558,8.77548218,3.76898193,0.0,-,-,-,1048.5,72.81599426,409,42.04863739,13.9313879,0.24217299,0.88503152,0.26053828,-0.01380503,-
Thu Nov 28 14:20:50 GMT+01:00 2019,28-nov-2019 14:20:50.708,13.93137569,42.04863371,0.0,408.0,2.38528442,9.02073669,3.29400635,4.15204382,24.08402252,-,0.00358333,905.0,63.71399689,408,42.04863358,13.9313755,0.17619312,0.89905685,0.22809662,-0.02653105,-
Thu Nov 28 14:20:52 GMT+01:00 2019,28-nov-2019 14:20:52.955,13.93134713,42.04861926,0.0,414.0,0.36694336,9.45503235,2.33328247,6.53964901,15.2910223,-,0.00652917,797.0,50.06099701,414,42.04861832,13.93134689,0.03459903,0.98503643,0.16675194,0.02145142,-
Thu Nov 28 14:20:55 GMT+01:00 2019,28-nov-2019 14:20:55.311,13.93116453,42.04845605,0.0,438.0,0.82756042,11.82513428,1.34625244,0.50615162,197.56513977,-,0.01251681,1705.0,27.30599976,438,42.04845428,13.93116474,0.24912421,0.97284186,-0.43718654,0.05969138,-
Thu Nov 28 14:20:57 GMT+01:00 2019,28-nov-2019 14:20:57.666,13.93114705,42.04844484,0.0,439.0,1.06085205,7.6006012,4.02261353,2.50129271,39.97849655,-,0.02726681,1939.0,24.27199936,439,42.04844666,13.93114662,0.10813986,0.77478093,0.31005234,-0.11645272,-
Thu Nov 28 14:20:59 GMT+01:00 2019,28-nov-2019 14:20:59.852,13.93111898,42.04842865,0.0,445.0,2.78967285,8.83052063,4.16259766,7.089013099999999,14.10604286,-,0.0457918,1868.5,24.27199936,445,42.04842758,13.93111897,0.28668791,0.89808005,0.44994012,0.09178104,-
Thu Nov 28 14:21:01 GMT+01:00 2019,28-nov-2019 14:21:02.041,13.93094714,42.04845835,5.23,441.0,3.13423157,9.25164795,3.50218201,181.24800109999998,0,-,0.05923625,1159.0,24.27199936,441,42.0484581,13.9309473,0.42693967,0.83356535,0.07638133,-0.04666914,-
Thu Nov 28 14:21:03 GMT+01:00 2019,28-nov-2019 14:21:04.047,13.93071126,42.04847212,5.73,433.0,1.09077454,9.17388916,1.19670105,70.19449615,1.42458355,-,0.0707418,1365.5,21.23799896,433,42.04847336,13.93071079,0.11119006,0.93515688,0.02198787,-0.05006373,-
Thu Nov 28 14:21:05 GMT+01:00 2019,28-nov-2019 14:21:06.085,13.93052082,42.048520200000006,8.17,430.0,3.03135681,7.66879272,4.05253601,1.62312376,61.60831451,-,0.08958375,2391.0,24.27199936,430,42.04851913,13.93052101,0.26558846,0.8561269,0.27688119,-0.02728417,172
Thu Nov 28 14:21:07 GMT+01:00 2019,28-nov-2019 14:21:08.214,13.9302247,42.04850599,11.34,425.0,-1.58201599,9.36410522,2.25671387,155.27893066,0.64398897,-,0.10728166,1647.5,27.30599976,425,42.04850769,13.93022442,-0.16126564,0.95454687,0.1300422,-0.00462955,174
Thu Nov 28 14:21:10 GMT+01:00 2019,28-nov-2019 14:21:10.338,13.929771100000002,42.048343700000004,11.98,415.0,1.61599731,6.76908875,2.93029785,25.32148933,3.94913268,-,0.13094833,1818.0,28.82299995,415,42.04834366,13.92977142,0.14509381,0.87990946,0.32688367,-0.01096486,176
Thu Nov 28 14:21:12 GMT+01:00 2019,28-nov-2019 14:21:12.438,13.92952552,42.04829557,9.88,401.0,2.38288879,9.74098206,2.2040862999999997,181.24800109999998,0,-,0.15301083,1475.0,28.82299995,401,42.04829407,13.92952538,0.05484454,0.84076077,0.23431679999999996,-0.09323884,178
Thu Nov 28 14:21:14 GMT+01:00 2019,28-nov-2019 14:21:14.562,13.92942465,42.04822327,5.77,397.0,2.28837585,8.98005676,3.05830383,181.24800109999998,0,-,0.1684618,892.5,27.30599976,397,42.04822159,13.92942429,0.22863607,0.88844568,0.22236486,-0.02728452,180
Thu Nov 28 14:21:16 GMT+01:00 2019,28-nov-2019 14:21:16.701,13.92928982,42.04821219,5.6,395.0,1.84809875,8.52064514,3.00686646,14.68945789,6.80746174,-,0.17989096,1047.0,28.82299995,395,42.04821396,13.92928982,0.21631704,0.83332115,0.24090250000000002,-0.07370759,182
Thu Nov 28 14:21:18 GMT+01:00 2019,28-nov-2019 14:21:18.796,13.92912211,42.04818918,5.84,397.0,-0.38562012,9.04945374,3.71992493,7.82208824,12.78404427,-,0.19359513,1320.0,25.78899956,397,42.04819107,13.92912197,0.00715965,0.90893537,0.31724933,0.00049757,185
Thu Nov 28 14:21:20 GMT+01:00 2019,28-nov-2019 14:21:21.014,13.92889738,42.04814462,7.16,399.0,-2.96626282,9.55673218,2.33448792,8.24534798,12.12779903,-,0.20384943,1512.5,21.23799896,399,42.04814529,13.9288969,-0.33139879,1.00040412,0.24724400000000002,0.10997898,186
Thu Nov 28 14:21:22 GMT+01:00 2019,28-nov-2019 14:21:23.164,13.92877264,42.04805037,6.13,402.0,0.51409912,9.54716492,1.59869385,3.17830777,31.46262932,-,0.21980332,1944.0,19.72099876,402,42.04804993,13.92877293,0.05423481,0.92503256,0.05357559,-0.06041765,189
Thu Nov 28 14:21:25 GMT+01:00 2019,28-nov-2019 14:21:25.308,13.92870953,42.04779876,8.78,414.0,1.80262756,8.84008789,3.80368042,1.72092903,58.10694122,-,0.24029776,2425.0,16.68700027,414,42.04779816,13.92870998,0.17948598,0.9229607,0.22090119,-0.00615707,191
Thu Nov 28 14:21:27 GMT+01:00 2019,28-nov-2019 14:21:27.465,13.92866159,42.04760788,8.99,421.0,3.44650269,7.95832825,1.72909546,11.98800945,8.34149551,-,0.26348111,1648.5,18.20399857,421,42.04760742,13.92866135,0.40193763,0.89088458,0.022109200000000002,-0.01470674,193
Thu Nov 28 14:21:29 GMT+01:00 2019,28-nov-2019 14:21:29.608,13.92859015,42.04745028,8.78,423.0,2.6915741,9.07337952,0.51115417,6.55602312,15.25283146,-,0.28657043,1622.0,18.20399857,423,42.04745102,13.92858982,0.47413769,0.88881123,0.11443187,0.03029018,195
Thu Nov 28 14:21:31 GMT+01:00 2019,28-nov-2019 14:21:31.765,13.92846049,42.0472996,8.98,424.0,1.69017029,8.95133972,1.81164551,6.18567801,16.16604042,-,0.30944586,1666.0,19.72099876,424,42.04729843,13.92846012,0.15533789,0.88490862,0.055281899999999995,-0.08792891,197
Thu Nov 28 14:21:33 GMT+01:00 2019,28-nov-2019 14:21:33.916,13.92828114,42.04712718,9.8,419.0,2.81480408,8.67617798,3.25453186,3.62971854,27.54977226,-,0.33410376,1871.5,21.23799896,419,42.04712677,13.92828083,0.28693211,0.88442177,0.23175655,-0.01244732,199
Thu Nov 28 14:21:35 GMT+01:00 2019,28-nov-2019 14:21:36.059,13.92806008,42.04700093,10.97,420.0,1.1158905000000001,9.04466248,3.8168335,12.69449329,7.87726736,-,0.36020377,1853.5,22.75499916,420,42.04700089,13.92806053,0.12009180000000001,0.87064064,0.07711238,-0.10314146,201
Thu Nov 28 14:21:37 GMT+01:00 2019,28-nov-2019 14:21:38.217,13.92787686,42.04686568,11.13,421.0,1.47840881,9.39282227,1.16798401,8.8754673,11.26677895,-,0.38618293,1858.0,28.82299995,421,42.04686737,13.92787647,0.43645269,0.88271391,0.12504147,0.010453200000000001,204
Thu Nov 28 14:21:40 GMT+01:00 2019,28-nov-2019 14:21:40.608,13.92772913,42.04656444,10.9,426.0,2.1675415,7.43669128,2.03897095,48.34119415,2.06858611,-,0.41431072,1674.0,19.72099876,426,42.04656601,13.92772961,0.36620471,0.93113142,0.30029666,0.07802717,206
Thu Nov 28 14:21:42 GMT+01:00 2019,28-nov-2019 14:21:42.823,13.92749495,42.04647003,9.66,428.0,1.0776062,9.01715088,2.72212219,181.24800109999998,0,-,0.43570378,1458.0,21.23799896,428,42.04647064,13.927495,0.10984772,0.91917944,0.17748442,-0.03325635,208
Thu Nov 28 14:21:44 GMT+01:00 2019,28-nov-2019 14:21:44.938,13.92734812,42.0463488,8.4,431.0,0.89216614,8.65463257,4.08004761,7.62141085,13.12065792,-,0.45687336,1486.0,22.75499916,431,42.04634857,13.92734814,0.28485715,0.92600936,0.16943505,0.00594398,210
