GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.351,13.92417156,42.04336222,4.61,430.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.472,13.92417156,42.04336222,4.61,430.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.592,13.92417156,42.04336222,4.61,430.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.862,13.92417156,42.04336222,4.61,430.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:04.134,13.92417156,42.04336222,4.61,430.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.408,13.92414077,42.04339452,4.5,434.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.685,13.92414077,42.04339452,4.5,434.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.957,13.92414077,42.04339452,4.5,434.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:05.084,13.92414077,42.04339452,4.5,434.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:05.208,13.92414077,42.04339452,4.5,434.0,9.70133972,-0.31126404,-0.04159546,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.342,13.92415673,42.04344498,4.36,437.0,8.65568542,-1.22892761,-1.22843933,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.465,13.92415673,42.04344498,4.36,437.0,9.29217529,-0.91546631,-1.97859192,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.598,13.92415673,42.04344498,4.36,437.0,9.34121704,-0.59483337,-2.42843628,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.726,13.92415673,42.04344498,4.36,437.0,9.39506531,0.65901184,-2.14608765,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.856,13.92415673,42.04344498,4.36,437.0,10.84033203,-0.34356689,-0.97958374,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.977,13.92415673,42.04344498,4.36,437.0,10.09855652,-0.95135498,-1.09443665,,,,,,,,,,,,,,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:06.104,13.92415673,42.04344498,4.36,437.0,8.65927124,-0.98605347,-2.15924072,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.220,13.92418751,42.04349974,4.77,440.0,10.08538818,1.71903992,-1.98457336,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.340,13.92418751,42.04349974,4.77,440.0,10.19186401,-0.34356689,-0.91975403,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.461,13.92418751,42.04349974,4.77,440.0,9.64031982,-1.27798462,-0.48905945,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.580,13.92418751,42.04349974,4.77,440.0,8.69755554,-0.58047485,0.01702881,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.701,13.92418751,42.04349974,4.77,440.0,11.05926514,1.43788147,-0.68885803,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.820,13.92418751,42.04349974,4.77,440.0,10.00761414,0.67218018,-0.30001831,,,,,,,,,,,,,,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:07.090,13.92418751,42.04349974,4.77,440.0,9.55418396,0.74157715,-0.212677,,,,,,,,,,,,,,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.361,13.92423802,42.04353869,5.03,439.0,9.96813965,0.56809998,-0.24020386,,,,,,,,,,,,,,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.630,13.92423802,42.04353869,5.03,439.0,9.16654968,0.80378723,-0.8467865,,,,,,,,,,,,,,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.900,13.92423802,42.04353869,5.03,439.0,9.69296265,0.43768311,0.09480286,,,,,,,,,,,,,,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:08.170,13.92423802,42.04353869,5.03,439.0,9.67860413,-0.14616394,0.36997986,,,,,,,,,,,,,,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:08.446,13.92424595,42.04361609,5.04,441.0,9.48120117,-0.01216125,-0.67329407,,,,,,,,,,,,,,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:08.726,13.92424595,42.04361609,5.04,441.0,9.68099976,-0.26580811,0.83418274,,,,,,,,,,,,,,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:09.005,13.92424595,42.04361609,5.04,441.0,10.33065796,0.05123901,0.42501831,,,,,,,,,,,,,,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:09.127,13.92424595,42.04361609,5.04,441.0,9.16415405,0.04167175,-0.10501099,,,,,,,,,,,,,,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.255,13.92424572,42.04365131,4.74,440.0,8.8399353,-0.27537537,-0.10501099,,,,,,,,,,,,,,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.377,13.92424572,42.04365131,4.74,440.0,9.98727417,-0.57926941,0.5302887,,,,,,,,,,,,,,
