GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Wed Feb 19 07:09:19 GMT+01:00 2020,19-feb-2020 07:09:15.185,13.93141375,42.04797137,0.0,495.0,-1.59159851,8.39741516,3.71514893,0.0,-,-,0.03310389,899.0,47.02700043,-,-,-,-0.13187419,0.86393207,0.2922473,-0.04174403,123
Wed Feb 19 07:09:21 GMT+01:00 2020,19-feb-2020 07:09:16.915,13.93127513,42.04801451,0.0,485.0,-1.28053284,8.59002686,4.06808472,0.0,-,-,0.03310389,883.5,27.30599976,485,42.04801559,13.93127537,-0.13406891,0.88429892,0.31078494,-0.01543651,124
Wed Feb 19 07:09:23 GMT+01:00 2020,19-feb-2020 07:09:18.946,13.93125876,42.04803465,0.0,488.0,-1.85002136,8.56011963,3.44953918,0.0,-,-,0.03310389,928.0,22.75499916,488,42.04803467,13.93125916,-0.13845989,0.86307812,0.29358809999999996,-0.04103463,124
Wed Feb 19 07:09:25 GMT+01:00 2020,19-feb-2020 07:09:20.545,13.93124314,42.04804552,0.0,488.0,-1.65859985,8.80897522,3.74984741,0.0,-,-,0.03310389,901.0,19.72099876,488,42.04804611,13.93124294,-0.17565805,0.83990687,0.25444096,-0.07128222,128
Wed Feb 19 07:09:26 GMT+01:00 2020,19-feb-2020 07:09:22.276,13.93123773,42.04804519,0.0,488.0,-1.89428711,8.57687378,3.35502625,0.0,-,-,0.03310389,910.5,18.20399857,488,42.04804611,13.93123817,-0.12785029,0.8750300999999999,0.30907708,-0.02531227,130
Wed Feb 19 07:09:28 GMT+01:00 2020,19-feb-2020 07:09:24.015,13.93121678,42.04804586,0.0,485.0,-1.54014587,8.33041382,3.72950745,0.0,-,-,0.03310389,897.0,18.20399857,485,42.04804611,13.93121719,-0.14846133,0.9013744,0.29907721,-0.00277465,131
Wed Feb 19 07:09:30 GMT+01:00 2020,19-feb-2020 07:09:25.735,13.93121506,42.04805173,0.0,486.0,-1.36187744,8.68814087,4.13867188,0.0,-,-,0.03310389,890.5,16.68700027,486,42.04804993,13.93121529,-0.1895605,0.87442034,0.24200062,-0.04180609,133
Wed Feb 19 07:09:32 GMT+01:00 2020,19-feb-2020 07:09:27.475,13.93121554,42.04805261,0.0,486.0,-1.55569458,8.85324097,3.93408203,0.0,-,-,0.03310389,892.0,15.17000008,486,42.04805374,13.93121529,-0.18407294,0.85807896,0.25273311,-0.05384229,135
Wed Feb 19 07:09:33 GMT+01:00 2020,19-feb-2020 07:09:29.184,13.93121576,42.04805239,0.0,486.0,-1.75788879,8.72521973,3.64814758,0.0,-,-,0.03310389,886.0,15.17000008,486,42.04805374,13.93121529,-0.19480386,0.8756398000000001,0.25078106,-0.03647784,137
Wed Feb 19 07:09:35 GMT+01:00 2020,19-feb-2020 07:09:30.926,13.93121449,42.0480533,0.0,487.0,-1.33914185,8.72283936,4.16140747,0.0,-,-,0.03310389,900.0,13.65299988,487,42.04805374,13.93121433,-0.13650782,0.88917828,0.32420054,-0.00506555,138
Wed Feb 19 07:09:37 GMT+01:00 2020,19-feb-2020 07:09:32.665,13.93121437,42.04805332,0.0,486.0,-1.87275696,8.58883667,3.34664917,0.0,-,-,0.03310389,915.0,13.65299988,486,42.04805374,13.93121433,-0.19090284,0.8755185,0.24114670000000002,-0.04084107,140
Wed Feb 19 07:09:38 GMT+01:00 2020,19-feb-2020 07:09:34.365,13.93121427,42.0480532,0.0,486.0,-1.87753296,8.57687378,3.47346497,0.0,-,-,0.03310389,910.0,13.65299988,486,42.04805374,13.93121433,-0.13321498,0.88246971,0.3059071,-0.01922658,142
Wed Feb 19 07:09:40 GMT+01:00 2020,19-feb-2020 07:09:36.064,13.93121262,42.04805471,0.0,487.0,-1.93855286,8.568496699999999,3.40646362,0.0,-,-,0.03310389,899.0,15.17000008,487,42.04805374,13.93121243,-0.15699753,0.90210551,0.29761356,-0.00139094,143
Wed Feb 19 07:09:42 GMT+01:00 2020,19-feb-2020 07:09:37.774,13.93121272,42.04805456,0.0,487.0,-1.33914185,8.56132507,3.95204163,0.0,-,-,0.03310389,912.5,16.68700027,487,42.04805374,13.93121243,-0.18834105,0.87990791,0.26931867,-0.02698763,145
Wed Feb 19 07:09:44 GMT+01:00 2020,19-feb-2020 07:09:39.631,13.93121228,42.04805517,0.0,487.0,-1.86317444,8.58285522,3.51176453,0.0,-,-,0.03310389,903.5,16.68700027,487,42.04805374,13.93121243,-0.134436,0.8750300999999999,0.29993114,-0.02822816,147
Wed Feb 19 07:09:46 GMT+01:00 2020,19-feb-2020 07:09:41.634,13.93121238,42.04805535,0.0,487.0,-1.3008728,8.60319519,4.02500916,0.0,-,-,0.03310389,901.0,16.68700027,487,42.04805374,13.93121243,-0.14992343,0.89003223,0.30297979999999997,-0.01121552,147
Wed Feb 19 07:09:47 GMT+01:00 2020,19-feb-2020 07:09:43.364,13.93121129,42.04805631,0.0,487.0,-1.33197021,8.61993408,4.01902771,0.0,-,-,0.03310389,897.5,16.68700027,487,42.04805756,13.93121147,-0.17443703,0.897349,0.28407663,-0.00810777,151
Wed Feb 19 07:09:49 GMT+01:00 2020,19-feb-2020 07:09:45.075,13.931212099999998,42.04805596,0.0,487.0,-1.25540161,8.60319519,3.95802307,0.0,-,-,0.03310389,906.5,16.68700027,487,42.04805756,13.93121243,-0.18919498,0.87698215,0.25736675,-0.03395617,152
Wed Feb 19 07:09:51 GMT+01:00 2020,19-feb-2020 07:09:46.795,13.93121166,42.04805639,0.0,487.0,-1.33795166,8.64387512,3.97476196,0.0,-,-,0.03310389,907.0,15.17000008,487,42.04805756,13.93121147,-0.18797553,0.87881136,0.24846500000000002,-0.03578686,154
Wed Feb 19 07:09:53 GMT+01:00 2020,19-feb-2020 07:09:48.504,13.93121209,42.04805584,0.0,487.0,-1.37982178,8.63789368,4.14346313,0.0,-,-,0.03310389,905.5,13.65299988,487,42.04805756,13.93121243,-0.1434606,0.89393324,0.30212587,-0.00900379,156
Wed Feb 19 07:09:54 GMT+01:00 2020,19-feb-2020 07:09:50.196,13.93121182,42.04805604,0.0,487.0,-1.30326843,8.60678101,4.06808472,0.0,-,-,0.03310389,911.5,13.65299988,487,42.04805756,13.93121147,-0.16004618,0.8977145000000001,0.29614988,-0.00545676,158
Wed Feb 19 07:09:56 GMT+01:00 2020,19-feb-2020 07:09:51.926,13.93123693,42.04800019,0.0,481.0,-1.32479858,8.59242249,3.97836304,0.0,-,-,0.03310389,902.5,12.13599968,481,42.04800034,13.93123722,-0.17626779,0.88686067,0.27846619,-0.01944632,159
Wed Feb 19 07:09:58 GMT+01:00 2020,19-feb-2020 07:09:53.646,13.931231599999998,42.04800892,0.0,482.0,-1.87872314,8.530212400000002,3.3107605,0.0,-,-,0.03310389,903.0,12.13599968,482,42.04800797,13.9312315,-0.18017036,0.89271533,0.28297848,-0.01169761,161
Wed Feb 19 07:09:59 GMT+01:00 2020,19-feb-2020 07:09:55.353,13.9312313,42.04800806,0.0,482.0,-1.83326721,8.61157227,3.68522644,0.0,-,-,0.03310389,922.0,12.13599968,482,42.04800797,13.9312315,-0.18687738,0.87783605,0.27566019,-0.02671339,163
Wed Feb 19 07:10:01 GMT+01:00 2020,19-feb-2020 07:09:57.084,13.93117775,42.04805248,0.0,478.0,-1.87275696,8.57806396,3.53327942,0.0,-,-,0.03310389,921.5,10.61899948,478,42.04805374,13.93117809,-0.19090284,0.87442034,0.26017118,-0.03490197,164
Wed Feb 19 07:10:03 GMT+01:00 2020,19-feb-2020 07:09:58.814,13.93117226,42.04805702,0.0,478.0,-1.81413269,8.59960938,3.48184204,0.0,-,-,0.03310389,898.5,9.10199928,478,42.04805756,13.93117237,-0.18492687,0.8766166,0.25492781,-0.036017099999999996,166
Wed Feb 19 07:10:05 GMT+01:00 2020,19-feb-2020 07:10:00.737,13.93118906,42.04804314,0.0,479.0,-1.75549316,8.69412231,3.65292358,0.0,-,-,0.03310389,891.5,7.58500004,479,42.0480423,13.93118858,-0.1321184,0.87405485,0.30919996,-0.02556677,168
Wed Feb 19 07:10:07 GMT+01:00 2020,19-feb-2020 07:10:02.783,13.93118695,42.04804393,0.0,479.0,-1.92300415,8.51705933,3.31314087,0.0,-,-,0.03310389,897.5,15.17000008,479,42.0480423,13.93118668,-0.18468267,0.87624955,0.25285444,-0.0371603,168
Wed Feb 19 07:10:09 GMT+01:00 2020,19-feb-2020 07:10:04.496,13.93118423,42.04804563,0.0,479.0,-1.33317566,8.58045959,4.07884216,0.0,-,-,0.03310389,893.5,15.17000008,479,42.04804611,13.93118382,-0.17882802,0.88515282,0.26895314,-0.02416611,172
Wed Feb 19 07:10:10 GMT+01:00 2020,19-feb-2020 07:10:06.214,13.93118836,42.04804182,0.0,479.0,-1.79377747,8.67019653,3.60388184,0.0,-,-,0.03310389,890.5,15.17000008,479,42.0480423,13.93118858,-0.18285193,0.88381207,0.26736817,-0.02523502,174
Wed Feb 19 07:10:12 GMT+01:00 2020,19-feb-2020 07:10:07.934,13.93119014,42.04804054,0.0,479.0,-1.68371582,8.35314941,3.55841064,0.0,-,-,0.03310389,902.5,15.17000008,479,42.0480423,13.93119049,-0.14114301,0.86673808,0.30761343,-0.03152414,175
Wed Feb 19 07:10:14 GMT+01:00 2020,19-feb-2020 07:10:09.644,13.93118976,42.04804061,0.0,479.0,-1.35710144,8.61276245,3.949646,0.0,-,-,0.03310389,906.0,15.17000008,479,42.0480423,13.93118954,-0.16468138,0.85137039,0.272246,-0.05600468,177
Wed Feb 19 07:10:15 GMT+01:00 2020,19-feb-2020 07:10:11.354,13.93118884,42.04804101,0.0,479.0,-1.20155334,8.60797119,3.96878052,0.0,-,-,0.03310389,898.0,15.17000008,479,42.0480423,13.93118858,-0.16211957,0.85112619,0.27651411,-0.05497551,179
Wed Feb 19 07:10:17 GMT+01:00 2020,19-feb-2020 07:10:13.033,13.93118763,42.04804135,0.0,478.0,-1.36187744,8.6953125,3.9269104,0.0,-,-,0.03310389,897.5,15.17000008,478,42.0480423,13.93118763,-0.16138852,0.90149575,0.29371098,-0.00278975,180
Wed Feb 19 07:10:19 GMT+01:00 2020,19-feb-2020 07:10:14.735,13.93118832,42.04804123,0.0,478.0,-1.85002136,8.63668823,3.54286194,0.0,-,-,0.03310389,894.5,15.17000008,478,42.0480423,13.93118858,-0.14260668,0.88161576,0.31090626,-0.01659398,182
Wed Feb 19 07:10:21 GMT+01:00 2020,19-feb-2020 07:10:16.414,13.93118861,42.04804123,0.0,479.0,-1.85719299,8.47158813,3.41125488,0.0,-,-,0.03310389,877.5,15.17000008,479,42.0480423,13.93118858,-0.18504819,0.87673795,0.24785373,-0.03846693,184
Wed Feb 19 07:10:22 GMT+01:00 2020,19-feb-2020 07:10:18.096,13.93118839,42.04804137,0.0,478.0,-1.80335999,8.39741516,3.49261475,0.0,-,-,0.03310389,894.5,15.17000008,478,42.0480423,13.93118858,-0.14748451,0.86344367,0.29895434,-0.03714781,185
Wed Feb 19 07:10:24 GMT+01:00 2020,19-feb-2020 07:10:19.773,13.93118859,42.04804131,0.0,478.0,-1.57244873,8.33998108,3.52252197,0.0,-,-,0.03310389,896.5,15.17000008,478,42.0480423,13.93118858,-0.18687738,0.86442047,0.26126933,-0.04434045,187
Wed Feb 19 07:10:26 GMT+01:00 2020,19-feb-2020 07:10:21.464,13.93118923,42.04804121,0.0,478.0,-1.61791992,8.35673523,3.61225891,0.0,-,-,0.03310389,872.5,15.17000008,478,42.0480423,13.93118954,-0.14041196,0.87027514,0.30956548,-0.02764004,189
Wed Feb 19 07:10:27 GMT+01:00 2020,19-feb-2020 07:10:23.164,13.93118955,42.04804118,0.0,479.0,-1.43127441,8.7515564,3.91374207,0.0,-,-,0.03310389,900.0,15.17000008,479,42.0480423,13.93118954,-0.14285088,0.86685938,0.30224717,-0.03341197,191
