GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Altitude,G(x),G(y),G(z),Kilometers Per Litre(Instant)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Actual engine % torque(%),Trip Distance(km),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Run time since engine start(s)
Sun Jan 05 11:15:24 GMT+01:00 2020,05-gen-2020 11:15:23.913,13.90708944,42.07678843,9.95,401.0,-1.24822998,10.15612793,2.51513672,-,-,-,-,-,7.58500004,401,42.07678986,13.90708923,-0.12724057,1.03528309,0.15638499,0.07448729,-
Sun Jan 05 11:15:25 GMT+01:00 2020,05-gen-2020 11:15:24.443,13.90703941,42.07687070000001,10.26,399.0,-0.86776733,8.92622375,4.11952209,-,-,-,-,-,7.58500004,399,42.07686996,13.90703964,-0.058943100000000005,0.90954512,0.2787104,-0.01266324,-
Sun Jan 05 11:15:27 GMT+01:00 2020,05-gen-2020 11:15:27.236,13.90688059,42.07703144,10.9,398.0,0.36096191,8.78744507,2.81784058,0,-,-,0.02132097,1628.5,6.06799984,398,42.07703018,13.90688038,0.0367953,0.89576399,0.18724164,-0.05826733,-
Sun Jan 05 11:15:30 GMT+01:00 2020,05-gen-2020 11:15:30.193,13.90656353,42.07721332,11.58,396.0,2.34220886,8.86401367,2.02700806,8.43118191,11.86048698,-,0.04510875,1729,6.06799984,396,42.07721329,13.90656376,0.22802635,0.91381323,0.10613831,-0.03554223,-
Sun Jan 05 11:15:34 GMT+01:00 2020,05-gen-2020 11:15:33.339,13.90615393,42.07754833,13.38,396.0,1.29774475,8.29212952,1.89419556,8.19347477,12.20457935,-,0.09282583,1926.5,4.55099964,396,42.07754898,13.90615368,0.11716603,0.93930209,0.16138570000000002,-0.01765698,-
Sun Jan 05 11:15:36 GMT+01:00 2020,05-gen-2020 11:15:35.496,13.90594876,42.07779576,16.93,395.0,1.36833191,9.12004089,4.85531616,2.55663323,39.11312866,-,0.11750069,2288,4.55099964,395,42.07779694,13.90594864,0.17607179,0.96918195,0.28700238,0.05870261,-
Sun Jan 05 11:15:38 GMT+01:00 2020,05-gen-2020 11:15:38.017,13.90571815,42.07805602,17.26,396.0,0.94361877,10.34996033,3.61703491,6.57905436,15.19943714,-,0.15196235,1877,4.55099964,396,42.07805634,13.90571785,0.3155925,0.8747859,0.08369809,-0.05173423,-
Sun Jan 05 11:15:41 GMT+01:00 2020,05-gen-2020 11:15:40.257,13.90538535,42.07847963,18.2,396.0,-0.43586731,9.88334656,6.70497131,9.89704704,10.10381317,-,0.19604486,1963,4.55099964,396,42.07847977,13.90538502,0.27497861,0.79575747,-0.12533797,-0.15740279999999998,-
Sun Jan 05 11:15:43 GMT+01:00 2020,05-gen-2020 11:15:42.415,13.90515701,42.07878514,18.83,398.0,-0.97903442,8.19761658,1.07228088,11.47897339,8.71139908,-,0.23661847,2013.5,4.55099964,398,42.07878494,13.90515709,0.23022105,0.97893918,0.19919358,0.04956788,-
Sun Jan 05 11:15:45 GMT+01:00 2020,05-gen-2020 11:15:44.558,13.90491145,42.07909839,20.09,399.0,0.94958496,8.37588501,3.73548889,5.66510534,17.65155411,-,0.27769944,2136,4.55099964,399,42.07909775,13.90491104,0.02484336,0.93052167,0.19687599,-0.02261807,-
Sun Jan 05 11:15:47 GMT+01:00 2020,05-gen-2020 11:15:46.814,13.90464855,42.07942332,20.86,399.0,1.10154724,8.88793945,2.61325073,7.49327898,13.34501553,-,0.32131696,2278.5,4.55099964,399,42.079422,13.90464878,0.11911654,1.07857859,0.41371721,0.20100413,-
Sun Jan 05 11:15:49 GMT+01:00 2020,05-gen-2020 11:15:48.944,13.90438507,42.07975402,20.74,400.0,0.06065369,9.11047363,2.85971069,13.10531902,7.63033056,-,0.36827266,2266,4.55099964,400,42.07975388,13.90438461,0.00618284,0.92869246,0.19150975,-0.02627861,-
Sun Jan 05 11:15:51 GMT+01:00 2020,05-gen-2020 11:15:51.213,13.90413242,42.08007662,20.48,400.0,1.7164917000000002,9.05184937,3.38970947,46.62653732,2.1446569,-,0.41176015,2236,4.55099964,400,42.08007812,13.90413284,0.09874971,1.02040541,0.41420561,0.14729463,-
Sun Jan 05 11:15:54 GMT+01:00 2020,05-gen-2020 11:15:53.356,13.90375675,42.08054502,20.37,400.0,1.50233459,7.08494568,1.92530823,16.9210701,5.90966892,-,0.45738515,2214,4.55099964,400,42.08054352,13.9037571,0.15253344,0.89112878,0.12821300000000002,-0.06723404,-
Sun Jan 05 11:15:56 GMT+01:00 2020,05-gen-2020 11:15:55.612,13.90350346,42.08086606,20.69,399.0,1.43055725,8.44407654,2.66470337,14.59375572,6.85210323,-,0.50126058,2226.5,6.06799984,399,42.08086777,13.90350342,0.1339958,0.84746784,0.13162872,-0.11098471,-
Sun Jan 05 11:15:58 GMT+01:00 2020,05-gen-2020 11:15:57.762,13.90324055,42.08118631,20.49,399.0,1.6734314,8.58883667,4.21165466,9.83016872,10.17255402,-,0.54798865,2295.5,6.06799984,399,42.0811882,13.9032402,0.17338713,0.97906202,0.25626862,0.05655821,-
Sun Jan 05 11:16:00 GMT+01:00 2020,05-gen-2020 11:16:00.026,13.90300676,42.08150448,19.61,399.0,2.25965881,8.6570282,4.00946045,181.2480011,0,-,0.59178865,2176,4.55099964,399,42.08150482,13.90300655,0.09313927,0.81648982,0.25309864,-0.10526209,-
Sun Jan 05 11:16:02 GMT+01:00 2020,05-gen-2020 11:16:02.146,13.90277914,42.08179569,18.19,399.0,0.83114624,8.46083069,4.56817627,181.2480011,0,-,0.63428867,2004,4.55099964,399,42.08179474,13.90277958,0.04155181,0.72319192,0.20651034,-0.21316807,-
Sun Jan 05 11:16:05 GMT+01:00 2020,05-gen-2020 11:16:04.337,13.90245439,42.08220282,17.42,399.0,1.21640015,9.196609500000001,3.0511322,181.2480011,0,-,0.67179978,1914,4.55099964,399,42.08220291,13.90245438,0.09009062,0.90491146,0.13528711,-0.06034895,-
